Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
12/27/2019,9.7,9.7,8.5,8.55,0.1,36,5193,79.78%,0.92236602307596,0.022047490000037,-0.49093940371597,0.012003616977521,0.0037103254144291,9.2000007545053,158.96,150
12/26/2019,7.85,8.45,7.8,8.45,0.95,129,5391,60.54%,0.96329875716639,0.015970084734812,-0.20730095747545,0.0066720214279731,0.0039478520495147,8.7500004775991,158.67,150
12/24/2019,7.25,7.6,7.25,7.5,0,12,5408,31.13%,0.957240315865,0.020463321970938,-0.072649841162213,0.01297597153742,0.011767853126491,7.4750011923383,157.38,150
12/23/2019,7.75,7.75,7.5,7.5,0.05,55,5628,44.87%,0.85389443201116,0.030981655270635,-0.21635451987745,0.037746938188093,0.013853320712798,7.9999999999969,157.41,150
12/20/2019,6.75,7.45,6.45,7.45,1.75,80,6114,20.39%,0.95820279878323,0.020064387466535,-0.033625236736588,0.019454494320772,0.027483298343675,7.5249999999893,157.41,150
12/19/2019,4.95,5.8,4.65,5.7,0.85,83,6386,18.03%,0.92276596112604,0.034807644546213,-0.042628066189709,0.033356428329376,0.030199224474519,5.90000128411,155.71,150
12/18/2019,4.8,5.6,4.75,4.85,-0.3,229,6398,16.42%,0.87266096713646,0.052357229970089,-0.05087056327735,0.050535010537513,0.032064104398123,4.6750030315043,154.37,150
12/17/2019,5.65,5.65,5.1,5.15,-0.85,43,6375,18.15%,0.85358535230628,0.049348246396504,-0.057939287107622,0.058725150798768,0.034778406070436,5.1000012884912,154.69,150
12/16/2019,5.5,6.2,5.45,6,1,58,6355,17.52%,0.88863242770815,0.040094444585914,-0.045715384183237,0.051201938555084,0.039889034036463,5.8499999999886,155.53,150
12/13/2019,4.2,5.35,3.75,5,0.9,422,8808,17.22%,0.81965051316203,0.050386232415979,-0.053337859942739,0.079485962245241,0.046616411774453,5.1250069086761,154.53,150
12/12/2019,2.73,4.3,2.63,4.1,1,747,8832,16.22%,0.75274580960499,0.062702310423816,-0.057101367175368,0.098113968314261,0.045729787082508,4.0750097685541,153.24,150
12/11/2019,2.68,3.15,2.36,3.1,0.32,341,9329,15.33%,0.65000193056528,0.076065749289869,-0.059844888957855,0.11762040161714,0.041928910484103,2.9550064443737,151.7,150
12/10/2019,2.97,3.15,2.62,2.78,-0.32,268,9306,16.70%,0.59617719869001,0.071113582565321,-0.065210796557015,0.1262955437643,0.040646427375145,2.8300065693805,151.13,150
12/09/2019,2.71,3.4,2.57,3.1,-0.15,202,9235,16.13%,0.61338851786022,0.070580642803601,-0.06091495878096,0.12861561103595,0.044325619672205,2.9600082790636,151.36,150
12/06/2019,2.78,3.3,2.7,3.25,0.81,147,9270,15.74%,0.63543997796572,0.065563749302046,-0.054648863174744,0.13672850307298,0.053566129546327,3.3250072967601,151.75,150
12/05/2019,2.62,3,2.3,2.44,-0.13,498,9198,16.55%,0.51142454275641,0.065469358754233,-0.057920911582016,0.14675923224473,0.044737074976166,2.4550114288233,149.93,150
12/04/2019,2.68,2.78,2.3,2.57,0.04,351,9151,17.00%,0.50702574262001,0.062361145346655,-0.058150676450039,0.15001515784628,0.046275863609718,2.5400149445634,149.85,150
12/03/2019,1.67,2.53,1.57,2.53,-0.16,173,9125,17.94%,0.47685801519581,0.057994136975401,-0.059511860721617,0.15245712163409,0.045188814876865,2.4750082510717,149.31,150
12/02/2019,3.65,3.65,2.2,2.69,-0.91,299,9202,18.42%,0.49235880518429,0.055339462764364,-0.060107968407852,0.15608321059267,0.048566598777996,2.7250136220307,149.55,150
11/29/2019,3.7,4.05,3.55,3.6,-0.55,164,9206,16.78%,0.59568532859335,0.055068672403813,-0.051806952100576,0.1623889866811,0.066394403128078,3.6250100146493,151.38,150
11/27/2019,3.85,4.15,3.75,4.15,-0.05,805,9170,15.44%,0.65367942048666,0.054700354099156,-0.045202035653613,0.16106774481981,0.078467223646629,4.1000129523709,152.32,150
11/26/2019,3.1,4.2,3.1,4.2,0.65,177,9099,15.59%,0.63653402535306,0.054320097112601,-0.045399161921711,0.16627869915862,0.078809107345011,4.0000126541624,152.06,150
11/25/2019,3.2,3.6,3.2,3.55,0.75,82,9094,15.11%,0.59170088134719,0.057409969790052,-0.044285573975525,0.1738469374969,0.075426126214251,3.4500099230795,151.23,150
11/22/2019,3.15,3.3,2.6,2.8,-0.05,153,9014,15.83%,0.49805414955081,0.054418913165558,-0.044434389460525,0.18475000935758,0.06873795170471,2.8200139413692,149.59,150
11/21/2019,3.05,3.05,2.63,2.85,-0.05,1104,9018,16.71%,0.49413337579947,0.050841583098484,-0.046072296615203,0.18721427143302,0.069916976550877,2.9750111169057,149.48,150
11/20/2019,3.25,3.6,2.7,2.9,-0.2,457,8950,16.53%,0.50157653137969,0.050674973282409,-0.045085381319661,0.1899914665037,0.07297706638421,3.0549999994452,149.62,150
11/19/2019,3.35,3.65,2.94,3.1,0.1,359,8894,14.41%,0.54356686717271,0.05670803002666,-0.039403606805912,0.19237207270454,0.081884285952356,3.0950179973988,150.39,150
11/18/2019,2.85,3.15,2.5,3,0.24,2619,7789,13.86%,0.54174425508199,0.058259878650314,-0.037569564437462,0.19491694356066,0.083818833380683,3.0000104551906,150.34,150
11/15/2019,2.22,2.76,2.19,2.76,0.66,911,7462,12.21%,0.5214598350502,0.064140525231149,-0.03228023377647,0.20259449619677,0.087018641202605,2.5800060612841,149.97,150
11/14/2019,1.77,2.1,1.77,2.1,0.41,1842,6225,14.05%,0.41583711658354,0.054619934051474,-0.034603052161563,0.19816121480452,0.070065048577798,2.0950158174167,148.06,150
11/13/2019,1.62,1.81,1.62,1.69,-0.01,42,6202,13.92%,0.37563732185703,0.053270672556175,-0.032656889455569,0.19400349624262,0.064529444026844,1.8050163577869,147.31,150
11/12/2019,1.55,1.88,1.55,1.7,0.2,102,6151,14.01%,0.36576706237072,0.051989326264138,-0.032133107757441,0.19419479699504,0.064144528413928,1.7650104950473,147.07,150
11/11/2019,1.39,1.56,1.3,1.5,-0.01,55,6023,14.24%,0.32225839201487,0.048557540403571,-0.030454314796091,0.18599830464774,0.057437177677139,1.5100080278415,146.11,150
11/08/2019,0.89,1.51,0.89,1.51,0.45,105,6023,15.75%,0.33968720143288,0.04347465575203,-0.033223977453486,0.19584109432465,0.064083566701754,1.8450156224948,145.96,150
11/07/2019,1.25,1.25,1,1.06,1.06,5248,N/A,14.20%,0.24788177410028,0.041712691967355,-0.025259426937119,0.1688762793088,0.047492339349944,1.0899999999557,144.26,150
"Downloaded from Barchart.com as of 11-20-2021 06:26pm CST"
