Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
06/25/2021,0.03,0.03,0.01,0.01,-0.03,220,3164,43.96%,-0.0051677807335299,0.0024574186291544,-0.045774856881023,0.002051303492174,-3.7248184918404E-5,0.0099999999962697,265.02,250
06/24/2021,0.05,0.05,0.03,0.04,-0.02,2279,2932,56.69%,-0.014194519334063,0.0045603318854793,-0.14300154351578,0.0050423929393249,-0.00010480742454466,0.040000352395543,266.69,250
06/23/2021,0.08,0.08,0.05,0.06,-0.03,437,3035,39.55%,-0.020725228269764,0.0064220778260896,-0.097011200366308,0.009800976175848,-0.00030453929898699,0.060000747180217,265.275,250
06/22/2021,0.12,0.13,0.07,0.09,-0.04,1197,3115,34.89%,-0.027650075095049,0.007565791243056,-0.089170656631897,0.015307035355012,-0.00061079099000771,0.090001102449574,265.51,250
06/21/2021,0.36,0.57,0.12,0.13,-0.36,1148,2348,27.42%,-0.041944834441738,0.011875447727694,-0.08462642511347,0.024624988779363,-0.0012214635955465,0.13000201695995,262.63,250
06/18/2021,0.52,0.58,0.34,0.49,0.18,1382,2348,22.92%,-0.11939211761294,0.024203350275826,-0.11787628917931,0.071610877660507,-0.0060341450669466,0.49000485797908,259.43,250
06/17/2021,1,1,0.26,0.31,-0.61,1627,1802,20.95%,-0.082876093894267,0.01886422047823,-0.07769446747477,0.058974273833838,-0.0048070770974906,0.31000548390283,260.9,250
06/16/2021,0.6,1.73,0.5,0.92,0.09,2316,1334,21.39%,-0.19018935662256,0.031401667995068,-0.13149029626131,0.10973176598412,-0.012296925993344,0.91999999999799,257.38,250
06/15/2021,0.58,0.86,0.56,0.83,0.24,963,1190,20.40%,-0.16236251183808,0.028155091196756,-0.10806055006263,0.10504207542205,-0.011700791613389,0.76001002273058,258.36,250
06/14/2021,0.84,1,0.59,0.59,-0.33,487,1059,19.47%,-0.12345230724093,0.023228961040857,-0.082180190115845,0.092064582354429,-0.0098333823306263,0.54500745989939,259.89,250
06/11/2021,1.16,1.23,0.91,0.92,-0.3,288,1007,17.82%,-0.18422434618423,0.029581938615214,-0.086602424164576,0.13444942359963,-0.01857570382698,0.92001116591027,257.89,250
06/10/2021,1.89,1.89,1.2,1.22,-1.28,501,717,18.36%,-0.21853481237932,0.030810758015486,-0.095355008329949,0.15378939287179,-0.023603764572518,1.2200080110902,257.24,250
06/09/2021,2.4,2.61,1.95,2.5,-0.2,254,666,19.07%,-0.35625421654882,0.036819116739104,-0.11992488811272,0.19785305806546,-0.040698068433838,2.5000135885012,253.59,250
