Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
05/29/2020,0.01,0.03,0.01,0.01,-0.01,388,5444,53.26%,-0.0032154805457376,0.0019180446298295,-0.025069426922771,0.00092769276690575,-1.6044583341322E-5,0.0050000862384136,183.25,170
05/28/2020,0.05,0.14,0.01,0.02,-0.01,4254,8081,59.01%,-0.017146547101521,0.0075753068206726,-0.11901005704883,0.004033396579268,-8.6174005431428E-5,0.035000168125332,181.4,170
05/27/2020,0.07,0.42,0.03,0.03,-0.06,8237,5157,42.95%,-0.016670888553944,0.0071677493290834,-0.059938656863708,0.0055811053514574,-0.00016799519414468,0.035000305110153,181.81,170
05/26/2020,0.06,0.16,0.06,0.09,-0.05,1602,4376,39.79%,-0.032666055066289,0.011141133438632,-0.079726056020681,0.012019323119249,-0.00049447804762829,0.085000631465473,181.57,170
05/22/2020,0.26,0.3,0.14,0.14,-0.14,1049,3997,33.09%,-0.045415030594137,0.011349964220636,-0.057396258379793,0.024270023752116,-0.0016289987136986,0.16000173300335,183.51,170
05/21/2020,0.21,0.33,0.18,0.28,0.03,4039,4970,34.01%,-0.062416519095317,0.013298199142034,-0.070961279971839,0.033365885006261,-0.0025652607584433,0.25500208944427,183.43,170
05/20/2020,0.31,0.31,0.22,0.25,-0.25,4014,1589,36.08%,-0.056677406314587,0.01082661523779,-0.066601735535182,0.033212159398234,-0.0026587500719562,0.26000192134258,185.66,170
05/19/2020,0.43,0.5,0.3,0.5,0.01,216,1535,35.79%,-0.091567239916092,0.015118882229031,-0.08951706141469,0.04999682449115,-0.0047368409380096,0.47500303139033,183.63,170
05/18/2020,0.57,0.61,0.39,0.49,-0.38,446,1476,36.23%,-0.085720420401736,0.013461411242257,-0.08284170564209,0.050270481732322,-0.0049185208221096,0.47000280993394,184.91,170
05/15/2020,1.66,2.48,0.85,0.87,-0.87,645,1217,34.66%,-0.12882269904731,0.016908406167832,-0.093407653764968,0.075407960112584,-0.0093666312483975,0.82500528441932,183.16,170
05/14/2020,2.5,3.55,1.74,1.74,-0.41,465,1141,38.99%,-0.21202786380798,0.020311929851265,-0.13797173277156,0.10606528530421,-0.016463975479238,1.7850057457313,180.53,170
05/13/2020,0.74,3,0.59,2.15,1.49,971,934,39.52%,-0.23732769197984,0.020776051977963,-0.1437273836824,0.1162736297931,-0.019646953064445,2.1600076562223,179.75,170
05/12/2020,0.74,1.25,0.59,1.18,0.52,276,910,33.78%,-0.17328433101444,0.019348223486809,-0.099847461817851,0.1003932612235,-0.015250362158289,1.275009961063,181.6,170
05/11/2020,1.22,1.22,0.59,0.66,-0.34,415,890,34.34%,-0.10219361526123,0.012518124283003,-0.07058540428999,0.073940141674594,-0.0097637190871985,0.7150073017393,186.74,170
05/08/2020,1.28,1.38,1,1,-0.68,302,971,32.38%,-0.13467184286705,0.015109393645454,-0.074099852991708,0.096017905628614,-0.014890549491854,1.0100046878431,184.68,170
05/07/2020,1.48,1.72,1.48,1.68,-0.27,144,877,34.80%,-0.17286923705948,0.016305496297007,-0.091279164087344,0.11528725917746,-0.020043378882543,1.5150081711003,183.6,170
05/06/2020,2,2.11,1.65,1.95,-0.49,352,725,35.32%,-0.19866385523507,0.017228485627488,-0.098212092549628,0.12776147764518,-0.024029714384977,1.8700107518349,182.54,170
05/05/2020,2.65,2.65,1.76,2.44,-1.01,332,467,35.83%,-0.23783177262688,0.018627613622577,-0.10714884090786,0.14337002960784,-0.029865513580714,2.4300120964156,180.76,170
05/04/2020,5,5,3.45,3.45,-1.55,127,465,37.97%,-0.28801682396874,0.019200489391281,-0.12142412705964,0.15968225703784,-0.037591737648649,3.3750085639202,178.84,170
05/01/2020,4.1,5.2,3.69,5,1.51,232,392,40.07%,-0.3838489051118,0.019709910514608,-0.13235279942221,0.18466190924481,-0.055670175210428,5.5499999999998,174.6,170
04/30/2020,3.1,4.05,2.35,3.49,-1.41,820,680,36.31%,-0.28567485315133,0.01853308466796,-0.10760922893412,0.17167175564752,-0.043417215061276,3.4500086031351,179.21,170
