Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
03/26/2021,0.2,1.67,0.05,1.67,1.3,31882,10444,14.28%,0.8018797907255,0.15972210830492,-0.24409520704158,0.034195531135595,0.0040595537725047,1.6700011841028,236.48,235
03/25/2021,1.7,2.85,0.34,0.37,-1.63,20745,6385,26.37%,0.20624341337784,0.088927172014904,-0.45615537691446,0.03467660662911,0.0011941204810676,0.36999999999851,232.34,235
03/24/2021,3.76,3.76,2,2,-1.7,4462,6253,25.42%,0.54429285561451,0.089526213059415,-0.43647758267429,0.069097068646777,0.0060643193324138,2.0000037035892,235.46,235
03/23/2021,3.55,6.54,3.4,3.7,0.91,3352,6833,25.53%,0.68478573464244,0.064680219132541,-0.32228846523541,0.076519674728937,0.011045968742859,3.7000066064547,237.58,235
03/22/2021,1.2,3.45,1.07,2.79,1.69,13736,4715,23.11%,0.57243812514989,0.068796106420476,-0.27702169063837,0.09691051456438,0.012641635674778,2.7900047770889,235.99,235
03/19/2021,2.33,2.6,1.1,1.1,-1.1,8587,4715,22.18%,0.26097159801815,0.045940564204927,-0.16291470560703,0.10366037931514,0.01030515953523,1.1000059622692,230.35,235
03/18/2021,2.28,3.2,1.97,2.2,-2.55,6746,2186,29.04%,0.3408918223173,0.036984135962932,-0.22570329837324,0.12526220318554,0.015134571722848,2.2000084563964,230.72,235
03/17/2021,4.4,5.8,3.2,4.75,-0.65,3900,1683,24.80%,0.59367221437986,0.04206632255253,-0.19596864643528,0.14432759591504,0.028898366810637,4.7500126633715,237.04,235
03/16/2021,4.5,6.91,4.37,5.4,1.36,2641,2637,25.17%,0.61464710118578,0.038655168411043,-0.18622652106304,0.15037807591108,0.033102969127745,5.3999999999987,237.71,235
03/15/2021,4.65,4.65,3.05,4.04,-1.06,2354,1149,25.58%,0.49954635232235,0.038283323959387,-0.18658424981863,0.1625676067452,0.029998065301636,4.0399999999346,234.81,235
03/12/2021,4.75,5.25,4.34,5.1,-1.06,367,1149,26.81%,0.53309056044578,0.033362709370186,-0.17969428095971,0.17681442424511,0.037565311432936,5.1000153802699,235.75,235
03/11/2021,5.25,7.25,4.94,6.16,2.14,325,1207,27.46%,0.57509338320638,0.0307551721432,-0.17554000856108,0.18189199778777,0.043231127122567,6.1600124250721,237.13,235
03/10/2021,5.95,6.2,4,4.02,-0.88,244,1121,27.74%,0.43091472342244,0.030084770536973,-0.16896595289288,0.18507996079366,0.035190400117711,4.0200093006004,232.42,235
03/09/2021,4.85,5.6,4.35,4.9,1.85,597,1137,28.24%,0.47429025568289,0.028820988854426,-0.16945669169793,0.19478006871689,0.041009236768324,4.9000098814879,233.78,235
03/08/2021,3.95,5.28,3.05,3.05,-1.7,167,1067,30.90%,0.32051914046556,0.023612075562435,-0.15791771998834,0.17556413051076,0.029400932387093,3.0500126883664,227.39,235
03/05/2021,4.04,5.5,3.28,4.75,1.3,407,882,29.15%,0.42619405765038,0.02482618167031,-0.15267448184808,0.21247340908469,0.045753355072873,4.7500077629399,231.6,235
03/04/2021,2.76,5.35,2.76,3.45,-0.18,168,804,30.97%,0.32572686038619,0.021397462543569,-0.14276091191243,0.19585007602069,0.036602584931243,3.4500171561165,226.73,235
03/03/2021,4.58,4.8,3.5,3.63,-2.57,216,741,29.14%,0.34075036520332,0.022041623192303,-0.13095240283247,0.20940482672851,0.042016335172994,3.6300111813568,227.56,235
03/02/2021,7.32,7.32,5.77,6.2,-0.95,56,712,26.30%,0.48192282413619,0.025289052390197,-0.12851307473897,0.23885526832838,0.061840356518112,5.700022651479,233.87,235
03/01/2021,7.23,7.5,6.35,7.15,0.85,97,697,25.18%,0.5595679907343,0.025298311684041,-0.12031758186719,0.24442023141137,0.074125725621091,7.1500148994274,236.94,235
02/26/2021,6.99,7.65,6,6.3,0.5,188,696,29.99%,0.45850551288344,0.020947602332088,-0.13685191280315,0.25062186350159,0.065676511340484,6.3000215247284,232.38,235
02/25/2021,5.9,7.15,5.23,5.8,-1.9,117,573,33.28%,0.40440700678779,0.018365056253648,-0.14393511644102,0.24559423609505,0.059604739620158,5.8000145154164,228.99,235
02/24/2021,5.4,7.7,5,7.7,1.15,285,358,25.00%,0.49952445566804,0.024163714091201,-0.1110087388666,0.26355802707542,0.077236333921131,6.3000149665001,234.55,235
02/23/2021,8.6,8.6,5.1,6.55,-4.1,333,322,27.63%,0.47902140852814,0.021217864414122,-0.12036183247253,0.27079488695563,0.079615482947067,6.6750240848913,233.27,235
02/22/2021,8.6,8.6,6.27,7.1,-3.55,241,232,26.88%,0.50497401242041,0.021374898401301,-0.11602129928789,0.27694903140291,0.086707157157899,7.1999999999892,234.51,235
02/19/2021,10.65,10.65,10.65,10.65,-2.5,2,232,26.54%,0.63653003421741,0.019236085677149,-0.10732776512737,0.27599246262448,0.11546258645486,11.025010444514,240.97,235
02/18/2021,11.65,13.15,11.65,13.15,-0.029999999999999,5,231,26.64%,0.68628450224622,0.017634660944214,-0.1014672107283,0.26764388309707,0.1272624405857,13.024999999982,243.79,235
02/17/2021,12.32,13.18,12.32,13.18,0.46,2,229,27.17%,0.68854965597429,0.016970029764597,-0.10187241554056,0.27104667051715,0.13112873631371,13.549999999998,244.2,235
02/16/2021,13.07,13.15,12.72,12.72,-0.4,7,224,24.32%,0.69397474297179,0.018597850537866,-0.089011146607175,0.27211838119799,0.1362851473156,12.525013835683,243.7,235
02/12/2021,13.12,13.12,13.12,13.12,-0.1,7,217,21.89%,0.72673750342826,0.018514831717917,-0.072455577970375,0.27303488530899,0.15743383663391,13.099999999992,244.99,235
02/11/2021,12.92,13.22,12.92,13.22,-0.029999999999999,2,217,26.18%,0.6876864423598,0.016305985218158,-0.09111292274729,0.29345468343379,0.15307032974476,14.049999999966,244.49,235
02/10/2021,14.73,14.73,13.25,13.25,-0.5,6,212,25.98%,0.65798570845489,0.01676778749126,-0.091066241260802,0.30952351173984,0.1535331392688,13.05001550113,242.82,235
02/09/2021,12.45,13.9,12.37,13.75,1.4,18,215,25.67%,0.67379481906354,0.016406795789545,-0.087623192428449,0.30844075728143,0.16015474968434,13.675018318732,243.77,235
02/08/2021,13.14,13.65,12.35,12.35,-0.3,115,4,25.59%,0.65126306828767,0.016797278238438,-0.088185021222904,0.31832357940505,0.15885815085603,12.875029534876,242.47,235
02/05/2021,13,13,12.35,12.65,-0.15,3,3,26.17%,0.64106025574267,0.016098207066741,-0.088118842963853,0.33156378236394,0.16561958915418,13.150013957816,242.2,235
"Downloaded from Barchart.com as of 11-20-2021 07:23pm CST"
