Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
10/25/2019,0.02,0.02,0.01,0.01,-0.03,1805,14397,73.80%,-0.011440231077494,0.023872187152454,-0.019056220208371,0.00050944427109047,-9.6635901213731E-6,0.005000040551752,32.71,30
10/24/2019,0.06,0.06,0.01,0.04,-0.04,14471,7247,76.11%,-0.077710356753579,0.11507549586667,-0.091772577921166,0.0024147761179518,-6.3932636943394E-5,0.045000190145252,31.72,30
10/23/2019,0.15,0.21,0.06,0.08,-0.03,2519,7070,52.49%,-0.12243414874666,0.16650356788215,-0.061626083379743,0.0047098872317217,-0.00019820784570549,0.074999999998576,31.36,30
10/22/2019,0.08,0.11,0.06,0.11,0.04,3300,5960,51.09%,-0.13862772391178,0.15150797586272,-0.053570152079458,0.0063159879201333,-0.00033896290933358,0.10500042494961,31.51,30
10/21/2019,0.3,0.3,0.07,0.07,-0.23,3043,5663,48.91%,-0.095429553569411,0.10340153301866,-0.034620346887823,0.005686454015259,-0.00031816899318997,0.075000427461229,32.03,30
10/18/2019,0.29,0.57,0.23,0.3,0.01,4351,5663,41.12%,-0.27667474385852,0.18985126172286,-0.041755981943781,0.014353037394392,-0.0015422301747867,0.31000130181444,30.97,30
10/17/2019,0.3,0.4,0.27,0.29,-0.16,1842,5436,40.16%,-0.25361797316311,0.17304713000025,-0.036672085972529,0.014761166021296,-0.0016294824914312,0.29000101069765,31.14,30
10/16/2019,0.6,0.6,0.32,0.45,-0.15,4059,3960,41.45%,-0.32699772951928,0.18007144299591,-0.039697229521413,0.017455352012365,-0.0023303441286024,0.44500105291744,30.81,30
10/15/2019,0.72,1.07,0.51,0.6,-0.19,2161,2908,45.95%,-0.36105521655537,0.16039886660708,-0.043213477379567,0.019041101364648,-0.0028611107071001,0.59999999999995,30.72,30
10/14/2019,1.29,1.52,0.76,0.79,-0.43,1916,1082,48.90%,-0.39967661485548,0.14916554799736,-0.044927192125455,0.020470400653436,-0.0034731684924287,0.77499999999999,30.53,30
10/11/2019,1.78,1.87,1.02,1.22,-0.83,1673,1082,46.96%,-0.51559589395009,0.14593231660239,-0.038230451431095,0.023223481533369,-0.005497931620957,1.2150021311964,29.75,30
10/10/2019,2.18,2.18,1.78,2.05,-0.05,142,1030,49.57%,-0.69066523669069,0.12394948623476,-0.032610147406113,0.02027203028691,-0.0073041632095519,2.1400018494458,28.38,30
10/09/2019,2.18,2.2,2.01,2.1,-0.26,71,1039,54.87%,-0.65201754681857,0.11324592055252,-0.036925352934064,0.022033764276163,-0.0075427216651798,2.2200020996812,28.48,30
10/08/2019,2.34,2.61,2.22,2.36,0.44,240,1229,54.58%,-0.6747500505571,0.10857769323529,-0.034320178651041,0.02192775006008,-0.008194091060133,2.4150011045553,28.23,30
10/07/2019,2.06,2.06,1.65,1.92,-0.06,315,982,52.67%,-0.59744648033615,0.11461278393154,-0.035564560893486,0.02485472241407,-0.0079598220660521,1.9600020912188,28.93,30
10/04/2019,2.22,2.27,1.98,1.98,-0.29,310,982,50.60%,-0.58305738492472,0.11109584381267,-0.031919473073942,0.027148488213956,-0.0091261506319029,1.9600007302733,29.01,30
10/03/2019,3.15,3.15,2.27,2.27,-0.35,235,869,55.46%,-0.60136798637085,0.099087364347446,-0.033426447361656,0.027170755893666,-0.0098599150993224,2.3200017415462,28.68,30
10/02/2019,2.45,2.62,2.45,2.62,0.37,87,914,54.49%,-0.63687506956564,0.09718183488922,-0.030722446292493,0.0266570284843,-0.010718514145464,2.5550018078608,28.31,30
10/01/2019,1.9,2.29,1.8,2.25,0.09,409,814,52.03%,-0.59613717574432,0.10119318551388,-0.03013223479111,0.028554524873902,-0.010671380085898,2.2400017594825,28.76,30
09/30/2019,2.47,2.48,2.11,2.16,-0.39,32,812,50.15%,-0.57477384227662,0.10327642363263,-0.029018619053822,0.029726068227631,-0.010799134969114,2.0800001933133,28.99,30
09/27/2019,2.42,3.07,2.03,2.55,0.65,50,798,55.91%,-0.57840376407502,0.088191697797469,-0.030251744142348,0.031110380996687,-0.012299363336977,2.5000022388418,28.72,30
09/26/2019,2.25,2.25,1.9,1.9,-0.14,36,770,56.29%,-0.51034740089182,0.08545772304905,-0.031397429920191,0.033121372212452,-0.011692338158607,2.1350019336741,29.47,30
09/25/2019,2.5,2.63,2.04,2.04,0.04,29,781,52.56%,-0.50248853258159,0.089626478465168,-0.028936861601917,0.033846894051722,-0.011889132363175,1.9750018135669,29.6,30
09/24/2019,1.46,2.33,1.46,2,0.56,337,655,54.07%,-0.5106593198488,0.086084462932449,-0.029099866935681,0.034240635337696,-0.012406458794803,2.1200029944209,29.47,30
