Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/28/2020,0.01,0.03,0.01,0.01,0,715,11726,75.70%,0.0084831559922781,0.012887667082703,-0.020970852443017,0.000545550937051,1.0281901007577E-5,0.0050000329064214,45.48,50
02/27/2020,0.13,0.13,0.01,0.01,-0.2,3098,12985,112.64%,0.016424890022103,0.015765658063546,-0.053151961530691,0.00094322764844137,1.9393350805351E-5,0.015000062567335,44.01,50
02/26/2020,0.46,0.82,0.11,0.21,-0.26,11312,14191,69.61%,0.16547337849285,0.10162975698099,-0.15247389980724,0.0087425663869713,0.00041908616784777,0.21000084497275,47.49,50
02/25/2020,1.97,2.1,0.41,0.47,-0.62,13013,11145,76.52%,0.24771632911987,0.095833795794614,-0.17441796372937,0.01363760922323,0.00092990632295092,0.47000031969748,47.57,50
02/24/2020,1,1.65,0.84,1.09,-2.66,11538,5509,72.03%,0.42250024156489,0.10568846133972,-0.18206006494076,0.020124790816349,0.0021543250121325,1.0950011001721,49.12,50
02/21/2020,6.05,6.05,3.65,3.75,-3.45,1248,5509,58.10%,0.7978057501214,0.065736716068772,-0.087988594820335,0.020792403334219,0.0074232783364714,3.80000163513,53.28,50
02/20/2020,8.5,8.95,6.8,7.2,-1.8,93,5535,58.21%,0.94764894912223,0.021669116538079,-0.035056566035641,0.0090711608381088,0.010273283748696,7.4000003315533,57.27,50
02/19/2020,8.1,9.15,8,9,1.75,84,2612,65.46%,0.95043294178204,0.01691319832929,-0.036509459931327,0.0094740986766864,0.011571905256247,9.0500008388283,58.9,50
02/18/2020,5.45,8,5.3,7.25,1.75,359,2685,52.44%,0.93771800225234,0.024832883886781,-0.032326077621825,0.011550391492171,0.012684048301674,7.0500009711485,56.89,50
02/14/2020,5.3,5.55,5,5.5,0.5,71,2805,41.12%,0.90339950928294,0.038406688697609,-0.029170991651752,0.018536030164917,0.017036668453763,5.5500015915474,55.31,50
02/13/2020,4.3,5.35,4.3,5,0.5,89,2865,44.36%,0.84537587191238,0.048517134372476,-0.040678124111497,0.026299398456963,0.016900005582247,4.9750011452516,54.53,50
02/12/2020,4.75,4.75,4.4,4.5,0,127,2898,45.49%,0.79999829197778,0.054543757521521,-0.046589729200686,0.03158785318409,0.016914809709423,4.5250010409468,53.89,50
02/11/2020,3.75,5.05,3.75,4.5,1.15,507,3500,46.97%,0.78251936883451,0.053940319057381,-0.048813506895908,0.034151127494801,0.01748882804613,4.5500012415752,53.8,50
02/10/2020,1.62,3.4,1.62,3.35,1.56,1134,3685,44.65%,0.69264726808517,0.067830324739951,-0.052023723282243,0.040788094618485,0.016186560419062,3.3750020531437,52.26,50
02/07/2020,1.49,2.29,1.49,1.79,0.18,995,4156,39.75%,0.50020734426751,0.084160888128342,-0.046044330693562,0.04758494460033,0.013284726255169,1.7849999999643,49.73,50
02/06/2020,1.61,1.68,1.1,1.61,-0.33,618,3973,39.50%,0.4670048206879,0.08314210731762,-0.044152388141402,0.048137922500063,0.012906270428076,1.6200023454241,49.32,50
02/05/2020,2.2,2.2,1.71,1.94,0.16,288,3741,40.24%,0.51144022488714,0.079232631396957,-0.044662290773924,0.049889008602751,0.014830384101764,1.9550041835932,49.84,50
02/04/2020,1.32,1.89,1.32,1.78,0.58,377,3751,40.42%,0.48215308861352,0.077766116381753,-0.043522707529053,0.050533412562428,0.014483814171629,1.8150025575732,49.45,50
02/03/2020,1,1.25,1,1.2,-0.05,1030,2392,40.43%,0.37501619813969,0.074640638862248,-0.039272812872371,0.047653540194324,0.011481696744503,1.2449999999998,48.02,50
01/31/2020,1.53,1.7,1.19,1.25,-0.56,952,1844,44.93%,0.33534785454163,0.062319241382446,-0.038703235807228,0.04744226354968,0.011158840557829,1.2150025433091,47,50
01/30/2020,1.03,1.82,0.95,1.81,0.44,444,1751,42.42%,0.44587755247898,0.067779623526303,-0.04063131666056,0.054345240603111,0.015834720134562,1.82,48.78,50
01/29/2020,1.58,2.04,0.96,1.37,-2.18,1273,1002,42.73%,0.3648346917345,0.064575184894326,-0.037122508944239,0.051187003255448,0.013128732907106,1.3600037967399,47.51,50
01/28/2020,3.3,3.75,3.2,3.55,0.45,226,766,55.61%,0.56124268584302,0.048151845793179,-0.053106253089626,0.058051624040145,0.021071154313028,3.549999999997,50.53,50
01/27/2020,3.05,3.3,2.27,3.1,-0.35,163,709,58.56%,0.50335401693235,0.046717808799615,-0.054142577747343,0.058182927082666,0.019020473110838,3.0999999999803,49.26,50
01/24/2020,4.8,4.8,3.25,3.45,-0.85,252,501,55.51%,0.55374317335637,0.045682290253347,-0.049898815167498,0.061632632255059,0.023235174703454,3.6499999999995,50.35,50
01/23/2020,3.85,4.3,3.85,4.3,0.25,64,528,52.38%,0.6163829294858,0.044894221963097,-0.046283901684843,0.062007583288397,0.027195446158833,4.3000015232042,51.71,50
01/22/2020,4.3,4.3,4.05,4.05,-0.05,63,500,52.39%,0.60323053916118,0.044945193608411,-0.045808289988263,0.06312290755297,0.027216939848061,4.1750038629856,51.43,50
01/21/2020,4.2,4.45,3.9,4.1,0.2,45,445,52.08%,0.58594553237605,0.045425138545751,-0.045063713521105,0.064179019131578,0.027003439166016,3.9750060011352,51.05,50
01/17/2020,3.55,4,3.5,3.9,0.5,58,453,50.14%,0.58075785461063,0.045118494918973,-0.04137125892317,0.067502365578812,0.029489744752924,3.9500039532082,50.93,50
01/16/2020,3.35,3.75,3.15,3.4,0.55,243,399,50.17%,0.52784208020536,0.046446969255908,-0.040622299970483,0.067980469127004,0.027002461069434,3.3500060683452,49.77,50
01/15/2020,2.8,3.1,2.75,2.85,0.1,76,275,52.99%,0.4764483243252,0.04459802645296,-0.041261631619771,0.06711352457353,0.02430463073501,2.9650052210816,48.54,50
01/14/2020,3,3,2.75,2.75,-0.23,49,209,51.87%,0.46064623916905,0.045225056155644,-0.039541201018937,0.067199378051506,0.023958184242601,2.7750053935517,48.21,50
01/13/2020,2.97,3.05,2.9,2.98,0.12,54,147,51.64%,0.48523973891586,0.044626568193977,-0.039585753189659,0.068977684028834,0.025962376097462,3.0500049842244,48.74,50
01/10/2020,3.4,3.4,2.8,2.86,-0.49,65,125,51.21%,0.46252468841865,0.043953046367112,-0.037436455608558,0.070096229524948,0.026063718456873,2.8650037338537,48.17,50
01/09/2020,3.65,3.85,3.15,3.35,3.35,126,N/A,52.42%,0.50020041854244,0.041978551167611,-0.038786549216629,0.072303040180626,0.028931150901257,3.3749999999679,48.97,50
"Downloaded from Barchart.com as of 11-22-2021 11:05am CST"
