Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
04/30/2021,0.07,0.28,0.01,0.01,-0.07,15003,19845,20.51%,-0.029608862509951,0.077338387594942,-0.029701465588632,0.0028548231827988,-6.1494928816789E-5,0.010000174291602,81.62,80
04/29/2021,0.1,0.19,0.04,0.08,-0.13,4456,19436,61.42%,-0.066738023997229,0.047964125357714,-0.17455175839572,0.0056844140635518,-0.00014494890803502,0.080000070462644,83.91,80
04/28/2021,0.09,0.35,0.03,0.21,-0.54,20799,12765,57.03%,-0.11846250298867,0.055884421354141,-0.17575949543894,0.012329112012396,-0.00051481615399267,0.21000093688251,84.02,80
04/27/2021,0.89,1,0.59,0.75,-0.13,12343,6948,85.49%,-0.19684743569683,0.041987777043549,-0.30519438388628,0.02142091231186,-0.0013179569816454,0.75000118142927,85.21,80
04/26/2021,1.49,1.7,0.87,0.88,-0.84,3852,5351,80.81%,-0.20725792756433,0.039580864840042,-0.2582614107198,0.025569327100488,-0.0018608478250367,0.87999999999952,85.41,80
04/23/2021,3.02,3.02,1.53,1.72,-1.88,1974,4867,64.38%,-0.33534986835483,0.049400159324398,-0.19203858776803,0.041769476910266,-0.0050929263187679,1.7200026378802,82.76,80
04/22/2021,2.15,3.79,2.15,3.6,1.33,2221,4141,66.20%,-0.52849919806944,0.051367071618812,-0.19261286656191,0.046572913356771,-0.0087535306939454,3.6000021297463,79.06,80
04/21/2021,3.6,3.65,2.27,2.27,-1.23,838,4213,59.43%,-0.39729525745439,0.050643234912181,-0.16311360324675,0.049418414567847,-0.0076531238489354,2.2699999999997,81.61,80
04/20/2021,2.68,3.9,2.64,3.5,0.87,1217,4535,59.40%,-0.51752154820244,0.051147541523014,-0.15523212257418,0.052291521258696,-0.010750211958716,3.5000049342892,79.27,80
04/19/2021,2.2,3,1.86,2.63,0.43,1041,3474,56.57%,-0.42480490917001,0.049199278251584,-0.14180577263121,0.055170362860213,-0.0099638538372407,2.6300052590663,81.11,80
04/16/2021,1.8,2.45,1.75,2.2,0.25,1018,3474,49.91%,-0.37431044218724,0.047202259597553,-0.10862661723645,0.060970010784767,-0.011333829145041,2.1999999999999,82.15,80
04/15/2021,3.46,3.46,1.69,1.95,-2.2,957,2934,49.11%,-0.3368544139079,0.044184260742197,-0.10052392332005,0.061436067653698,-0.011069228375174,1.950004687292,83.01,80
04/14/2021,3.32,4.27,3.28,4.15,0.98,151,2900,51.03%,-0.54680744427625,0.047222466744207,-0.10381378774682,0.065154578760843,-0.018106847386536,4.1500045279724,78.55,80
04/13/2021,3.55,3.75,3.1,3.17,-0.96,150,2865,47.37%,-0.47027111619966,0.048535014081762,-0.095857551591524,0.068845926142785,-0.016878201217604,3.1700039568433,80.19,80
04/12/2021,2.2,4.5,2.2,4.13,2.07,1779,2111,48.06%,-0.54547035781087,0.047272281851497,-0.092245625989109,0.069160300621361,-0.020327185902756,4.130005003466,78.58,80
04/09/2021,2.44,2.48,1.89,2.06,-0.02,212,1968,41.84%,-0.34881526971713,0.044544624980292,-0.07310843318625,0.073434084307041,-0.016000009951865,2.060006298174,82.76,80
04/08/2021,2.26,2.44,2.06,2.08,-0.35,157,1935,43.84%,-0.3316420389508,0.040460093670768,-0.073922614143599,0.074250852111812,-0.016134511568059,2.0800047190512,83.35,80
04/07/2021,2.3,3.4,2.3,2.43,-0.57,93,1911,42.12%,-0.37834872917621,0.043754938217201,-0.071790747005015,0.078457806644091,-0.01893105247167,2.4300056375555,82.2,80
04/06/2021,3,3.3,2.65,3,-0.05,126,1911,44.55%,-0.41541325044356,0.041919383349413,-0.075518206742546,0.081428218472441,-0.021598027937537,3.0000043609506,81.44,80
04/05/2021,3,3.5,2.97,3.05,-0.35,284,1675,44.21%,-0.41630274839952,0.041421239048151,-0.073439277386989,0.083137397839583,-0.02256613036116,3.0500044648462,81.43,80
04/01/2021,3.5,3.9,3.2,3.4,-1.2,229,1499,43.34%,-0.43161779502877,0.039686960064874,-0.067067167546001,0.089839072675085,-0.027136915730403,3.4000065605579,81.09,80
03/31/2021,5.55,5.55,4.05,4.6,-1.69,1038,465,41.99%,-0.53864499493085,0.042026178401927,-0.062522929792141,0.089356890751552,-0.033829336221203,4.6000050989205,78.5,80
03/30/2021,6.33,6.33,6.25,6.29,0.81,5,464,43.87%,-0.63202975042674,0.038794170522962,-0.059038702875882,0.083472521936256,-0.039886497216202,6.2900063800084,76,80
03/29/2021,5.75,6.26,5.25,5.48,-0.16,52,424,41.89%,-0.59152155301695,0.040604298439117,-0.05803334430371,0.088708273931185,-0.039022091780083,5.4800078247981,77.14,80
03/26/2021,5.92,6.16,5.25,5.64,-0.86,169,260,43.44%,-0.57037432984543,0.037720890409034,-0.058393790997638,0.094133729657343,-0.041686442520117,5.6400071504681,77.41,80
03/25/2021,6.05,6.99,6.05,6.5,0.8,46,262,44.52%,-0.60881694269165,0.036040857551543,-0.056809126550582,0.091916590831419,-0.045247547708627,6.5000078222152,76.22,80
03/24/2021,5.61,5.71,5,5.7,0.6,16,248,37.02%,-0.62657140124347,0.042018869052669,-0.046101400242649,0.092207928470494,-0.047061989416619,5.7000082959421,76.48,80
03/23/2021,4.4,5.25,4.4,5.1,0.54,18,234,41.65%,-0.53385294749742,0.03774826048373,-0.055062940340516,0.10052437668273,-0.042892901452873,5.1000042361685,78.38,80
03/22/2021,4.83,4.99,3.9,4.56,-1.24,78,145,45.10%,-0.4605069526769,0.03354443112989,-0.060231136688211,0.10419686034957,-0.039310625421507,4.5600074121725,80.3,80
03/19/2021,5.8,5.8,5.16,5.8,0.85,32,145,49.47%,-0.49461568356969,0.030075533959039,-0.062984302905675,0.10697527674352,-0.045514180424533,5.7999999999981,79.06,80
03/18/2021,4.65,6.3,4.65,4.95,0.24,30,117,45.11%,-0.53035036257045,0.032894378189689,-0.055930720422637,0.10665443459307,-0.048888939119252,5.8750081194643,78.12,80
03/17/2021,4.17,5.07,4.17,4.71,0.48,35,86,47.90%,-0.39060953021765,0.027934974629928,-0.059935385853653,0.11011797012006,-0.039214359315309,4.1750073098081,82.63,80
"Downloaded from Barchart.com as of 11-22-2021 11:35am CST"
