Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
10/29/2021,21.34,21.34,19.7,20.22,-0.62,108,645,252.24%,0.92939362661567,0.0085756050022544,-1.0809129634113,0.0084447039575706,0.0024567607948001,20.750000438498,120.23,100
10/28/2021,21,21.88,20.64,20.84,-1.36,62,645,260.44%,0.9300679203957,0.0081218396180365,-1.1082709058741,0.0085093819488054,0.0024927861996815,21.700000479659,121.16,100
10/27/2021,21.65,26.4,21.5,22.2,-1.1,274,642,149.90%,0.96913287576712,0.0051323120688053,-0.23656905723257,0.0063070501248979,0.0052633659652912,22.450000373231,122.28,100
10/26/2021,25,26.95,23.1,23.3,0.98,190,642,141.16%,0.95325030498104,0.0062107263582569,-0.25650659094841,0.010893983649492,0.0077205417614579,23.250000126231,122.93,100
10/25/2021,21.53,23.22,19.2,22.32,2.13,74,642,99.30%,0.97687680361542,0.0043008738439947,-0.087260160586133,0.007012626010349,0.010636243885642,22.475000674508,122.36,100
10/22/2021,20,20.45,18.9,20.19,1.09,195,642,86.13%,0.94246546020358,0.0080631855602377,-0.11788007223044,0.019128061140331,0.017785028783024,20.190001155604,119.82,100
10/21/2021,17.8,19.1,17.8,19.1,2.62,61,642,79.17%,0.94138844312351,0.0083598460910366,-0.10245395346553,0.020664071847686,0.020303799086463,19.700001340825,119.33,100
10/20/2021,17.5,17.5,16.48,16.48,0.33,14,656,61.47%,0.94747835518525,0.0095438411657197,-0.067155142884603,0.019604203062905,0.023086152767249,16.649999999999,116.39,100
10/19/2021,16.5,17.15,14.9,16.15,-0.4,62,656,58.63%,0.94601435671219,0.0097066224603402,-0.062088975194996,0.021108992596596,0.02560270750962,16.600001176425,116.33,100
10/18/2021,14,17.25,13.95,16.55,3.85,189,813,60.30%,0.93394127753931,0.010532018428141,-0.071338203073297,0.02595343464025,0.027707556471412,16.800002559291,116.43,100
10/15/2021,12.65,13.1,11.92,12.7,0.059999999999999,57,813,48.96%,0.89278579440917,0.017169751209189,-0.071070055948245,0.040536608686034,0.033522939868469,12.699999999981,112.12,100
10/14/2021,11,12.82,10.78,12.64,2.54,113,813,48.58%,0.884821630787,0.017616046657429,-0.071635461859287,0.044116913013695,0.03552785354799,12.640002783862,111.99,100
10/13/2021,8.02,10.85,8.02,10.1,2.94,234,803,48.48%,0.81983097038887,0.023698421494226,-0.091078776738862,0.060006395727906,0.034714621177656,10.300003780694,109.16,100
10/12/2021,7.65,7.85,7.05,7.16,0.16,75,803,47.17%,0.70344733367122,0.032348134553754,-0.1089230974237,0.078402231104201,0.031079785689503,7.1600042601593,105.04,100
10/11/2021,7.5,8.85,7,7,-0.55,287,644,46.95%,0.68837148489281,0.032400841755555,-0.10734527053271,0.082195281961038,0.032083744661016,7.000007966196,104.68,100
