Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
03/20/2020,2.65,2.75,2.27,2.68,0.08,122,17816,0.00%,0,0,0,0,0,0,4.33,7
03/19/2020,2.78,2.78,2.44,2.6,0.07,103,18872,"1,009.52%",-0.72060112334006,0.14226437588186,-0.39784395897469,0.00078617029881232,-0.00016633116312852,2.8500000548503,4.47,7
03/18/2020,2.25,2.88,2.25,2.53,0.51,397,19192,687.38%,-0.73034325152439,0.14409101401759,-0.18988280283017,0.0010989638521883,-0.00033350929161204,2.8000000890611,4.5,7
03/17/2020,2.12,2.31,1.91,2.02,-0.0099999999999998,125,19481,312.03%,-0.85096439238998,0.16308873818812,-0.055671683925803,0.0010499733116862,-0.00052219172042012,2.0900000028035,5.01,7
03/16/2020,1.96,2.03,1.75,2.03,0.52,5643,14555,265.15%,-0.85670920581069,0.16160397163919,-0.040145413952031,0.0011788066169253,-0.00069886177995431,2.0850000606232,5.01,7
03/13/2020,1.21,1.87,1.21,1.51,-0.17,844,15256,127.09%,-0.87513394306686,0.20529212200452,-0.015510587319443,0.0015862441445996,-0.0012201105136143,1.4350001335843,5.63,7
03/12/2020,1.31,1.78,1,1.68,0.57,395,15376,109.90%,-0.94119512670596,0.13057756155446,-0.0073856213415879,0.00090068138990737,-0.0014718673007669,1.6800000667704,5.35,7
03/11/2020,1,1.13,0.94,1.11,0.27,481,15462,99.83%,-0.84541059448927,0.25445423928714,-0.013172656032253,0.0021805580404403,-0.0015208575701839,1.1800000551147,5.9,7
03/10/2020,0.83,1.22,0.83,0.84,-0.26,375,15528,66.65%,-0.83363369192903,0.35766352005292,-0.0095988114118817,0.0025595795941547,-0.0016516568047585,0.80999999999991,6.26,7
03/09/2020,1.2,1.2,0.85,1.1,0.51,726,16193,69.34%,-0.91375659791853,0.21592975675877,-0.006125083328615,0.0015710793865338,-0.0019682960107471,1.1400001152412,5.9,7
03/06/2020,0.5,0.69,0.49,0.59,0.15,1090,16193,27.61%,-0.9198345486939,0.41084228913859,-0.0029965765233461,0.0018331071879726,-0.0024968816201863,0.53999999999902,6.49,7
03/05/2020,0.26,0.46,0.26,0.44,0.22,3096,17458,50.21%,-0.63455489009288,0.54533848108554,-0.0093674108681737,0.005110408561996,-0.0019384522521099,0.44000035051653,6.74,7
03/04/2020,0.31,0.31,0.13,0.22,-0.1,624,17304,40.77%,-0.44119395161546,0.65111357459775,-0.0079505395347585,0.0058323718685673,-0.0014613276323391,0.21000044706825,7.08,7
03/03/2020,0.23,0.34,0.15,0.32,0.08,1056,15744,47.37%,-0.50593957696401,0.55780454078747,-0.0089222291726705,0.0059775072830025,-0.0017868157467515,0.31000039144633,6.97,7
03/02/2020,0.34,0.4,0.2,0.24,-0.18,6452,14259,44.67%,-0.3793030964896,0.53143749389137,-0.0079741228538167,0.0060682989090284,-0.0014454161227292,0.20000053427871,7.2,7
02/28/2020,0.45,0.57,0.36,0.42,0.08,1329,14257,55.82%,-0.49891872276126,0.42625076415355,-0.0093933099091331,0.0066295600809034,-0.0022308754448923,0.40500047252055,6.96,7
02/27/2020,0.26,0.37,0.2,0.34,0.15,3386,13837,44.88%,-0.50494161558656,0.51704111377247,-0.0075219431345328,0.006792772629453,-0.0023232265566324,0.33500043298413,6.97,7
02/26/2020,0.19,0.19,0.12,0.19,0,1447,13328,37.56%,-0.37257179804471,0.55496712625354,-0.0060101494538534,0.0068261479501163,-0.0018092761641611,0.18500020228235,7.21,7
02/25/2020,0.08,0.21,0.08,0.19,0.1,2206,13036,39.21%,-0.36790084557491,0.51677903284366,-0.0061177604292889,0.0069631171433591,-0.001877209940878,0.19500057887206,7.23,7
02/24/2020,0.05,0.11,0.05,0.09,0.05,4730,10356,38.01%,-0.21149662439631,0.38351776696707,-0.0045951511117498,0.0057216320059856,-0.0011616639912157,0.095000267288686,7.57,7
02/21/2020,0.04,0.05,0.04,0.04,0,292,10356,35.99%,-0.11272977262959,0.24290119112022,-0.0028134408909493,0.0041756089089728,-0.00071682902114123,0.045000276105576,7.89,7
02/20/2020,0.04,0.04,0.04,0.04,0.01,39,10324,36.37%,-0.08812509560364,0.19388888825342,-0.0023670289915575,0.0036136535368243,-0.00059004624654128,0.035000200829435,8.03,7
02/19/2020,0.02,0.04,0.02,0.03,0,5108,6132,35.01%,-0.090043054519775,0.20199791496596,-0.0022738664523317,0.0037205890093627,-0.00062083084894503,0.035000081664387,8,7
02/18/2020,0.04,0.04,0.02,0.03,-0.01,61,6107,35.84%,-0.086446030554526,0.18690962897016,-0.0022351271368235,0.0036963857213575,-0.00062149047565043,0.035000210479693,8.06,7
02/14/2020,0.03,0.04,0.03,0.04,0.01,3,6105,34.51%,-0.084383414330063,0.17849759461157,-0.0020067748005658,0.0038757362464935,-0.00068897777344423,0.034999999956528,8.1,7
02/13/2020,0.04,0.04,0.02,0.03,0,49,6090,34.28%,-0.062182892390651,0.1377021606322,-0.0015796812647386,0.0031695234304319,-0.00053063880159232,0.02500016074272,8.25,7
02/12/2020,0.04,0.04,0.03,0.03,-0.01,87,6136,35.07%,-0.070318452835279,0.14618856805047,-0.0017530428202911,0.0035295818748622,-0.00061777221646584,0.030000120477988,8.24,7
02/11/2020,0.05,0.05,0.04,0.04,-0.01,748,5666,33.04%,-0.084547760933069,0.1791498458582,-0.0018549509661205,0.0040437491141099,-0.00074941925173064,0.035000326058811,8.1,7
02/10/2020,0.06,0.06,0.04,0.05,0,124,5625,34.02%,-0.10079625795351,0.19650681052671,-0.0021401871750714,0.0046415849668572,-0.00091614521922068,0.045000390400556,8.06,7
02/07/2020,0.05,0.06,0.05,0.05,0.01,37,5558,35.78%,-0.10966082105017,0.19016947984034,-0.0023192681208187,0.0051503000500856,-0.0010866487585235,0.055000482429559,8.11,7
