Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
01/15/2021,1.07,1.1,0.81,0.82,-0.35,5305,42467,92.50%,0.96903433692189,0.14925307897899,-0.01582913442635,0.00035537051196128,0.00013838003582518,0.83500001725777,9.83,9
01/14/2021,0.8,1.2,0.79,1.17,0.39,5225,52997,0.00%,0,0,0,0,0,0,10.17,9
01/13/2021,0.9,0.9,0.66,0.78,-0.01,6231,55198,63.34%,0.96533088743198,0.17022431926707,-0.007957922790458,0.00054982989266162,0.00024822841313308,0.7850000381075,9.78,9
01/12/2021,0.38,0.82,0.36,0.79,0.44,17699,60654,58.73%,0.94548222333617,0.21551687741802,-0.0087095215136242,0.00097066036300575,0.0003927933533987,0.79000003967029,9.78,9
01/11/2021,0.14,0.39,0.07,0.35,0.18,23268,62180,43.90%,0.76709797930719,0.71994649396285,-0.015411649516711,0.0029697252300309,0.0005737951872901,0.35500004008932,9.3,9
01/08/2021,0.22,0.25,0.11,0.17,-0.04,19511,57687,34.11%,0.50146339828646,0.94204544604028,-0.011460525624023,0.0049639851943655,0.00070753478076391,0.1650003018407,9,9
01/07/2021,0.15,0.21,0.13,0.21,0.08,10788,57470,32.65%,0.55586271521651,0.90695290482092,-0.01009589414883,0.0052872096477028,0.00088384671186819,0.20000033671008,9.06,9
01/06/2021,0.12,0.15,0.07,0.13,0.04,10735,54262,37.59%,0.38315883060865,0.73327099600795,-0.01054852335229,0.0052922630780202,0.00070632592521738,0.13500040454445,8.84,9
01/05/2021,0.07,0.1,0.06,0.09,0.02,7678,51768,37.93%,0.26573273585642,0.60501019258274,-0.0085404722164686,0.0046919114883591,0.00054561859351586,0.085000242493277,8.65,9
01/04/2021,0.15,0.16,0.06,0.07,-0.08,6742,50921,38.57%,0.20839276317099,0.5034856639867,-0.0071507383831387,0.0042401818625742,0.00046939010240394,0.065000321287648,8.52,9
12/31/2020,0.19,0.19,0.14,0.15,-0.04,5811,51833,35.29%,0.37225050078956,0.60346155332311,-0.0074292565071058,0.0067279945376677,0.0011213885422097,0.15500037026416,8.79,9
12/30/2020,0.19,0.21,0.17,0.19,0.01,2404,50895,35.96%,0.42006311803361,0.58830965599311,-0.0075892995536012,0.0072334651837565,0.0013323190637158,0.19500038257833,8.86,9
12/29/2020,0.22,0.24,0.16,0.18,-0.04,2692,50585,35.83%,0.39925063650661,0.56843112770389,-0.0072113940731912,0.0073319535597282,0.0013436669678136,0.18500064336525,8.82,9
12/28/2020,0.27,0.31,0.21,0.22,-0.03,3993,50494,34.96%,0.43911472229547,0.57375363241529,-0.0069773519820876,0.0077621906530623,0.0015610109038722,0.21500015820569,8.89,9
12/24/2020,0.33,0.33,0.24,0.25,-0.07,3112,50420,36.93%,0.43505967169322,0.49212803001615,-0.0066066207435953,0.008534934792489,0.0018698254672995,0.24499999999996,8.86,9
12/23/2020,0.25,0.34,0.25,0.32,0.06,8876,47398,38.31%,0.50114552373339,0.46385912830945,-0.0068406626705061,0.0089656021270535,0.0022146644086519,0.32499999999823,8.99,9
12/22/2020,0.32,0.34,0.22,0.26,-0.06,4840,46540,39.99%,0.41505564824209,0.43416992613707,-0.0067631378440509,0.0087580778279252,0.0019247955636755,0.25499999999994,8.79,9
12/21/2020,0.3,0.35,0.28,0.32,-0.04,4617,46422,38.96%,0.47556484425212,0.43933612701711,-0.0066214195329262,0.0092690123706001,0.0022895033122447,0.31500062759461,8.93,9
12/18/2020,0.44,0.44,0.33,0.36,-0.08,4314,46422,40.09%,0.48756323261177,0.40324888239562,-0.006431449689967,0.0098382488981245,0.0025945695499482,0.3550009338855,8.95,9
12/17/2020,0.44,0.48,0.4,0.44,0.01,3028,46429,41.23%,0.53989243317269,0.3784384097955,-0.0065215717301735,0.010098519245729,0.0029082288182596,0.43999999999983,9.08,9
12/16/2020,0.51,0.51,0.38,0.43,-0.07,3118,46018,41.71%,0.52442156865504,0.37028961553093,-0.0064846468877481,0.010264161018815,0.0029587404193343,0.4299999999999,9.04,9
12/15/2020,0.44,0.5,0.38,0.5,0.13,3314,46679,41.56%,0.56459997642836,0.3575339309951,-0.0063075451910905,0.010428544688675,0.0032286390703819,0.49500070940463,9.15,9
12/14/2020,0.53,0.56,0.37,0.37,-0.11,4953,46062,41.49%,0.47644212649413,0.36554108294203,-0.0061758069073211,0.010453163916671,0.0028707132900977,0.37500064898891,8.91,9
12/11/2020,0.6,0.6,0.48,0.48,-0.08,2469,46062,44.82%,0.519356479289,0.31975457429154,-0.0064383709449627,0.011062832820267,0.0033707804915351,0.48499916186848,9.02,9
12/10/2020,0.63,0.65,0.53,0.56,-0.15,4458,44873,46.14%,0.55122584327386,0.3009267122022,-0.0065391646551628,0.011251705030372,0.003614025047481,0.55999999999993,9.12,9
12/09/2020,0.65,0.74,0.62,0.71,0.13,4091,47002,40.68%,0.65862945225005,0.30283584815258,-0.0052536028196689,0.010926605033087,0.0043125046470368,0.70500066149062,9.45,9
12/08/2020,0.58,0.65,0.57,0.58,-0.01,1634,47177,41.59%,0.59261327383884,0.31502238292189,-0.0055814402279215,0.011486646917338,0.004079305226945,0.59500050304197,9.25,9
12/07/2020,0.66,0.7,0.55,0.59,-0.1,3433,47151,42.20%,0.58180040105115,0.3092287832381,-0.0056209627976219,0.011670877105665,0.0041062057581303,0.59000059363179,9.22,9
12/04/2020,0.65,0.76,0.65,0.69,0.07,3107,46802,43.57%,0.61341058685747,0.2793261413643,-0.005507251021357,0.012007521311103,0.0045955211382319,0.69499999999981,9.34,9
12/03/2020,0.63,0.68,0.59,0.62,0,5051,44371,42.93%,0.57560074459161,0.29062745014768,-0.0054390017499928,0.012273859599196,0.0044539689506018,0.61500074087605,9.21,9
12/02/2020,0.62,0.65,0.55,0.62,-0.04,2083,44012,42.96%,0.57207537451449,0.28786706845179,-0.0053792101492841,0.012421891060968,0.0045247039924336,0.61500064938635,9.2,9
12/01/2020,0.61,0.75,0.61,0.66,0.09,5342,45702,44.27%,0.58219310574213,0.2735822433794,-0.00547760826534,0.012549698359259,0.0046904446279353,0.66000060766184,9.24,9
11/30/2020,0.64,0.67,0.51,0.57,-0.02,4897,44614,43.45%,0.53672158467577,0.28535733330664,-0.0053465164432073,0.012694062069482,0.0044289203970926,0.565,9.08,9
11/27/2020,0.61,0.62,0.54,0.59,-0.02,1692,44269,42.60%,0.53872413922908,0.28162870976113,-0.0050455389621895,0.013104041306117,0.0047321638521305,0.57499999999997,9.09,9
11/25/2020,0.69,0.69,0.54,0.61,-0.19,5218,44013,44.51%,0.53668446792441,0.26449036848259,-0.0051784561783881,0.013357255279551,0.0048693187339387,0.60499999999991,9.08,9
11/24/2020,0.57,0.85,0.55,0.8,0.33,18195,56934,42.02%,0.63571387323111,0.25297689669931,-0.0046180962755271,0.013226076874688,0.0057431656236284,0.79500130983811,9.45,9
11/23/2020,0.44,0.52,0.43,0.47,0.04,7368,55990,42.04%,0.47283021322928,0.28187944926224,-0.0047005360355169,0.013326644390896,0.0045025657334496,0.47000077698437,8.86,9
11/20/2020,0.51,0.51,0.4,0.43,-0.06,2620,55990,41.77%,0.44008176508117,0.27721540477106,-0.0044480136040982,0.013392440866404,0.0044016194701414,0.4250000581446,8.74,9
11/19/2020,0.51,0.51,0.44,0.49,0,2579,56130,43.53%,0.46698027559871,0.26326866348363,-0.0046675300678864,0.013737196162764,0.0047329465346913,0.49000078563073,8.82,9
11/18/2020,0.46,0.6,0.46,0.49,0.03,6712,56808,42.84%,0.46586539599876,0.26517743177728,-0.0045380795696462,0.013852609939028,0.0048104488289561,0.48500094847611,8.82,9
11/17/2020,0.39,0.5,0.39,0.46,-0.01,7673,56650,42.67%,0.4473126817639,0.26469151956875,-0.0044317715312943,0.013791999461744,0.0046854174776123,0.45500044090556,8.75,9
11/16/2020,0.44,0.5,0.41,0.47,0.09,8051,57273,42.50%,0.46078377543074,0.26306350879201,-0.0044020091125678,0.014038739628327,0.0049139787208466,0.4800005649864,8.8,9
11/13/2020,0.29,0.4,0.29,0.38,0.1,9541,54284,42.82%,0.3958534529821,0.25463055721541,-0.0041105931485108,0.013556728599834,0.0043863262577659,0.38500077435962,8.54,9
11/12/2020,0.3,0.3,0.24,0.28,-0.04,5250,47437,44.39%,0.32182387383298,0.23534996394782,-0.0038277870309349,0.012244522743561,0.0036236462636063,0.28999999999817,8.21,9
11/11/2020,0.45,0.45,0.3,0.32,-0.02,8336,47039,42.86%,0.34469108426727,0.24505280522973,-0.0037938108610704,0.012858172980236,0.0039728556216417,0.31500111835275,8.33,9
11/10/2020,0.28,0.42,0.26,0.34,0.07,7338,47878,43.88%,0.3631382066128,0.24067175730218,-0.0039466776611087,0.013269389862681,0.0042033189799155,0.35000078660188,8.38,9
11/09/2020,0.24,0.33,0.24,0.27,0.07,5169,45856,41.73%,0.30932423855595,0.24095700978157,-0.0034279249136418,0.012302584781009,0.0036688115073735,0.26500085897941,8.2,9
11/06/2020,0.25,0.25,0.19,0.2,-0.05,2394,45359,44.65%,0.23922961884714,0.20404623784757,-0.0030411766806614,0.010524238231741,0.0028474197694139,0.19500069439429,7.79,9
11/05/2020,0.19,0.25,0.19,0.25,0.08,3131,43870,43.72%,0.27791229122698,0.21806945004715,-0.003250702952209,0.011743578443819,0.0034103000207736,0.24000108287329,7.99,9
11/04/2020,0.25,0.25,0.16,0.17,-0.07,2309,43973,46.01%,0.22105656544559,0.19035902409253,-0.002907154610203,0.010016551346708,0.0026627474548208,0.18000010441651,7.64,9
11/03/2020,0.22,0.27,0.22,0.24,0.01,3413,41590,46.63%,0.27444033460197,0.20309028521907,-0.0033668423628192,0.011669498674247,0.0033895776031646,0.25000069069309,7.88,9
11/02/2020,0.26,0.34,0.21,0.23,-0.02,425,41522,47.66%,0.24798440963779,0.19143248904833,-0.0031880952507638,0.010914337061057,0.0030510168342385,0.22000063128164,7.71,9
10/30/2020,0.28,0.28,0.21,0.25,-0.04,1581,40757,49.43%,0.26664622782408,0.18733186164981,-0.0033683169908636,0.011585364170428,0.0033826729264885,0.25500071802603,7.73,9
10/29/2020,0.41,0.43,0.28,0.29,0,5043,39584,48.05%,0.29359106354647,0.19632768109698,-0.0034599206657799,0.012481050944582,0.0038357965866098,0.29000061263942,7.9,9
10/28/2020,0.25,0.31,0.25,0.29,-0.02,1025,39704,52.10%,0.27846295488938,0.17992366952408,-0.0035710590013857,0.011939069972423,0.0035691094563932,0.28500082991688,7.7,9
10/27/2020,0.33,0.36,0.3,0.31,-0.03,1387,39763,48.22%,0.30114200184197,0.19497452190187,-0.003468321197752,0.01281562005416,0.0040239830495503,0.30500077451431,7.92,9
10/26/2020,0.35,0.37,0.32,0.34,-0.05,1800,39697,47.59%,0.32125359965324,0.19918904749029,-0.0035311275612157,0.013439633027148,0.0043702793918465,0.33500107590673,8.03,9
10/23/2020,0.44,0.46,0.36,0.39,-0.03,2312,39523,47.59%,0.35121327940324,0.19947192736557,-0.0036261336865492,0.014380277892305,0.0049104269400635,0.39000095206045,8.16,9
10/22/2020,0.32,0.43,0.31,0.42,0.11,8837,33575,47.81%,0.36333928364074,0.19850294122296,-0.0036795065263551,0.014724090972322,0.005145745561134,0.41500085170037,8.21,9
10/21/2020,0.23,0.32,0.23,0.31,0.04,4142,30627,49.05%,0.29967196765077,0.18601088159994,-0.0033538466225252,0.013133901089525,0.0042404260033879,0.31500070714728,7.85,9
10/20/2020,0.24,0.3,0.24,0.27,0.03,707,30418,47.38%,0.27085579713976,0.18505881959723,-0.0030253570746681,0.012417431072556,0.0038742263251679,0.2650008118549,7.74,9
10/19/2020,0.26,0.27,0.23,0.24,-0.03,1278,30209,47.92%,0.24773938520556,0.17716222372774,-0.0028585280310067,0.01169738067937,0.0035318447610955,0.23500061288108,7.59,9
