Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/18/2021,0.02,0.02,0.01,0.01,0,17,12197,95.95%,-0.042295334834364,0.15816175195887,-0.026133400340247,0.00053554913817712,-1.332266523664E-5,0.0099999999999809,11.43,10.5
02/17/2021,0.01,0.01,0.01,0.01,0,158,12222,99.14%,-0.04067003362168,0.14655541631103,-0.026081401800337,0.00052490249889662,-1.306543957226E-5,0.010000030708338,11.48,10.5
02/16/2021,0.02,0.02,0.01,0.01,0,1009,12637,73.29%,-0.038924865102879,0.13456988730639,-0.013251473954452,0.00072005262515553,-2.5161185092902E-5,0.010000019701321,11.54,10.5
02/12/2021,0.04,0.04,0.01,0.01,-0.03,1226,12394,47.99%,-0.076898962195374,0.20472589517068,-0.0085844245624236,0.0021177732510653,-0.00014884768374454,0.025000190898129,11.45,10.5
02/11/2021,0.03,0.05,0.03,0.04,0.01,330,12333,48.40%,-0.094660147450051,0.21955911842258,-0.0093818768041876,0.0026724721700402,-0.00021457550016327,0.035000138784463,11.45,10.5
02/10/2021,0.02,0.05,0.02,0.03,0.01,642,12232,50.87%,-0.063068190099816,0.1397873215531,-0.0069495070589018,0.0021560480190748,-0.00016803971012288,0.025000126227518,11.76,10.5
02/09/2021,0.05,0.07,0.02,0.02,-0.04,637,12281,52.53%,-0.057513281979095,0.11703874597362,-0.0063853787263932,0.0021583448658966,-0.00017534781067617,0.025000128007768,11.93,10.5
02/08/2021,0.08,0.1,0.06,0.06,-0.05,1141,11861,52.08%,-0.12616935617252,0.20784408637526,-0.010508670950884,0.0039630613953549,-0.0004174014380659,0.064999999997204,11.56,10.5
02/05/2021,0.16,0.16,0.09,0.11,-0.17,2200,11613,52.08%,-0.16665146851996,0.22069883608694,-0.011115200676953,0.0054236678271726,-0.00072057680221976,0.10500043351757,11.51,10.5
02/04/2021,0.26,0.3,0.21,0.28,-0.05,2209,10497,71.95%,-0.26636258796585,0.20481054308261,-0.019172485458229,0.0073056798025815,-0.0012690301934293,0.28000021582448,11.37,10.5
02/03/2021,0.46,0.47,0.3,0.33,-0.15,1499,10000,67.75%,-0.29953667483675,0.22564373290056,-0.018245413806387,0.0078796602110951,-0.0015081418787422,0.31500040174031,11.2,10.5
02/02/2021,0.4,0.52,0.4,0.48,-0.08,774,9701,71.79%,-0.38705293546282,0.23420765536299,-0.020077546646988,0.008690637724473,-0.0020551862225937,0.48500052252095,10.86,10.5
02/01/2021,0.6,0.6,0.38,0.56,-0.05,4668,7873,77.30%,-0.39345781527771,0.20598722899531,-0.020469804073195,0.0092586051423243,-0.00239076955455,0.57500064672895,10.86,10.5
01/29/2021,0.51,0.66,0.49,0.61,0.1,3138,6174,62.78%,-0.46935616675177,0.25640498047908,-0.016051282505924,0.0097780929823328,-0.003045099755683,0.61500040643212,10.53,10.5
01/28/2021,0.55,0.56,0.45,0.51,-0.1,5091,3301,59.19%,-0.42092262117343,0.25637687759221,-0.014770499484036,0.01003181576179,-0.0028895418210939,0.51000024414245,10.72,10.5
01/27/2021,0.45,0.61,0.44,0.61,0.21,343,3249,66.94%,-0.40803807460205,0.21849820275915,-0.016223280713268,0.010261344614094,-0.0030002820158859,0.57500055398378,10.79,10.5
01/26/2021,0.35,0.41,0.34,0.4,-0.02,132,3226,62.61%,-0.32032606185767,0.20308610356437,-0.014132336955215,0.010030710519109,-0.0025107479644731,0.40000076842509,11.19,10.5
01/25/2021,0.37,0.48,0.34,0.42,0.05,1050,2474,67.76%,-0.31244460760098,0.18014231042711,-0.014908538960104,0.010229012173504,-0.0026054796098407,0.43500084852845,11.29,10.5
01/22/2021,0.37,0.39,0.32,0.37,0.01,2833,2900,63.75%,-0.27565842580802,0.16394697212339,-0.012524633977281,0.010638517755888,-0.0027275739826471,0.38000085308492,11.52,10.5
01/21/2021,0.32,0.38,0.2,0.36,-0.09,2682,2616,61.00%,-0.27045384051818,0.16661046209638,-0.011695155228429,0.010733959337933,-0.0027636081108747,0.36000063934,11.53,10.5
01/20/2021,0.64,0.64,0.45,0.45,-0.32,1725,506,48.80%,-0.38761961558448,0.2513668900566,-0.010251177498264,0.011888435760207,-0.0038297670069964,0.44999999999999,10.86,10.5
"Downloaded from Barchart.com as of 11-22-2021 01:02pm CST"
