Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/21/2020,0.04,0.04,0.04,0.04,0,0,183,150.98%,-0.010519720128892,0.010239423873783,-0.038446091622825,0.0005016771641756,-1.0111697498196E-5,0.010000028092383,34.65,29
02/20/2020,0.04,0.04,0.04,0.04,0,0,183,163.00%,-0.0095747726818198,0.0085151781509289,-0.038655731394825,0.00047410562743837,-9.5313259563558E-6,0.01000002747676,35.29,29
02/19/2020,0.04,0.04,0.04,0.04,0,0,183,100.93%,-0.0058338824959718,0.0063506354783491,-0.010830239477917,0.00042883761268131,-1.1436648977565E-5,0.0050000234661377,34.92,29
02/18/2020,0.04,0.04,0.04,0.04,0,0,183,76.66%,-0.0063240748941568,0.0074419839697282,-0.0071126890018875,0.00055589347703676,-1.8296782101296E-5,0.0050000448921339,34.41,29
02/14/2020,0.04,0.04,0.04,0.04,0,0,183,52.72%,-0.0059851305853905,0.0066782042573069,-0.0030861766763351,0.00081689522357818,-4.0857498013656E-5,0.0050000300845274,34.76,29
02/13/2020,0.04,0.04,0.04,0.04,0,0,183,52.89%,-0.0055301283509025,0.0057170065950187,-0.0027415785766019,0.00082653247515704,-4.3870224612709E-5,0.0050000705940046,35.29,29
02/12/2020,0.04,0.04,0.04,0.04,0,0,183,51.12%,-0.0053763395691288,0.0054087610127723,-0.0024505089408017,0.00085980958129454,-4.8280934312002E-5,0.0050000839648285,35.49,29
02/11/2020,0.04,0.04,0.04,0.04,0,0,183,49.65%,-0.0099837295199399,0.0092419413331463,-0.0038458553621133,0.0015425331504164,-9.8501346023222E-5,0.01000012045366,35.01,29
02/10/2020,0.04,0.04,0.04,0.04,0,0,168,45.02%,-0.015343351759729,0.014413728164146,-0.0047247553833553,0.0022961286312643,-0.00016289316409863,0.015000141716122,34.25,29
02/07/2020,0.04,0.04,0.04,0.04,0,0,168,36.14%,-0.01707498747946,0.017765166692265,-0.0036267418410404,0.0027873443870334,-0.00022600639793349,0.015000232269495,33.63,29
02/06/2020,0.04,0.04,0.04,0.04,0,0,168,33.77%,-0.0064260043455908,0.0076793236635806,-0.0014265398219964,0.0012576328768731,-9.2714082551158E-5,0.0050000935335294,34.33,29
02/05/2020,0.04,0.04,0.04,0.04,0,0,168,41.53%,-0.01363478945324,0.011443127401559,-0.0033427338288637,0.0025584916245883,-0.00021594566637024,0.014999999998961,35.03,29
02/04/2020,0.04,0.04,0.04,0.04,-0.09,1,169,39.78%,-0.022099513549721,0.017839246821603,-0.0046096542357281,0.003907784573112,-0.0003654113930494,0.025000332386705,34.37,29
02/03/2020,0.1,0.13,0.1,0.13,0,0,169,43.07%,-0.053088327925235,0.033518782088573,-0.0097773794251381,0.0080980028384822,-0.00091979391279112,0.07500044359601,33.72,29
01/31/2020,0.1,0.13,0.1,0.13,0,0,169,41.31%,-0.071848475745758,0.041378551367989,-0.010907871971694,0.010966735840141,-0.0014435457392804,0.11000060099406,33.39,29
01/30/2020,0.1,0.13,0.1,0.13,0,0,169,39.06%,-0.068328622652375,0.04120792955723,-0.0096840873422026,0.010779834143419,-0.0014329489051953,0.10000079640576,33.33,29
