Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
01/15/2021,9.15,9.15,7.55,8,-1.55,195,18063,182.47%,0.96999002468175,0.014379257693537,-0.16136756109931,0.001765121691197,0.00074307128351671,8.02500012688,49.97,42
01/14/2021,7.7,9.61,7.7,9.55,2.89,326,18207,215.32%,0.96933740329257,0.012342487915639,-0.19890401354417,0.0018666396917064,0.00076303102108315,9.6000001244273,51.53,42
01/13/2021,8.7,8.7,6.1,6.66,0.72,153,18339,97.53%,0.98224396193749,0.012535812128745,-0.036612276979042,0.0015706405685853,0.0012530928393694,6.7500000948751,48.73,42
01/12/2021,4.05,7.05,3.69,5.94,2.67,842,19006,83.81%,0.96003975663814,0.023829284056986,-0.050113883413398,0.0037178813592687,0.002019502491161,5.8750003033824,47.82,42
01/11/2021,1.47,3.41,1.29,3.27,1.67,5370,20462,55.97%,0.88688192939806,0.073026882325123,-0.061101024599886,0.0090208984071562,0.0029364756305562,3.150000465917,45.01,42
01/08/2021,1.82,1.82,1.18,1.6,-0.26,1335,20148,41.38%,0.67615655603221,0.14597240598957,-0.061513629080943,0.021408654609503,0.004398218073693,1.5800018335934,43.06,42
01/07/2021,2.4,2.4,1.58,1.86,0.12,819,19744,40.58%,0.7048264963572,0.13298452072007,-0.054251429466162,0.022104792092931,0.0051675560497344,1.8000013508049,43.32,42
01/06/2021,1.1,2.25,1.1,1.74,0.72,1277,19740,44.79%,0.63893918181007,0.12410793737085,-0.061140636187599,0.025246993259426,0.0053521425809796,1.73000001282,42.98,42
01/05/2021,0.58,1.11,0.57,1.02,0.38,973,20309,42.74%,0.46451857560984,0.13497998705729,-0.057229440326156,0.027381583364889,0.0044296730604564,1.0050022639018,41.66,42
01/04/2021,1.09,1.09,0.6,0.64,-0.53,1366,20965,44.22%,0.32906095458234,0.11639902572874,-0.050178359971817,0.025425644745514,0.0034389568353493,0.64500181577961,40.51,42
12/31/2020,1.08,1.22,0.93,1.17,-0.12,2969,21004,38.94%,0.46717986354731,0.12111938987905,-0.042239921961063,0.033526545645107,0.0065990191706117,1.1250020431526,41.64,42
12/30/2020,1.29,1.44,1.2,1.29,0.06,1588,21411,39.01%,0.49249362523248,0.11692950520057,-0.04120196719283,0.034897431800803,0.0073563003096429,1.2650020795914,41.84,42
12/29/2020,1.44,1.45,1.13,1.23,-0.07,982,21264,39.95%,0.46427637223698,0.11101039818344,-0.040564899619671,0.035605549316782,0.0073878273128732,1.2100015658616,41.57,42
12/28/2020,1.45,1.53,1.27,1.3,-0.06,2068,21831,39.21%,0.4746118708187,0.10994278895654,-0.038769378269533,0.036784243346845,0.0079438551045838,1.2650030219508,41.66,42
12/24/2020,1.64,1.64,1.23,1.36,-0.62,3441,21736,39.48%,0.47182818898126,0.098904454081088,-0.035107643877395,0.040560404127926,0.0095757001587297,1.3850030940378,41.58,42
12/23/2020,1.28,2.31,1.26,1.98,0.79,3285,20981,42.14%,0.5554513150624,0.08815441915345,-0.037001061849282,0.04201732684354,0.011672619747315,1.9800034989232,42.45,42
12/22/2020,1.3,1.31,1.07,1.19,-0.21,731,21175,40.03%,0.4113993754599,0.092788728765856,-0.032840654114186,0.040747746611732,0.0091052335794552,1.1750020445852,40.9,42
12/21/2020,1.06,1.56,1.01,1.4,-0.03,1215,19680,41.90%,0.44657201707992,0.087614899445025,-0.034451025232674,0.042570335168114,0.010180417484326,1.4200002902505,41.21,42
12/18/2020,1.75,1.78,1.2,1.43,-0.45,3015,19680,39.39%,0.42770812766532,0.087821309692251,-0.030123823173689,0.044490972244842,0.010919468662607,1.3199999999998,41.01,42
12/17/2020,1.77,1.89,1.63,1.88,0.27,1449,19279,40.27%,0.51826610249029,0.083694490472163,-0.031308315589679,0.047109706001158,0.013659576334233,1.87500244667,42.03,42
12/16/2020,1.65,1.69,1.37,1.61,-0.15,640,19127,40.49%,0.46817192616215,0.082838587084699,-0.030522986980216,0.047128173436977,0.012746095387484,1.6150018183451,41.42,42
12/15/2020,2.06,2.06,1.64,1.76,-0.09,747,18435,41.00%,0.48946777077542,0.080242242036449,-0.030611831507361,0.048314545060313,0.013744347073162,1.785002565235,41.66,42
12/14/2020,2.4,2.4,1.72,1.85,-0.3,1480,18159,42.11%,0.48858262080215,0.076966207253279,-0.030924215617296,0.049034708767631,0.014101335686435,1.850002527914,41.62,42
12/11/2020,2.66,2.66,2.04,2.15,-0.58,4019,18159,43.33%,0.51383886571545,0.070985566355701,-0.030566025351548,0.051623108933706,0.016085925813591,2.1549954723144,41.92,42
12/10/2020,2.75,2.86,2.53,2.73,-0.95,515,18137,44.07%,0.5794103754813,0.066045500065204,-0.030590504410307,0.052465163018833,0.01830584572815,2.7450038867743,42.87,42
12/09/2020,3.55,3.72,3.44,3.68,0.43,190,18076,43.92%,0.67596209556625,0.0580276576986,-0.02832425240063,0.050624518453679,0.021763264587297,3.750004992701,44.43,42
12/08/2020,3.4,3.49,3.25,3.25,-0.38,104,18074,43.65%,0.63750602215785,0.06095225026894,-0.02867572202341,0.052777720104801,0.021109607034608,3.3500026883623,43.8,42
12/07/2020,3.65,3.65,3.3,3.63,-0.12,112,18084,44.38%,0.66475132988266,0.05684825441197,-0.028207412118656,0.052543875152519,0.022510197755171,3.7500029823392,44.31,42
12/04/2020,3.8,4.03,3.7,3.75,0.1,131,18066,43.60%,0.66735868178697,0.070240102861017,-0.026562060277957,0.054445340702058,0.024196450145096,3.8499999999895,44.4,42
12/03/2020,4.1,4.2,3.65,3.65,-0.39,283,18086,43.65%,0.64853955109111,0.056313355848684,-0.026696568549351,0.055873749399991,0.024167378265272,3.6749999999999,44.09,42
12/02/2020,3.75,4.04,3.75,4.04,-0.31,347,18300,43.63%,0.67447261480074,0.053508546196008,-0.025788641478649,0.055445279360597,0.025393955636689,4.0250034510408,44.58,42
12/01/2020,4.2,4.75,4.15,4.35,0.9,129,18302,43.75%,0.678085601586,0.05240747800735,-0.025479595907719,0.055931963512476,0.026079868296693,4.1250028300624,44.68,42
11/30/2020,4.11,4.11,3.45,3.45,-1.1,266,18313,44.61%,0.62986416820771,0.054520831204527,-0.026739135839562,0.058491083806944,0.025002207082458,3.6499999999988,43.84,42
11/27/2020,4.83,5.05,4.35,4.55,-1.13,653,18313,44.00%,0.69116815688391,0.04864288966312,-0.024224905960125,0.057795845791544,0.028828755826993,4.5000042862494,45.06,42
11/25/2020,4.83,5.05,4.35,4.9,-0.78,577,18479,45.67%,0.70256482839179,0.044767598046313,-0.024430141296692,0.058467197871149,0.030232586592912,4.9250046670389,45.46,42
11/24/2020,5.1,5.8,4.65,5.68,1.18,440,18548,45.68%,0.74413654730238,0.040324657606506,-0.022795422962745,0.055958894743708,0.031914020870438,5.6750035431252,46.46,42
11/23/2020,3.76,4.66,3.7,4.5,1.05,1011,19104,45.26%,0.66927123051376,0.047073208847547,-0.024557578868547,0.061458177455018,0.030038061815674,4.4750032828025,44.77,42
11/20/2020,3.32,3.5,3.05,3.45,0.05,292,19104,43.90%,0.58176981742982,0.052875673483381,-0.024167597789274,0.065508683010272,0.027831853784595,3.3750035603433,43.04,42
11/19/2020,3.45,3.55,3,3.4,0.03,2608,18972,45.47%,0.5696425575509,0.051145198565067,-0.024885939457963,0.066155010968054,0.027711830385968,3.3750050295704,42.82,42
11/18/2020,2.9,4.25,2.9,3.37,0.49,1156,19376,44.83%,0.56428800066173,0.051665731941212,-0.024296348062604,0.066728973921315,0.027942262408638,3.2999999999997,42.72,42
11/17/2020,2.88,3.16,2.46,2.88,-0.12,3100,16413,44.83%,0.52556398565363,0.052697879081072,-0.024019187224327,0.066890352743352,0.026336050673592,2.9200061599682,41.98,42
11/16/2020,2.72,3.05,2.48,3,0.33,5110,14294,44.70%,0.53355174498577,0.052146363747167,-0.023766447812953,0.067585884710281,0.027195002274796,3.0150041405381,42.13,42
11/13/2020,1.94,2.69,1.92,2.67,0.93,1266,14621,45.44%,0.48661267055859,0.05132696227343,-0.023199693674154,0.067937134420806,0.025896385635882,2.6550045548009,41.19,42
11/12/2020,1.97,1.99,1.63,1.74,-0.52,580,14614,44.11%,0.38504694233944,0.052664582218838,-0.020554488241922,0.062730345809328,0.020775294740094,1.7700033343346,39.32,42
11/11/2020,2.78,2.99,2.12,2.26,-0.38,1155,15189,43.70%,0.45073767608614,0.052972933054592,-0.021466344507179,0.067489286474309,0.024807152085613,2.285001958176,40.56,42
11/10/2020,2.01,2.97,2.01,2.64,0.92,3082,15107,45.95%,0.48360565813833,0.049706596697212,-0.022831482365815,0.069319950555563,0.02679880066007,2.705006039993,41.08,42
11/09/2020,1.66,1.85,1.59,1.72,0.52,780,15414,41.97%,0.36024755468322,0.053448169088345,-0.018502279167996,0.062258025886328,0.020353705665332,1.5600052281998,38.96,42
11/06/2020,1.23,1.46,1.11,1.2,0.04,336,15236,43.44%,0.29597766754634,0.048496076295905,-0.016711423570943,0.056535202880529,0.017019568621102,1.2100030156092,37.47,42
11/05/2020,0.98,1.17,0.69,1.16,0.35,4782,12742,43.79%,0.28374587381444,0.056318701509483,-0.016264475697046,0.055333190280532,0.016430662595922,1.1500049760225,37.14,42
11/04/2020,0.86,0.87,0.75,0.81,-0.09,43,12760,46.06%,0.21539170548744,0.04057078554938,-0.013990774320938,0.045664970080936,0.0121784335394,0.80500023481135,35.24,42
11/03/2020,0.92,1.02,0.9,0.9,0.01,31,12753,47.05%,0.22787633561751,0.040609200475483,-0.014698943141864,0.047628208368589,0.013021468859965,0.89000321939693,35.35,42
11/02/2020,0.9,0.95,0.83,0.89,0.11,29,12761,48.58%,0.20749464302318,0.0378533755324,-0.013983749688661,0.044404444118459,0.011771387623908,0.8000024752419,34.55,42
10/30/2020,0.84,0.88,0.78,0.78,-0.19,140,12683,48.53%,0.21188228853947,0.037630369550684,-0.013834262489241,0.045823267529482,0.012452789105444,0.8349999986832,34.53,42
10/29/2020,0.84,0.97,0.75,0.97,0.16,34,12686,48.25%,0.22575910502044,0.038603665997837,-0.014301960974441,0.048327480506287,0.013526934600216,0.91500343709902,34.89,42
10/28/2020,0.73,0.85,0.73,0.81,-0.0099999999999999,1164,12952,48.85%,0.20100315142536,0.036229349599833,-0.013154865812974,0.044414150317413,0.011983575774556,0.78500322687109,34.09,42
10/27/2020,1,1,0.8,0.82,-0.22,256,13015,45.80%,0.21401041806398,0.038945126638663,-0.012975125062042,0.047466085341847,0.01325046394135,0.82499999999764,34.89,42
10/26/2020,1.12,1.12,0.86,1.04,-0.33,1387,14353,45.57%,0.25194256853036,0.041485862687332,-0.014382284706187,0.053676243544836,0.016049907680671,1.0450030183623,35.82,42
10/23/2020,1.6,1.73,1.3,1.37,-0.15,2013,14598,45.48%,0.29912651577902,0.043213136621384,-0.015707187114749,0.061127431635073,0.019923909452824,1.3650034437382,36.83,42
10/22/2020,1.2,1.52,1.2,1.52,0.37,323,14439,45.34%,0.32523747063671,0.043978113694167,-0.016361243720286,0.064743590623592,0.022098995719786,1.5550048676,37.41,42
10/21/2020,1.25,1.3,0.97,1.15,-0.08,647,14197,46.31%,0.26209601184822,0.040488488293393,-0.01443158584927,0.056362188042892,0.017562421364414,1.1450016252013,35.77,42
10/20/2020,0.63,1.4,0.63,1.23,0.67,2887,14287,47.29%,0.26257919557511,0.039641967870447,-0.014602960554098,0.056469540459699,0.0176563805937,1.1700018516741,35.6,42
10/19/2020,0.6,0.6,0.56,0.56,0,18,14270,44.31%,0.16096672213319,0.033652053152338,-0.0095813264735625,0.039892902365384,0.010625414165805,0.55999999999923,33.35,42
10/16/2020,0.53,0.61,0.52,0.56,0.14,77,14227,43.33%,0.16242082720995,0.033941672156008,-0.0092782067049043,0.040924265774746,0.01112206334606,0.56499999999419,33.45,42
10/15/2020,0.42,0.42,0.42,0.42,0.08,1,14225,44.03%,0.14045504462352,0.030942514897529,-0.0083076063052774,0.03640346712384,0.0095474681923017,0.46999999999449,32.59,42
10/14/2020,0.34,0.36,0.34,0.34,-0.02,22,14205,43.39%,0.11074287209459,0.027219263242978,-0.0067102043638574,0.030133904467265,0.0074784639383929,0.34000197605326,31.67,42
10/13/2020,0.38,0.38,0.36,0.36,-0.16,12,14213,43.08%,0.11570553109321,0.02795891479103,-0.0068731450536334,0.03145337469337,0.0079365516229708,0.36000309186577,31.87,42
