Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
05/15/2020,0.31,0.38,0.01,0.01,-0.23,412,2419,30.07%,-0.035441721859564,0.22071507051398,-0.01411716655237,0.00091810489207521,-2.1789497940336E-5,0.0049999999997709,22.63,22
05/14/2020,1.49,1.53,0.24,0.24,-0.61,538,2380,75.03%,-0.35475797592097,0.42482395276436,-0.16415957860866,0.0043458331257495,-0.00022272779916695,0.21500022313162,22.31,22
05/13/2020,0.37,1.02,0.37,0.85,0.61,340,2448,71.91%,-0.67195710979942,0.31614301549535,-0.10523858247125,0.0057357685373445,-0.000833160586818,0.78500046814116,21.46,22
05/12/2020,0.01,0.25,0.01,0.24,0,336,2422,57.64%,-0.30869186218466,0.29869157858269,-0.070143832934198,0.0072003282522604,-0.00059211880768887,0.24000062099363,22.56,22
05/11/2020,0.21,0.38,0.17,0.24,0.1,862,2020,59.62%,-0.2758798961265,0.23479622460416,-0.060302504739582,0.0079741393760988,-0.00071672103966033,0.2500006404142,22.8,22
05/08/2020,0.51,0.51,0.13,0.14,-0.5,640,1918,58.22%,-0.14176173538419,0.11629789163731,-0.03137698228402,0.0074368148648471,-0.00067839635298217,0.14500066018138,23.93,22
05/07/2020,0.81,0.81,0.43,0.64,-0.29,126,1910,67.66%,-0.40604132233099,0.17242425957771,-0.055717519423654,0.012872560161211,-0.0021493923770451,0.69500073928049,22.44,22
05/06/2020,0.7,0.95,0.59,0.93,-0.66,568,1578,64.75%,-0.50383713278128,0.1790441664695,-0.050847155940294,0.013693339710315,-0.002956178579705,0.96000117282015,21.89,22
05/05/2020,1.39,1.65,1.2,1.59,-0.44,63,1578,79.06%,-0.58129082635758,0.14014961403998,-0.056067822125305,0.013718565398739,-0.0038118444696996,1.5550007599897,21.26,22
05/04/2020,2.3,2.3,1.9,2.03,0.06,58,1570,87.12%,-0.62533654177264,0.12050508204401,-0.055905497699263,0.013619548608785,-0.0045222795508337,2.0300011105781,20.75,22
05/01/2020,1.54,1.97,1.54,1.97,0.77,123,1543,77.66%,-0.6071193765193,0.12060226157026,-0.045427748735029,0.015688361515542,-0.005614885760045,1.9500008412726,20.9,22
04/30/2020,0.79,1.2,0.79,1.2,0.53,45,1526,74.86%,-0.44015446705294,0.11642469714959,-0.045780589276549,0.017790762388584,-0.0045334387038005,1.2199999999979,22.29,22
