Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
05/21/2021,0.04,0.04,0.01,0.01,-0.02,692,14612,23.79%,0.036019146838513,0.1127755046899,-0.028148988081722,0.0023318496019248,5.4889166707188E-5,0.010000211165978,56.72,58
05/20/2021,0.09,0.09,0.02,0.03,-0.05,357,14706,50.42%,0.049534154898996,0.069851585455744,-0.074997574422333,0.0029746773807936,7.4510056111143E-5,0.029999999998996,55.51,58
05/19/2021,0.07,0.08,0.04,0.08,-0.09,561,14581,44.30%,0.094988023976827,0.092790372587058,-0.076953219823699,0.0069472629853658,0.00028463909701459,0.080000343423575,55.53,58
05/18/2021,0.2,0.31,0.15,0.17,-0.04,664,14503,37.01%,0.13839435053644,0.11774769640419,-0.069039932297695,0.011189951669677,0.00062505448502244,0.13000100432354,55.89,58
05/17/2021,0.2,0.22,0.13,0.21,-0.06,1611,14072,35.93%,0.18538928741632,0.12679231360294,-0.070445546017581,0.015679946454893,0.0011155279917389,0.21000097649749,56.04,58
05/14/2021,0.2,0.27,0.16,0.27,0.07,1253,13712,30.32%,0.20763363722705,0.12176901596956,-0.048096078551615,0.022201500524662,0.0021781424441869,0.2700011596378,56,58
05/13/2021,0.33,0.39,0.2,0.2,-0.08,2104,14582,35.56%,0.13114530248277,0.074036573336806,-0.038248715094023,0.01720442598584,0.0015288866816084,0.18500075777366,54.6,58
05/12/2021,0.46,0.47,0.25,0.28,-0.27,862,14804,43.71%,0.14197889974703,0.060887315571279,-0.046081514640836,0.018969567226074,0.0018179474916188,0.25999999999116,53.76,58
05/11/2021,0.7,0.95,0.45,0.55,-0.61,502,14766,37.35%,0.2693733092456,0.095865335531185,-0.05691590288065,0.030464067551355,0.0039622405264191,0.5500014950098,55.73,58
05/10/2021,2.25,2.3,1.16,1.16,-0.89,457,14685,35.92%,0.44728824207111,0.11047615641616,-0.064391267699072,0.039410568062398,0.0073892426806961,1.1600007254809,57.41,58
05/07/2021,1.67,2.05,1.51,2.05,0.04,974,14242,32.89%,0.61615254003019,0.1005388429678,-0.051874911828342,0.044120343164953,0.013154940729324,2.0500038646087,58.99,58
05/06/2021,1.55,2.01,1.48,2.01,0.48,326,14303,34.41%,0.58398794459935,0.09523344745543,-0.053315918266961,0.046430692231478,0.013266483652371,2.0100002306818,58.72,58
05/05/2021,1.49,1.63,1.11,1.53,0.54,2134,14366,35.88%,0.47652806065917,0.092097212821678,-0.053866146098938,0.04800878505658,0.011357193407946,1.5300029553909,57.58,58
05/04/2021,1.19,1.19,0.94,0.99,-0.66,10341,4420,42.06%,0.31861449131658,0.071074453321939,-0.0527651947968,0.042630556259819,0.0077511382629807,0.99000263626963,55.34,58
05/03/2021,2.17,2.28,1.47,1.65,-0.05,145,4509,40.13%,0.45192762069809,0.077769813797441,-0.056069947148512,0.050260410766688,0.011923225388492,1.6500028080375,57.15,58
04/30/2021,1.51,1.92,1.51,1.7,-0.01,47,4509,40.70%,0.46433828258831,0.071150990622395,-0.052887406479796,0.054533006496812,0.014207753338903,1.8750043219224,57.22,58
04/29/2021,2,2.1,1.39,1.71,-0.92,1866,3288,41.08%,0.42202718668385,0.068592004977827,-0.050781263295244,0.054342248583074,0.013389290723761,1.6600035841225,56.57,58
04/28/2021,2.76,2.76,2.4,2.63,-0.2,146,3190,38.62%,0.55815491173104,0.069542211558635,-0.048762844335748,0.058007695845675,0.018992289836055,2.5400035795314,58.55,58
04/27/2021,2.65,2.88,2.5,2.83,0.33,76,3043,38.65%,0.58605162190127,0.066679891272976,-0.047497291378225,0.058913739259094,0.02086322448136,2.8300020290819,58.97,58
04/26/2021,2.39,2.65,2.22,2.5,0.36,268,3060,39.45%,0.53470262150664,0.066139294041135,-0.047824399137397,0.060542742179997,0.019606041234965,2.4999999999998,58.21,58
04/23/2021,2.1,2.28,2.02,2.14,0.14,151,3110,37.96%,0.49029049299781,0.065956237531644,-0.043119681159791,0.063545714920577,0.019954012252045,2.1950037468218,57.53,58
04/22/2021,2.46,2.46,1.81,2,-0.35,630,2614,39.70%,0.43941812362356,0.062197431618733,-0.043154025265791,0.062975460945143,0.018236177853507,1.9449999999996,56.66,58
04/21/2021,1.48,2.35,1.4,2.35,0.58,1652,1437,39.34%,0.49128274798738,0.061520063672356,-0.043109222504685,0.065734107127555,0.021282611006868,2.3500059493846,57.49,58
04/20/2021,1.94,1.94,1.39,1.77,-0.73,1422,208,41.49%,0.39596691441989,0.057148586702628,-0.041908740092545,0.062620063604648,0.017252247630495,1.7700057627029,55.77,58
"Downloaded from Barchart.com as of 11-22-2021 10:23am CST"
