Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
02/25/2021,7.69,11.9,5.95,10.52,4.78,437,4391,67.02%,-0.90851684460883,0.020603932927103,-0.66996792073526,0.019555053737071,-0.0059235877155775,11.350001609569,228.99,240
02/24/2021,10.33,10.84,5.35,5.74,-1.17,613,4734,37.79%,-0.87543443385533,0.044246841198794,-0.48132605293905,0.025207819129641,-0.0057828050919235,5.7400013750986,234.55,240
02/23/2021,3.8,11.85,3.68,6.91,4.66,3128,5064,26.25%,-0.88174034681022,0.035664425549308,-0.18351223148638,0.041869298721741,-0.017484988504687,7.0500025586284,233.27,240
02/22/2021,3.8,8.15,3.68,6.05,3.8,2363,3473,22.54%,-0.83382252781006,0.045068360698978,-0.17280667841679,0.061217631694559,-0.022083763199074,5.9750032004497,234.51,240
02/19/2021,1.41,2.76,1.41,2.25,0.75,4421,3473,21.39%,-0.43625154827763,0.059612808006636,-0.217022814523,0.12166919634732,-0.017637990972525,2.1750071737298,240.97,240
02/18/2021,2.3,3.1,1.5,1.5,-0.21,2168,2838,22.50%,-0.30217459980494,0.045920598859087,-0.18938300934214,0.11776236928172,-0.014412714202661,1.4850064435676,243.79,240
02/17/2021,3.29,3.33,1.69,1.71,-0.58,2687,2649,23.90%,-0.30576748754777,0.040597098346303,-0.18942583522877,0.126770996201,-0.016742635416955,1.7200079347796,244.2,240
02/16/2021,2.01,2.55,1.8,2.29,0.19,2564,1142,26.26%,-0.34775008022174,0.036775010433083,-0.20641061411617,0.14139939829552,-0.021488222506916,2.4000087817761,243.7,240
02/12/2021,2.79,3.26,2.09,2.1,-0.77,928,1145,22.86%,-0.30913499326158,0.033344692868127,-0.14331965721759,0.16290625955798,-0.027738074420691,2.1450116791992,244.99,240
02/11/2021,3.15,3.88,2.8,2.87,-0.8,111,1091,25.58%,-0.34651432262529,0.030132712222012,-0.16153618637922,0.17669322276438,-0.033616970152028,2.9250113941007,244.49,240
02/10/2021,2.68,4.75,2.65,3.67,0.18,321,958,24.58%,-0.40040520638522,0.030929721468746,-0.15104874486652,0.19644761669074,-0.044230725907265,3.6750142154625,242.82,240
02/09/2021,4.3,4.3,3.11,3.49,-0.61,661,811,24.18%,-0.37283771179716,0.029759143784096,-0.14174057887382,0.19910718429876,-0.043902657763186,3.3749999999977,243.77,240
