Time,Open,High,Low,Last,Change,Volume,"Open Int",IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
09/24/2021,0.46,0.61,0.01,0.01,-0.8,26311,11166,2.66%,0.056903976658596,0.27612029219202,-0.02361706461285,0.017737095672378,0.00042789444860622,0.010000817806058,299.35,300
09/23/2021,1,1.9,0.65,0.81,-0.34,23237,11166,16.25%,0.43242519572136,0.15440391262864,-0.49870418912745,0.061649226646894,0.0031481975776293,0.81000384964412,299.56,300
09/22/2021,0.7,2.04,0.55,1.15,0.44,21266,11166,20.07%,0.37671898362278,0.085621071794737,-0.4192860773633,0.083923333701697,0.005481931852902,1.1500039411474,298.58,300
09/21/2021,1.23,1.72,0.67,0.71,-0.34,12899,9311,23.22%,0.20541484398329,0.045836143231623,-0.29324664565752,0.076025518141724,0.0045097067954969,0.71000590462383,294.8,300
09/20/2021,2,2.65,0.5,1.05,-2.35,11229,5533,25.05%,0.23540703173124,0.039870269912734,-0.29551813297918,0.094761228301599,0.0068322700691459,1.0500049376501,294.3,300
09/17/2021,5.55,5.66,3,3.4,-3.2,6791,5316,21.01%,0.4984061613112,0.045815410522386,-0.24622835328162,0.16563879544212,0.024709100210352,3.3999999999816,299.87,300
09/16/2021,5.55,6.6,3.9,6.6,0.2,1888,5316,19.01%,0.7335918710947,0.038296311873788,-0.17299427085782,0.14832741419896,0.039084674829937,6.5999999999443,305.22,300
09/15/2021,5.55,7.2,4.8,6.4,2.81,2209,5232,19.87%,0.69942158476228,0.036644894277802,-0.18054200037988,0.16648780190957,0.042453914050888,6.6250036122969,304.82,300
09/14/2021,3.4,4.35,2.52,3.59,1.28,3666,5232,18.78%,0.495214896589,0.042849549634174,-0.1834100642879,0.19789574415885,0.034881149524324,3.5899999999933,299.79,300
09/13/2021,2.65,3.15,1.61,2.31,-0.34,1711,5081,17.48%,0.3732672803036,0.042047670827365,-0.15320722839153,0.19517990166467,0.029357492714599,2.2850004809984,296.99,300
09/10/2021,3.55,3.95,2.5,2.65,-0.35,1211,6572,19.33%,0.35655529781989,0.033328528719652,-0.14730236095788,0.21589616024202,0.035452303870365,2.6500146952477,295.71,300
09/09/2021,4.47,5.25,3,3,-1.25,995,6572,17.66%,0.40277567479047,0.036401189046898,-0.13528523857579,0.23316265560217,0.042834855024099,3.0000169631288,297.25,300
09/08/2021,4,4.3,3.4,4.25,-0.3,789,6572,17.09%,0.51214938058855,0.037157834197924,-0.131342704697,0.25053765022101,0.057200476736138,4.3500000000112,300.21,300
09/07/2021,4.35,4.88,3.7,4.55,-0.6,602,6572,17.42%,0.51107644295603,0.035369749286645,-0.1298955400089,0.25823950900284,0.06057300305784,4.5499999997861,300.18,300
09/03/2021,5.3,6.05,5.13,5.15,-0.2,85,6572,16.04%,0.54363886553091,0.034283520043218,-0.10673942950655,0.28627207675123,0.078780339712076,5.1500189497319,301.14,300
09/02/2021,6.4,6.53,5,5.35,-0.5,302,6572,16.34%,0.54266019689111,0.032879518072529,-0.10628489523278,0.29309183478591,0.082299885573178,5.3500208756475,301.15,300
