Expiration Date,Date Contact Sold,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts Sold,Contract Profit,Monthly Ending Balance,Percent Change,Profit Amount
2019-11-29,2019-11-01,35.0,34.89,39.15,1.13,28,3163.9999999999995,115092.0,15.092,15092.0
2019-12-27,2019-12-02,40.0,38.73,46.18,1.3,29,3770.0000000000005,140467.0,40.467,40467.0
2020-01-31,2020-01-02,50.0,49.1,47.0,1.3,28,3640.0,138227.0,38.227,38227.0
2020-02-28,2020-02-03,50.0,48.02,45.48,1.0,28,2800.0,136771.0,36.771,36771.0
2020-03-27,2020-03-02,45.0,47.46,46.58,5.0,28,14000.0,153851.0,53.851000000000006,53851.0
2020-04-24,2020-04-01,45.0,43.66,56.18,5.25,35,18375.0,216046.0,116.046,116046.0
2020-05-29,2020-05-01,50.0,49.9,53.8,3.75,43,16125.0,248941.0,148.941,148941.0
2020-06-26,2020-06-01,55.0,53.63,50.1,2.06,46,9476.0,242179.0,142.179,142179.0
2020-07-31,2020-07-01,55.0,52.58,77.43,2.3,46,10580.0,378477.00000000006,278.47700000000003,278477.00000000006
2020-08-28,2020-08-03,80.0,77.67,85.55,3.35,48,16080.000000000002,432381.00000000006,332.38100000000003,332381.00000000006
2020-09-25,2020-09-01,90.0,92.18,78.06,6.85,46,31509.999999999996,398939.00000000006,298.9390000000001,298939.00000000006
2020-10-30,2020-10-01,85.0,84.86,75.29,5.4,46,24840.0,411037.00000000006,311.03700000000003,311037.00000000006
2020-11-27,2020-11-02,75.0,74.7,87.19,4.4,46,20240.0,486017.00000000006,386.01700000000005,386017.00000000006
2020-12-24,2020-12-01,90.0,92.63,91.81,5.65,52,29380.0,511133.00000000006,411.13300000000004,411133.00000000006
2021-01-29,2021-01-04,90.0,92.3,85.64,6.7,55,36850.0,511353.00000000006,411.35300000000007,411353.00000000006
2021-02-26,2021-02-01,90.0,87.66,84.51,3.6,55,19800.0,524938.0,424.93800000000005,424938.0
2021-03-26,2021-03-01,85.0,86.39,77.41,4.25,55,23375.0,509263.00000000006,409.2630000000001,409263.00000000006
2021-04-30,2021-04-01,80.0,81.09,81.62,4.15,55,22825.000000000004,555243.0,455.243,455243.0
2021-05-28,2021-05-03,80.0,78.55,80.08,4.0,70,28000.0,593953.0,493.95300000000003,493953.0
2021-06-25,2021-06-01,80.0,80.81,85.62,3.2,73,23360.000000000004,652426.0,552.426,552426.0
2021-07-30,2021-07-01,95.0,93.31,106.19,4.4,69,30360.000000000004,771658.0,671.658,671658.0
2021-08-27,2021-08-02,105.0,108.63,111.4,4.8,71,34080.0,825405.0,725.4050000000001,725405.0
2021-09-24,2021-09-01,110.0,109.99,105.8,4.65,75,34875.0,828855.0,728.855,728855.0
2021-10-29,2021-10-01,100.0,102.45,120.23,6.05,75,45375.0,982455.0,882.455,882455.0
