Expiration Date,Date Contact Sold,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts Sold,Contract Profit,Monthly Ending Balance,Percent Change,Profit Amount
2019-11-22,2019-11-01,37.0,37.97,35.33,1.12,26,2912.0000000000005,96048.0,-3.952,-3952.0
2019-12-20,2019-12-02,36.0,35.88,37.25,0.53,26,1378.0,102418.0,2.418,2418.0
2020-01-17,2020-01-02,37.0,37.38,35.6,0.67,27,1809.0,99420.99999999999,-0.5790000000000146,-579.0000000000146
2020-02-21,2020-02-05,29.0,35.03,34.65,5.5,27,14850.0,111705.99999999999,11.705999999999985,11705.999999999985
2020-03-20,2020-03-02,30.0,31.42,18.14,1.38,35,4830.0,70055.99999999999,-29.944000000000017,-29944.000000000015
2020-04-17,2020-04-01,20.0,19.26,22.48,1.31,35,4585.0,89830.99999999999,-10.169000000000015,-10169.000000000015
2020-05-15,2020-05-01,22.0,20.9,22.63,1.25,42,5250.0,102346.99999999999,2.3469999999999858,2346.9999999999854
2020-06-19,2020-06-01,26.0,26.94,26.59,1.3,37,4810.0,105861.99999999999,5.861999999999985,5861.999999999985
2020-07-31,2020-07-01,25.0,24.96,24.89,1.55,42,6510.000000000001,112077.99999999999,12.077999999999985,12077.999999999985
2020-08-21,2020-08-03,25.0,25.64,28.56,1.04,42,4368.0,131860.0,31.86,31860.0
2020-09-18,2020-09-01,29.0,29.79,31.5,1.45,44,6380.0,145764.0,45.763999999999996,45764.0
2020-10-16,2020-10-01,29.0,30.38,33.45,1.42,47,6673.999999999999,166867.0,66.867,66867.0
2020-11-20,2020-11-02,35.0,34.55,43.04,1.9,48,9119.999999999998,216739.00000000003,116.73900000000003,116739.00000000003
2020-12-18,2020-12-01,44.0,44.68,41.01,2.15,48,10319.999999999998,209443.00000000003,109.44300000000003,109443.00000000003
2021-01-15,2019-01-02,42.0,33.64,49.97,2.91,48,13968.0,266419.0,166.419,166419.0
2021-02-19,2021-02-01,52.0,51.51,52.57,2.92,51,14891.999999999998,286717.0,186.717,186717.0
2021-03-19,2021-03-01,52.0,52.54,59.82,2.01,54,10854.0,336883.0,236.883,236883.0
2021-04-16,2021-04-01,58.0,57.8,58.71,1.81,58,10498.0,352659.0,252.65900000000002,252659.0
2021-05-21,2021-05-03,58.0,57.15,56.72,2.17,61,13237.0,363273.0,263.273,263273.0
2021-06-18,2021-06-01,60.0,59.65,58.76,1.75,61,10675.0,386392.0,286.392,286392.0
2021-07-16,2021-07-01,60.0,59.11,55.46,1.12,61,6832.000000000001,373094.0,273.094,273094.0
2021-08-20,2021-08-02,57.0,57.03,48.8,2.5,61,15250.0,347718.0,247.71800000000002,247718.0
2021-09-17,2021-09-01,49.0,49.11,51.33,1.17,61,7136.999999999999,370288.0,270.288,270288.0
2021-10-22,2021-10-01,53.0,53.13,57.77,2.17,69,14972.999999999998,417277.0,317.277,317277.0
