Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,17.08,8.64,97.68518518518515,97685.19,197685.19
2021-09-30,14.16,8.64,63.888888888888886,63888.89,163888.89
2021-08-31,13.03,8.64,50.81018518518516,50810.19,150810.19
2021-07-30,13.95,8.64,61.458333333333314,61458.33,161458.33
2021-06-30,14.86,8.64,71.99074074074072,71990.74,171990.74
2021-05-28,14.53,8.64,68.17129629629628,68171.3,168171.3
2021-04-30,11.54,8.64,33.564814814814795,33564.81,133564.81
2021-03-31,12.25,8.64,41.7824074074074,41782.41,141782.41
2021-02-26,11.7,8.64,35.41666666666665,35416.67,135416.67
2021-01-29,10.53,8.64,21.874999999999982,21875.0,121875.0
2020-12-31,8.79,8.64,1.7361111111110945,1736.11,101736.11
2020-11-30,9.08,8.64,5.092592592592586,5092.59,105092.59
2020-10-30,7.73,8.64,-10.532407407407408,-10532.41,89467.59
2020-09-30,6.66,8.64,-22.91666666666667,-22916.67,77083.33
2020-08-31,6.82,8.64,-21.064814814814817,-21064.81,78935.19
2020-07-31,6.61,8.64,-23.495370370370374,-23495.37,76504.63
2020-06-30,6.08,8.64,-29.629629629629633,-29629.63,70370.37
2020-05-29,5.71,8.64,-33.91203703703704,-33912.04,66087.96
2020-04-30,5.09,8.64,-41.08796296296297,-41087.96,58912.04
2020-03-31,4.83,8.64,-44.09722222222223,-44097.22,55902.78
2020-02-28,6.96,8.64,-19.44444444444445,-19444.44,80555.56
2020-01-31,8.82,8.64,2.08333333333333,2083.33,102083.33
2019-12-31,9.3,8.64,7.638888888888889,7638.89,107638.89
2019-11-29,9.06,8.64,4.86111111111111,4861.11,104861.11
