Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,26.47,15.25,73.57377049180327,73573.77,173573.77
2021-09-30,22.6,15.25,48.19672131147542,48196.72,148196.72
2021-08-31,22.39,15.25,46.81967213114754,46819.67,146819.67
2021-07-30,17.0,15.25,11.475409836065573,11475.41,111475.41
2021-06-30,18.96,15.25,24.327868852459023,24327.87,124327.87
2021-05-28,18.28,15.25,19.868852459016402,19868.85,119868.85
2021-04-30,16.58,15.25,8.721311475409825,8721.31,108721.31
2021-03-31,16.19,15.25,6.163934426229516,6163.93,106163.93
2021-02-26,15.21,15.25,-0.2622950819672075,-262.3,99737.7
2021-01-29,15.04,15.25,-1.3770491803278744,-1377.05,98622.95
2020-12-31,11.25,15.25,-26.229508196721312,-26229.51,73770.49
2020-11-30,10.21,15.25,-33.04918032786885,-33049.18,66950.82
2020-10-30,6.21,15.25,-59.27868852459016,-59278.69,40721.31
2020-09-30,5.7,15.25,-62.62295081967214,-62622.95,37377.05
2020-08-31,6.97,15.25,-54.29508196721312,-54295.08,45704.92
2020-07-31,6.06,15.25,-60.262295081967224,-60262.3,39737.7
2020-06-30,6.88,15.25,-54.885245901639344,-54885.25,45114.75
2020-05-29,6.36,15.25,-58.295081967213115,-58295.08,41704.92
2020-04-30,5.86,15.25,-61.57377049180328,-61573.77,38426.23
2020-03-31,4.91,15.25,-67.8032786885246,-67803.28,32196.72
2020-02-28,13.23,15.25,-13.24590163934426,-13245.9,86754.1
2020-01-31,15.95,15.25,4.590163934426225,4590.16,104590.16
2019-12-31,17.0,15.25,11.475409836065573,11475.41,111475.41
2019-11-29,15.32,15.25,0.4590163934426248,459.02,100459.02
