Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,133.04,81.59,63.05919843118028,-36940.8,63059.2
2021-09-30,128.98,81.59,58.083098418923875,-41916.9,58083.1
2021-08-31,146.69,81.59,79.7891898516975,-20210.81,79789.19
2021-07-30,149.8,81.59,83.60093148670181,-16399.07,83600.93
2021-06-30,142.93,81.59,75.18078195857335,-24819.22,75180.78
2021-05-28,134.54,81.59,64.89765902684151,-35102.34,64897.66
2021-04-30,138.8,81.59,70.11888711851944,-29881.11,70118.89
2021-03-31,132.59,81.59,62.50766025248192,-37492.34,62507.66
2021-02-26,136.19,81.59,66.91996568206888,-33080.03,66919.97
2021-01-29,156.28,81.59,91.54308125995833,-8456.92,91543.08
2020-12-31,152.34,81.59,86.71405809535482,-13285.94,86714.06
2020-11-30,147.17,81.59,80.37749724230908,-19622.5,80377.5
2020-10-30,123.36,81.59,51.1949993871798,-48805.0,51195.0
2020-09-30,117.68,81.59,44.23336193160927,-55766.64,44233.36
2020-08-31,119.1,81.59,45.973771295501884,-54026.23,45973.77
2020-07-31,105.61,81.59,29.439882338521873,-70560.12,29439.88
2020-06-30,91.21,81.59,11.790660620174028,-88209.34,11790.66
2020-05-29,80.88,81.59,-0.8702046819463266,-100870.2,-870.2
2020-04-30,78.67,81.59,-3.578869959553869,-103578.87,-3578.87
2020-03-31,67.65,81.59,-17.085427135678387,-117085.43,-17085.43
2020-02-28,78.3,81.59,-4.0323569064836455,-104032.36,-4032.36
2020-01-31,85.31,81.59,4.559382277239856,-95440.62,4559.38
2019-12-31,88.23,81.59,8.138252236793726,-91861.75,8138.25
2019-11-29,83.55,81.59,2.40225517833067,-97597.74,2402.26
