Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,216.81,191.26,13.358778625954205,-86641.22,13358.78
2021-09-30,210.69,191.26,10.158945937467326,-89841.05,10158.95
2021-08-31,211.14,191.26,10.394227752797237,-89605.77,10394.23
2021-07-30,224.34,191.26,17.295827669141488,-82704.17,17295.83
2021-06-30,233.89,191.26,22.28903063892084,-77710.97,22289.03
2021-05-28,239.72,191.26,25.337237268639555,-74662.76,25337.24
2021-04-30,240.32,191.26,25.650946355746107,-74349.05,25650.95
2021-03-31,228.0,191.26,19.209453100491483,-80790.55,19209.45
2021-02-26,214.14,191.26,11.96277318833002,-88037.23,11962.77
2021-01-29,210.93,191.26,10.284429572309953,-89715.57,10284.43
2020-12-31,219.05,191.26,14.52995921781869,-85470.04,14529.96
2020-11-30,205.84,191.26,7.62313081668933,-92376.87,7623.13
2020-10-30,165.23,191.26,-13.609745895639444,-113609.75,-13609.75
2020-09-30,189.51,191.26,-0.9149848373941233,-100914.98,-914.98
2020-08-31,184.48,191.26,-3.544912684304089,-103544.91,-3544.91
2020-07-31,178.2,191.26,-6.828401129352716,-106828.4,-6828.4
2020-06-30,174.95,191.26,-8.52765868451323,-108527.66,-8527.66
2020-05-29,172.7,191.26,-9.704067761162817,-109704.07,-9704.07
2020-04-30,164.69,191.26,-13.89208407403534,-113892.08,-13892.08
2020-03-31,143.36,191.26,-25.044442120673416,-125044.44,-25044.44
2020-02-28,172.38,191.26,-9.87137927428631,-109871.38,-9871.38
2020-01-31,188.3,191.26,-1.5476314963923348,-101547.63,-1547.63
2019-12-31,189.75,191.26,-0.7895012025514958,-100789.5,-789.5
2019-11-29,186.06,191.26,-2.7188120882568176,-102718.81,-2718.81
