Expiration Date,Date Put Bought,Strike Price,Starting asset price,Ending Asset Price,Price Per Put,Puts Bought,Account Value EOM,Cash Balance EOM,Percent Change,Profit Amount
2019-10-25,2019-10-01,30.0,28.76,32.71,1.9,32,106560.0,1888.0,6.5600000000000005,6560.0
2019-11-29,2019-11-01,35.0,34.89,39.15,1.44,13,125296.0,16.0,25.296000000000003,25296.0
2019-12-27,2019-12-02,40.0,38.73,46.18,2.05,18,143357.0,199.0,43.357,43357.0
2020-01-31,2020-01-02,50.0,49.1,47.0,4.45,11,150214.0,150214.0,50.214000000000006,50214.0
2020-02-28,2020-02-03,50.0,48.02,45.48,4.4,28,143438.0,143438.0,43.438,43438.0
2020-03-27,2020-03-02,45.0,47.46,46.58,2.83,28,133050.0,2626.0,33.050000000000004,33050.0
2020-04-24,2020-04-01,45.0,43.66,56.18,2.73,9,157473.0,169.0,57.473,57473.0
2020-05-29,2020-05-01,50.0,49.9,53.8,2.45,21,145274.0,13.99999999999909,45.274,45274.0
2020-06-26,2020-06-01,55.0,53.63,50.1,3.39,15,143292.0,143292.0,43.292,43292.0
2020-07-31,2020-07-01,55.0,52.58,77.43,5.01,24,190908.00000000003,5076.0,90.90800000000003,90908.00000000003
2020-08-28,2020-08-03,80.0,77.67,85.55,5.35,9,205581.0,261.0,105.58099999999999,105581.0
2020-09-25,2020-09-01,90.0,92.18,78.06,4.65,20,207179.0,207179.0,107.179,107179.0
2020-10-30,2020-10-01,85.0,84.86,75.29,6.8,22,192527.0,192527.0,92.527,92527.0
2020-11-27,2020-11-02,75.0,74.7,87.19,4.02,24,212855.0,3599.0,112.85499999999999,112855.0
2020-12-24,2020-12-01,90.0,92.63,91.81,3.7,9,220613.0,269.0,120.613,120613.0
2021-01-29,2021-01-04,90.0,92.3,85.64,4.2,22,207259.0,207259.0,107.25899999999999,107259.0
2021-02-26,2021-02-01,90.0,87.66,84.51,8.0,21,195373.0,195373.0,95.37299999999999,95373.0
2021-03-26,2021-03-01,85.0,86.39,77.41,4.2,21,183634.0,183634.0,83.634,83634.0
2021-04-30,2021-04-01,80.0,81.09,81.62,3.5,21,177397.0,5995.0,77.397,77397.0
2021-05-28,2021-05-03,80.0,78.55,80.08,2.5,21,168913.0,745.0,68.913,68913.0
2021-06-25,2021-06-01,80.0,80.81,85.62,2.15,3,179902.0,100.0,79.902,79902.0
2021-07-30,2021-07-01,95.0,93.31,106.19,5.5,17,212461.0,81.0,112.46100000000001,112461.0
2021-08-27,2021-08-02,105.0,108.63,111.4,3.98,19,215042.0,3382.0,115.042,115042.0
2021-09-24,2021-09-01,110.0,109.99,105.8,3.54,9,209196.0,209196.0,109.196,109196.0
2021-10-29,2021-10-01,100.0,102.45,120.23,4.41,19,234599.0,6162.0,134.599,134599.0
