Expiration Date,Date Put Bought,Strike Price,Starting asset price,Ending Asset Price,Price Per Put,Puts Bought,Account Value EOM,Cash Balance EOM,Percent Change,Profit Amount
2019-11-15,2019-11-01,9.0,8.89,8.95,0.34,108,97516.0,97516.0,-2.484,-2484.0
2019-12-20,2019-12-02,9.0,9.01,9.48,0.15,106,100908.0,420.0,0.9079999999999999,908.0
2020-01-17,2020-01-02,9.0,9.42,9.16,0.08,52,97100.0,4.0,-2.9000000000000004,-2900.0
2020-02-21,2020-02-03,9.0,8.98,7.89,0.35,25,94527.0,94527.0,-5.473,-5473.0
2020-03-20,2020-03-02,7.0,7.2,4.33,0.34,125,87777.0,87777.0,-12.223,-12223.0
2020-04-17,2020-04-01,5.0,4.4,5.12,0.65,173,88987.99999999999,411.99999999998545,-11.012000000000015,-11012.000000000015
2020-05-15,2020-05-01,5.0,4.92,4.9,0.28,14,86519.99999999999,86519.99999999999,-13.480000000000015,-13480.000000000015
2020-06-19,2020-06-01,5.5,5.87,6.23,0.21,142,88649.99999999999,183.99999999998545,-11.350000000000014,-11350.000000000015
2020-07-31,2020-07-01,6.0,5.98,6.61,0.41,4,93881.99999999999,19.999999999985448,-6.1180000000000145,-6118.000000000015
2020-08-21,2020-08-03,6.5,6.69,6.66,0.2,34,93914.99999999999,8.999999999985448,-6.085000000000015,-6085.000000000015
2020-09-18,2020-09-01,6.5,6.83,7.23,0.14,49,101225.99999999999,5.999999999985334,1.2259999999999853,1225.9999999999854
2020-10-16,2020-10-01,6.5,6.75,7.67,0.14,48,106621.99999999999,8.99999999998522,6.621999999999985,6621.999999999985
2020-11-20,2020-11-02,7.5,7.71,8.74,0.26,29,120637.99999999999,25.99999999998522,20.637999999999984,20637.999999999985
2020-12-18,2020-12-01,9.0,9.24,8.95,0.25,1,124200.99999999999,124200.99999999999,24.200999999999986,24200.999999999985
2021-01-15,2021-01-04,9.0,8.52,9.83,0.36,139,137406.0,768.9999999999854,37.406,37406.0
2021-02-19,2021-02-01,10.5,10.86,11.43,0.6,12,158926.0,48.99999999998545,58.926,58926.0
2021-03-19,2021-03-01,12.0,11.98,12.83,0.63,19,177104.0,49.99999999998545,77.104,77104.0
2021-04-16,2021-04-01,12.0,12.17,12.23,0.31,1,168793.0,18.999999999985448,68.793,68793.0
2021-05-21,2021-05-03,11.5,11.63,13.33,0.36,32,182651.0,29.999999999985448,82.651,82651.0
2021-06-18,2021-06-01,15.0,14.81,14.52,0.9,16,204071.0,204071.0,104.071,104071.0
2021-07-16,2021-07-01,15.0,14.91,13.61,0.58,131,197652.0,197652.0,97.652,97652.0
2021-08-20,2021-08-02,14.0,13.91,12.57,0.46,137,192583.0,192583.0,92.583,92583.0
2021-09-24,2021-09-01,13.0,13.11,13.78,0.47,141,195403.0,1105.0,95.403,95403.0
2021-10-29,2021-10-01,14.0,14.16,17.08,0.46,24,240828.99999999997,1.0,140.82899999999998,140828.99999999997
