Expiration Date,Date Put Bought,Strike Price,Starting asset price,Ending Asset Price,Price Per Put,Puts Bought,Account Value EOM,Cash Balance EOM,Percent Change,Profit Amount
2019-11-15,2019-11-01,37.0,37.97,36.89,0.49,26,96204.0,96204.0,-3.7960000000000003,-3796.0
2019-12-20,2019-12-02,36.0,35.88,37.25,0.9,26,97425.99999999999,575.9999999999854,-2.5740000000000145,-2574.0000000000146
2020-01-17,2020-01-02,37.0,37.38,35.6,0.87,6,96253.99999999999,96253.99999999999,-3.7460000000000147,-3746.0000000000146
2020-02-21,2020-02-03,29.0,33.72,34.65,0.1,28,98577.99999999999,1557.9999999999854,-1.4220000000000146,-1422.0000000000146
2020-03-20,2020-03-02,30.0,31.42,18.14,1.35,11,84072.99999999999,84072.99999999999,-15.927000000000014,-15927.000000000015
2020-04-17,2020-04-01,20.0,19.26,22.48,2.0,39,88830.99999999997,1158.999999999971,-11.169000000000029,-11169.00000000003
2020-05-15,2020-05-01,22.0,20.9,22.63,1.54,7,88337.99999999997,80.9999999999709,-11.66200000000003,-11662.00000000003
2020-06-19,2020-06-01,26.0,26.94,26.59,1.28,21,101128.99999999997,86.9999999999709,1.128999999999971,1128.999999999971
2020-07-31,2020-07-01,25.0,24.96,24.89,1.31,19,92593.99999999997,92593.99999999997,-7.406000000000029,-7406.000000000029
2020-08-21,2020-08-03,25.0,25.64,28.56,1.03,34,99019.99999999997,1915.999999999971,-0.9800000000000291,-980.0000000000291
2020-09-18,2020-09-01,29.0,29.79,31.5,0.75,25,107140.99999999997,40.999999999970896,7.140999999999971,7140.999999999971
2020-10-16,2020-10-01,29.0,30.38,33.45,0.78,33,110889.99999999999,504.9999999999709,10.889999999999986,10889.999999999985
2020-11-20,2020-11-02,35.0,34.55,43.04,1.9,2,142156.99999999997,124.9999999999709,42.156999999999975,42156.99999999997
2020-12-18,2020-12-01,44.0,44.68,41.01,1.26,32,141360.99999999997,141360.99999999997,41.36099999999997,41360.99999999997
2021-01-15,2019-01-02,42.0,33.64,49.97,11.8,31,155403.99999999997,496.9999999999709,55.403999999999975,55403.99999999997
2021-02-19,2021-02-01,52.0,51.51,52.57,3.4,1,163123.99999999997,156.9999999999709,63.12399999999997,63123.99999999997
2021-03-19,2021-03-01,52.0,52.54,59.82,2.05,26,179540.99999999997,80.9999999999718,79.54099999999997,79540.99999999997
2021-04-16,2021-04-01,58.0,57.8,58.71,2.21,26,170373.99999999997,114.9999999999718,70.37399999999997,70373.99999999997
2021-05-21,2021-05-03,58.0,57.15,56.72,2.43,23,162640.99999999997,162640.99999999997,62.64099999999997,62640.99999999997
2021-06-18,2021-06-01,60.0,59.65,58.76,1.62,26,159338.99999999997,159338.99999999997,59.33899999999998,59338.99999999997
2021-07-16,2021-07-01,60.0,59.11,55.46,1.65,26,157362.99999999997,157362.99999999997,57.36299999999998,57362.99999999997
2021-08-20,2021-08-02,57.0,57.03,48.8,1.44,26,153540.99999999997,153540.99999999997,53.54099999999997,53540.99999999997
2021-09-17,2021-09-01,49.0,49.11,51.33,1.12,30,156840.99999999997,2850.999999999971,56.84099999999997,56840.99999999997
2021-10-22,2021-10-01,53.0,53.13,57.77,2.24,12,173472.99999999997,162.99999999997044,73.47299999999997,73472.99999999997
