Expiration Date,Date Put Bought,Strike Price,Starting asset price,Ending Asset Price,Price Per Put,Puts Bought,Account Value EOM,Cash Balance EOM,Percent Change,Profit Amount
2019-11-29,2019-11-01,140.0,143.72,151.38,1.53,6,103678.0,12850.0,3.678,3678.0
2019-12-27,2019-12-02,150.0,149.55,158.96,2.17,6,106924.0,11548.0,6.9239999999999995,6924.0
2020-01-31,2020-01-02,155.0,160.62,170.23,2.48,6,112198.0,10060.0,12.198,12198.0
2020-02-28,2020-02-03,165.0,174.38,162.01,1.6,6,108100.0,108100.0,8.1,8100.0
2020-03-27,2020-03-02,160.0,172.79,149.7,5.8,6,96946.0,96946.0,-3.0540000000000003,-3054.0
2020-04-24,2020-04-01,160.0,152.11,174.55,10.77,5,102780.99999999999,15505.999999999985,2.7809999999999855,2780.9999999999854
2020-05-29,2020-05-01,170.0,174.6,183.25,4.1,5,105080.99999999999,13455.999999999985,5.080999999999985,5080.999999999985
2020-06-26,2020-06-01,185.0,182.83,196.33,6.5,5,108370.99999999999,10205.999999999985,8.370999999999986,8370.999999999985
2020-07-31,2020-07-01,200.0,204.7,205.01,6.5,5,109460.99999999999,6955.999999999985,9.460999999999986,9460.999999999985
2020-08-28,2020-08-03,215.0,216.54,228.91,8.85,5,116985.99999999999,2530.9999999999854,16.985999999999983,16985.999999999985
2020-09-25,2020-09-01,225.0,227.27,207.82,8.75,2,113280.99999999999,113280.99999999999,13.280999999999985,13280.999999999985
2020-10-30,2020-10-01,210.0,212.46,202.47,6.29,5,108905.99999999999,108905.99999999999,8.905999999999985,8905.999999999985
2020-11-27,2020-11-02,205.0,202.33,215.23,8.35,5,111180.99999999999,3565.9999999999854,11.180999999999985,11180.999999999985
2020-12-24,2020-12-01,215.0,216.21,222.75,5.85,5,112015.99999999999,640.9999999999854,12.015999999999986,12015.999999999985
2021-01-29,2021-01-04,220.0,217.69,238.93,5.8,1,119525.99999999999,60.99999999998545,19.525999999999986,19525.999999999985
2021-02-26,2021-02-01,240.0,240.14,228.99,11.08,4,115642.99999999999,115642.99999999999,15.642999999999985,15642.999999999985
2021-03-26,2021-03-01,235.0,236.94,236.48,6.6,4,112818.99999999999,18226.999999999985,12.818999999999987,12818.999999999985
2021-04-30,2021-04-01,245.0,242.35,252.18,9.6,4,115258.99999999999,14386.999999999985,15.258999999999986,15258.999999999985
2021-05-28,2021-05-03,250.0,251.86,249.68,4.09,4,112750.99999999999,112750.99999999999,12.750999999999985,12750.999999999985
2021-06-25,2021-06-01,250.0,247.4,265.02,4.64,4,117942.99999999999,11934.999999999985,17.942999999999987,17942.999999999985
2021-07-30,2021-07-01,275.0,271.6,284.91,9.05,4,122279.0,8314.999999999985,22.279,22279.0
2021-08-27,2021-08-02,290.0,284.82,299.72,8.8,4,124683.0,4794.999999999985,24.683,24683.0
2021-09-24,2021-09-01,300.0,301.83,299.35,3.05,4,123574.99999999999,123574.99999999999,23.574999999999985,23574.999999999985
2021-10-29,2021-10-01,290.0,289.1,331.62,13.31,4,135258.99999999997,2610.999999999971,35.258999999999965,35258.99999999997
