Type,Expiration Date,Date Contact Sold,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts,Contract Profit/Loss,Monthly Ending Balance,Percent Change,Profit Amount
Call,2019-11-29,2019-10-01,35.0,34.89,39.15,1.13,28,11619.999999999996,13927.999999999996,-86.072,-86072.0
Put,2019-10-25,2019-10-01,30.0,28.76,32.71,1.9,0,0,13927.999999999996,-86.072,-86072.0
Call,2019-12-27,2019-10-01,40.0,38.73,46.18,1.3,3,1854.0,4162.999999999998,-95.837,-95837.0
Put,2019-10-25,2019-10-01,30.0,28.76,32.71,1.9,0,0,4162.999999999998,-95.837,-95837.0
Call,2020-01-31,2019-11-01,50.0,49.1,47.0,1.3,0,0,8066.999999999998,-91.93299999999999,-91933.0
Put,2019-11-29,2019-11-01,35.0,34.89,39.15,1.44,1,414.9999999999999,8066.999999999998,-91.93299999999999,-91933.0
Call,2020-02-28,2019-12-02,50.0,48.02,45.48,1.0,1,0,3264.999999999998,-96.735,-96735.0
Put,2019-12-27,2019-12-02,40.0,38.73,46.18,2.05,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2020-03-27,2020-01-02,45.0,47.46,46.58,5.0,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-01-31,2020-01-02,50.0,49.1,47.0,4.45,0,0,3264.999999999998,-96.735,-96735.0
Call,2020-04-24,2020-02-03,45.0,43.66,56.18,5.25,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-02-28,2020-02-03,50.0,48.02,45.48,4.4,0,0,3264.999999999998,-96.735,-96735.0
Call,2020-05-29,2020-03-02,50.0,49.9,53.8,3.75,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-03-27,2020-03-02,45.0,47.46,46.58,2.83,0,0,3264.999999999998,-96.735,-96735.0
Call,2020-06-26,2020-04-01,55.0,53.63,50.1,2.06,0,0,3264.999999999998,-96.735,-96735.0
Put,2020-04-24,2020-04-01,45.0,43.66,56.18,2.73,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2020-07-31,2020-05-01,55.0,52.58,77.43,2.3,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-05-29,2020-05-01,50.0,49.9,53.8,2.45,0,0,3264.999999999998,-96.735,-96735.0
