Type,Expiration Date,Date Position Opened,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts,Contract Profit/Loss,Monthly Ending Balance,Percent Change,Profit Amount
Call,2019-11-15,2019-11-01,9.0,8.89,8.95,0.04,18750,-2755.000000000039,40978.99999999996,-59.021000000000036,-59021.00000000004
Put,2019-11-15,2019-11-01,9.0,8.89,8.95,0.34,551,-2755.000000000039,40978.99999999996,-59.021000000000036,-59021.00000000004
Call,2019-12-20,2019-12-02,9.0,9.01,9.48,0.22,1397,67056.00000000006,84981.00000000003,-15.018999999999972,-15018.99999999997
Put,2019-12-20,2019-12-02,9.0,9.01,9.48,0.15,512,67056.00000000006,84981.00000000003,-15.018999999999972,-15018.99999999997
Call,2020-01-17,2020-01-02,9.0,9.42,9.16,0.37,1722,27552.000000000025,64763.00000000006,-35.23699999999994,-35236.99999999994
Put,2020-01-17,2020-01-02,9.0,9.42,9.16,0.08,1993,27552.000000000025,64763.00000000006,-35.23699999999994,-35236.99999999994
Call,2020-02-21,2020-02-03,9.0,8.98,7.89,0.22,2207,-38517.000000000015,-10162.999999999956,-110.16299999999997,-110162.99999999996
Put,2020-02-21,2020-02-03,9.0,8.98,7.89,0.35,347,-38517.000000000015,-10162.999999999956,-110.16299999999997,-110162.99999999996
Call,2020-03-20,2020-03-02,7.0,7.2,4.33,0.28,-273,14952.0,10529.000000000044,-89.47099999999996,-89470.99999999996
Put,2020-03-20,2020-03-02,7.0,7.2,4.33,0.34,-56,14952.0,10529.000000000044,-89.47099999999996,-89470.99999999996
Call,2020-04-17,2020-04-01,5.0,4.4,5.12,0.34,232,2784.0000000000023,7375.0000000000455,-92.62499999999996,-92624.99999999996
Put,2020-04-17,2020-04-01,5.0,4.4,5.12,0.65,30,2784.0000000000023,7375.0000000000455,-92.62499999999996,-92624.99999999996
Call,2020-05-15,2020-05-01,5.0,4.92,4.9,0.28,197,-489.99999999999824,2741.0000000000464,-97.25899999999996,-97258.99999999996
Put,2020-05-15,2020-05-01,5.0,4.92,4.9,0.28,49,-489.99999999999824,2741.0000000000464,-97.25899999999996,-97258.99999999996
Call,2020-06-19,2020-06-01,5.5,5.87,6.23,0.44,46,3358.000000000002,4600.000000000048,-95.39999999999995,-95399.99999999996
Put,2020-06-19,2020-06-01,5.5,5.87,6.23,0.21,25,3358.000000000002,4600.000000000048,-95.39999999999995,-95399.99999999996
Call,2020-07-17,2020-08-03,6.0,5.98,6.8,0.33,104,8319.999999999998,10348.000000000047,-89.65199999999996,-89651.99999999996
Put,2020-08-21,2020-08-03,6.5,6.69,6.66,0.2,43,8319.999999999998,10348.000000000047,-89.65199999999996,-89651.99999999996
Call,2020-08-21,2020-09-01,6.5,6.69,6.66,0.32,242,3872.0000000000036,8422.000000000051,-91.57799999999993,-91577.99999999994
Put,2020-09-18,2020-09-01,6.5,6.83,7.23,0.14,139,3872.0000000000036,8422.000000000051,-91.57799999999993,-91577.99999999994
Call,2020-09-18,2020-10-01,6.5,6.83,7.23,0.43,146,10658.000000000005,14398.000000000056,-85.60199999999995,-85601.99999999994
Put,2020-10-16,2020-10-01,6.5,6.75,7.67,0.14,114,10658.000000000005,14398.000000000056,-85.60199999999995,-85601.99999999994
Call,2020-10-16,2020-11-02,6.5,6.75,7.67,0.33,327,38259.0,44570.00000000006,-55.42999999999994,-55429.99999999994
Put,2020-11-20,2020-11-02,7.5,7.71,8.74,0.26,104,38259.0,44570.00000000006,-55.42999999999994,-55429.99999999994
Call,2020-11-20,2020-12-01,7.5,7.71,8.74,0.55,607,75268.00000000001,94828.00000000006,-5.171999999999942,-5171.999999999942
Put,2020-12-18,2020-12-01,9.0,9.24,8.95,0.25,335,75268.00000000001,94828.00000000006,-5.171999999999942,-5171.999999999942
Call,2020-12-18,2021-01-04,9.0,9.24,8.95,0.42,1693,41002.0,82508.00000000006,-17.49199999999994,-17491.99999999994
Put,2021-01-15,2021-01-04,9.0,8.52,9.83,0.36,494,41002.0,82508.00000000006,-17.49199999999994,-17491.99999999994
Call,2021-01-15,2021-02-01,9.0,8.52,9.83,0.15,4125,342375.00000000006,378428.0000000001,278.4280000000001,278428.0000000001
Put,2021-02-19,2021-02-01,10.5,10.86,11.43,0.6,257,342375.00000000006,378428.0000000001,278.4280000000001,278428.0000000001
Call,2021-02-19,2021-03-01,10.5,10.86,11.43,0.7,4054,377021.9999999999,542608.0,442.608,442608.0
Put,2021-03-19,2021-03-01,12.0,11.98,12.83,0.63,1126,377021.9999999999,542608.0,442.608,442608.0
Call,2021-03-19,2021-04-01,12.0,11.98,12.83,0.43,9464,785512.0000000001,1022910.0000000001,922.9100000000001,922910.0000000001
Put,2021-04-16,2021-04-01,12.0,12.17,12.23,0.31,3282,785512.0000000001,1022910.0000000001,922.9100000000001,922910.0000000001
Call,2021-04-16,2021-05-03,12.0,12.17,12.23,0.58,13227,304221.0000000006,751773.0000000008,651.7730000000008,651773.0000000008
Put,2021-05-21,2021-05-03,11.5,11.63,13.33,0.36,5328,304221.0000000006,751773.0000000008,651.7730000000008,651773.0000000008
Call,2021-05-21,2021-06-01,11.5,11.63,13.33,0.43,13112,2399496.0,2728393.000000001,2628.393000000001,2628393.000000001
Put,2021-06-18,2021-06-01,15.0,14.81,14.52,0.9,1566,2399496.0,2728393.000000001,2628.393000000001,2628393.000000001
Call,2021-06-18,2021-07-01,15.0,14.81,14.52,0.45,45473,-1225980.0000000005,-32311.999999999534,-132.31199999999953,-132311.99999999953
Put,2021-07-16,2021-07-01,15.0,14.91,13.61,0.58,8820,-1225980.0000000005,-32311.999999999534,-132.31199999999953,-132311.99999999953
Call,2021-07-16,2021-08-02,15.0,14.91,13.61,0.42,-577,18875.999999999996,4726.000000000462,-95.27399999999953,-95273.99999999953
Put,2021-08-20,2021-08-02,14.0,13.91,12.57,0.46,-132,18875.999999999996,4726.000000000462,-95.27399999999953,-95273.99999999953
Call,2021-08-20,2021-09-01,14.0,13.91,12.57,0.51,69,1481.9999999999989,3582.000000000461,-96.41799999999954,-96417.99999999953
Put,2021-09-24,2021-09-01,13.0,13.11,13.78,0.47,19,1481.9999999999989,3582.000000000461,-96.41799999999954,-96417.99999999953
Call,2021-09-24,2021-10-01,13.0,13.11,13.78,0.45,59,4601.999999999996,6219.0000000004575,-93.78099999999955,-93780.99999999955
Put,2021-10-29,2021-10-01,14.0,14.16,17.08,0.46,15,4601.999999999996,6219.0000000004575,-93.78099999999955,-93780.99999999955
