Expiration Date,Date Position Opened,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts,Contract Profit/Loss,Monthly Ending Balance,Percent Change,Profit Amount
2019-11-15,2019-11-01,37.0,37.97,36.89,1.12,510,-43623.0,56377.0,-43.623,-43623.0
2019-12-20,2019-12-02,36.0,35.88,37.25,0.53,156,5991.0,62368.0,-37.632,-37632.0
2020-01-17,2020-01-02,37.0,37.38,35.6,0.67,179,-3856.0,58512.0,-41.488,-41488.0
2020-02-21,2020-02-03,29.0,33.72,34.65,5.5,1462,-8772.0,49740.0,-50.260000000000005,-50260.0
2020-03-20,2020-03-02,30.0,31.42,18.14,1.38,92,78930.0,128670.0,28.67,28670.0
2020-04-17,2020-04-01,20.0,19.26,22.48,1.31,160,-5135.000000000004,123535.0,23.535,23535.0
2020-05-15,2020-05-01,22.0,20.9,22.63,1.25,200,-47396.0,76139.0,-23.860999999999997,-23861.0
2020-06-19,2020-06-01,26.0,26.94,26.59,1.3,148,-29016.0,47123.0,-52.876999999999995,-52877.0
2020-07-31,2020-07-01,25.0,24.96,24.89,1.55,89,-22295.0,24828.0,-75.17200000000001,-75172.0
2020-08-21,2020-08-03,25.0,25.64,28.56,1.04,60,8512.0,33340.0,-66.66,-66660.0
2020-09-18,2020-09-01,29.0,29.79,31.5,1.45,111,-2685.0,30655.0,-69.345,-69345.0
2020-10-16,2020-10-01,29.0,30.38,33.45,1.42,98,8178.999999999998,38834.0,-61.166,-61166.0
2020-11-20,2020-11-02,35.0,34.55,43.04,1.9,51,21879.0,60713.0,-39.287,-39287.0
2020-12-18,2020-12-01,44.0,44.68,41.01,2.15,120,3860.0,64573.0,-35.427,-35427.0
2021-01-15,2019-01-02,42.0,33.64,49.97,2.91,13,12680.999999999998,77254.0,-22.746,-22746.0
2021-02-19,2021-02-01,52.0,51.51,52.57,2.92,56,-34580.0,42674.0,-57.326,-57326.0
2021-03-19,2021-03-01,52.0,52.54,59.82,2.01,52,20609.000000000004,63283.0,-36.717,-36717.0
2021-04-16,2021-04-01,58.0,57.8,58.71,1.81,71,-25712.000000000004,37571.0,-62.429,-62429.0
2021-05-21,2021-05-03,58.0,57.15,56.72,2.17,38,-14266.0,23305.0,-76.69500000000001,-76695.0
2021-06-18,2021-06-01,60.0,59.65,58.76,1.75,35,-7247.0,16058.0,-83.94200000000001,-83942.0
2021-07-16,2021-07-01,60.0,59.11,55.46,1.12,24,3194.9999999999986,19253.0,-80.747,-80747.0
2021-08-20,2021-08-02,57.0,57.03,48.8,2.5,33,17601.0,36854.0,-63.146,-63146.0
2021-09-17,2021-09-01,49.0,49.11,51.33,1.17,82,-522.0,36332.0,-63.668,-63668.0
2021-10-22,2021-10-01,53.0,53.13,57.77,2.17,40,1698.0,38030.0,-61.970000000000006,-61970.0
