Expiration Date,Date Position Opened,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts,Contract Profit/Loss,Monthly Ending Balance,Percent Change,Profit Amount
2019-11-29,2019-11-01,140.0,143.72,151.38,5.0,163,8724.0,108724.0,8.724,8724.0
2019-12-27,2019-12-02,150.0,149.55,158.96,3.65,125,9260.0,117984.0,17.984,17984.0
2020-01-31,2020-01-02,155.0,160.62,170.23,6.55,118,10679.000000000004,128663.0,28.663,28663.0
2020-02-28,2020-02-03,165.0,174.38,162.01,7.85,201,-3220.0,125443.0,25.442999999999998,25443.0
2020-03-27,2020-03-02,160.0,172.79,149.7,11.0,54,-16866.000000000004,108577.0,8.577,8577.0
2020-04-24,2020-04-01,160.0,152.11,174.55,4.65,25,29070.0,137647.0,37.647000000000006,37647.0
2020-05-29,2020-05-01,170.0,174.6,183.25,9.85,83,-19666.999999999996,117980.0,17.98,17980.0
2020-06-26,2020-06-01,185.0,182.83,196.33,3.95,45,27035.000000000007,145015.0,45.015,45015.0
2020-07-31,2020-07-01,200.0,204.7,205.01,9.35,55,-52305.0,92710.0,-7.290000000000001,-7290.0
2020-08-28,2020-08-03,215.0,216.54,228.91,4.45,26,27300.000000000007,120010.0,20.01,20010.0
2020-09-25,2020-09-01,225.0,227.27,207.82,9.3,34,-998.0000000000073,119012.0,19.012,19012.0
2020-10-30,2020-10-01,210.0,212.46,202.47,9.55,47,-24827.000000000004,94185.0,-5.815,-5815.0
2020-11-27,2020-11-02,205.0,202.33,215.23,7.45,28,-15263.999999999998,78921.0,-21.079,-21079.0
2020-12-24,2020-12-01,215.0,216.21,222.75,5.5,33,-11365.999999999996,67555.0,-32.445,-32445.0
2021-01-29,2021-01-04,220.0,217.69,238.93,7.55,29,8704.999999999996,76260.0,-23.74,-23740.0
2021-02-26,2021-02-01,240.0,240.14,228.99,5.95,17,-19864.0,56396.0,-43.604,-43604.0
2021-03-26,2021-03-01,235.0,236.94,236.48,7.23,21,-24382.0,32014.0,-67.986,-67986.0
2021-04-30,2021-04-01,245.0,242.35,252.18,3.9,8,-1792.0,30222.0,-69.77799999999999,-69778.0
2021-05-28,2021-05-03,250.0,251.86,249.68,7.42,18,-14268.0,15954.0,-84.04599999999999,-84046.0
2021-06-25,2021-06-01,250.0,247.4,265.02,5.5,8,3226.0,19180.0,-80.82000000000001,-80820.0
2021-07-30,2021-07-01,275.0,271.6,284.91,4.2,5,1314.999999999999,20495.0,-79.50500000000001,-79505.0
2021-08-27,2021-08-02,290.0,284.82,299.72,3.25,5,5430.000000000001,25925.0,-74.075,-74075.0
2021-09-24,2021-09-01,300.0,301.83,299.35,7.5,21,-11284.0,14641.0,-85.359,-85359.0
2021-10-29,2021-10-01,290.0,289.1,331.62,5.12,2,21896.000000000004,36537.0,-63.463,-63463.0
