Advanced Micro Devices Inc | Price History                                          17-Nov-2021 01:06,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,155.65,09-Nov-2021,Max,"325,058,416",27-Aug-2018,Advancing,"43,674,863,441",Up,660,Up,+19.95%,30-Jan-2019,Max,"26,809,865,077.97",04-Aug-2021
Low,7.07,16-Nov-2016,Min,"11,035,758",24-Nov-2017,Declining,"38,646,807,406",Down,588,Down,-24.23%,02-May-2017,Min,"124,898,601.88",25-Nov-2016
Avg,41.96,,Avg,"65,825,921",,Total,"82,874,833,969",Unch,10,Period,"+1,887.61%",16-Nov-2016 - 16-Nov-2021,Avg,"2,546,256,600.75",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AMD.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,152.45,+5.96,+4.07%,145.93,145.34,153.08,"53,100,810","7,978,185,984.17","208,094,886,734.65",,,,,,
15-Nov-2021,146.49,-1.40,-0.95%,148.00,142.86,148.98,"52,271,271","7,630,401,136.62","200,116,700,750.48",,,,,,
12-Nov-2021,147.89,+1.88,+1.29%,146.03,144.25,148.59,"52,162,136","7,666,221,830.03","207,747,101,887.09",,,,,,
11-Nov-2021,146.01,+6.14,+4.39%,142.96,140.84,146.47,"67,934,845","9,779,192,070.26","200,080,880,057.07",,,,,,
10-Nov-2021,139.87,-9.05,-6.08%,143.93,138.52,146.30,"82,989,151","11,810,098,008.62","190,301,687,986.81",,,,,,
09-Nov-2021,148.92,-1.24,-0.83%,154.01,143.89,155.65,"98,442,597","14,646,982,174.07","202,111,785,995.43",,,,,,
08-Nov-2021,150.16,+13.82,+10.14%,137.70,137.70,153.60,"141,493,842","20,971,126,688.07","216,758,768,169.50",,,,,,
05-Nov-2021,136.34,-1.16,-0.84%,139.19,134.42,141.22,"64,920,597","8,937,525,803.83","195,787,641,481.43",,,,,,
04-Nov-2021,137.50,+6.97,+5.34%,132.01,130.77,139.00,"84,825,156","11,480,410,834.02","204,725,167,285.27",,,,,,
03-Nov-2021,130.53,+2.90,+2.27%,127.75,126.79,130.60,"59,537,815","7,688,890,591.84","193,244,756,451.24",,,,,,
02-Nov-2021,127.63,+2.40,+1.92%,124.98,124.20,128.46,"53,491,937","6,779,887,306.29","185,555,865,859.40",,,,,,
01-Nov-2021,125.23,+5.00,+4.16%,119.45,118.13,125.67,"54,559,780","6,666,103,437.14","178,775,978,553.12",,,,,,
29-Oct-2021,120.23,-0.93,-0.77%,120.95,119.88,122.57,"43,320,125","5,236,980,089.74","172,109,875,115.98",,,,,,
28-Oct-2021,121.16,-1.12,-0.92%,122.86,120.26,123.50,"58,002,459","7,049,933,366.86","177,346,855,205.72",,,,,,
27-Oct-2021,122.28,-0.65,-0.53%,121.63,121.05,128.08,"98,245,324","12,206,623,842.30","184,396,788,572.58",,,,,,
26-Oct-2021,122.93,+0.57,+0.47%,122.99,122.58,127.20,"59,458,928","7,400,553,674.20","196,603,412,414.88",,,,,,
25-Oct-2021,122.36,+2.54,+2.12%,120.52,118.60,123.46,"47,834,118","5,812,968,069.21","189,202,858,740.69",,,,,,
22-Oct-2021,119.82,+0.49,+0.41%,120.83,118.37,121.56,"38,992,694","4,675,141,736.15","183,389,890,671.48",,,,,,
21-Oct-2021,119.33,+2.94,+2.53%,116.50,116.26,119.68,"34,794,945","4,117,527,749.40","178,714,748,935.34",,,,,,
20-Oct-2021,116.39,+0.06,+0.05%,116.29,115.42,118.30,"34,244,811","3,998,945,537.75","174,597,221,185.93",,,,,,
19-Oct-2021,116.33,-0.10,-0.09%,116.16,114.47,117.17,"39,593,938","4,592,993,871.13","170,598,275,648.18",,,,,,
18-Oct-2021,116.43,+4.31,+3.84%,111.90,111.37,116.88,"47,537,763","5,475,345,426.13","175,191,269,519.32",,,,,,
15-Oct-2021,112.12,+0.13,+0.12%,112.51,111.11,112.84,"34,203,008","3,835,713,346.56","169,715,924,093.19",,,,,,
14-Oct-2021,111.99,+2.83,+2.59%,110.50,109.63,112.22,"46,900,157","5,224,664,521.22","165,880,210,746.62",,,,,,
13-Oct-2021,109.16,+4.12,+3.92%,106.28,106.25,109.88,"55,631,917","6,051,357,577.13","160,655,546,225.41",,,,,,
12-Oct-2021,105.04,+0.36,+0.34%,105.17,104.34,106.04,"34,039,906","3,579,187,531.84","154,604,188,648.27",,,,,,
11-Oct-2021,104.68,-0.38,-0.36%,104.62,104.02,107.20,"31,284,389","3,314,875,755.85","151,025,001,116.44",,,,,,
08-Oct-2021,105.06,-1.39,-1.31%,106.55,104.89,107.28,"30,623,047","3,236,122,143.29","154,339,876,872.29",,,,,,
07-Oct-2021,106.45,+2.81,+2.71%,104.60,104.46,107.95,"41,543,109","4,434,209,573.74","157,575,999,015.58",,,,,,
06-Oct-2021,103.64,+1.83,+1.80%,100.45,100.35,103.72,"39,071,703","3,990,481,781.15","153,141,789,441.84",,,,,,
05-Oct-2021,101.81,+1.47,+1.47%,100.92,100.61,102.87,"31,455,249","3,204,375,995.76","149,151,307,660.69",,,,,,
04-Oct-2021,100.34,-2.11,-2.06%,101.74,99.82,101.85,"41,967,149","4,214,278,896.44","145,946,931,664.93",,,,,,
01-Oct-2021,102.45,-0.45,-0.44%,102.60,100.64,103.00,"41,491,585","4,225,011,452.75","150,161,210,561.37",,,,,,
30-Sep-2021,102.90,+2.55,+2.54%,102.08,101.99,104.44,"57,636,700","5,964,785,254.08","154,386,222,014.11",,,,,,
