Microsoft Corp | Price History                                          17-Nov-2021 01:02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MSFT.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MSFT.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,340.67,16-Nov-2021,Max,"111,242,070",21-Dec-2018,Advancing,"19,207,381,214",Up,698,Up,+14.22%,13-Mar-2020,Max,"16,965,862,036.65",27-Oct-2021
Low,58.80,02-Dec-2016,Min,"7,425,603",24-Nov-2017,Declining,"16,288,749,164",Down,549,Down,-14.74%,16-Mar-2020,Min,"508,102,471.36",25-Nov-2016
Avg,147.90,,Avg,"28,394,184",,Total,"35,748,277,827",Unch,11,Period,+469.17%,16-Nov-2016 - 16-Nov-2021,Avg,"4,241,682,685.81",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MSFT.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,339.51,+3.44,+1.02%,335.68,335.51,340.67,"20,886,832","7,081,727,706.10","478,825,827,144.84",,,,,,
15-Nov-2021,336.07,-0.65,-0.19%,337.54,334.03,337.88,"16,723,009","5,613,882,865.95","471,744,099,438.74",,,,,,
12-Nov-2021,336.72,+4.29,+1.29%,333.92,333.79,337.23,"23,831,049","7,996,406,666.37","477,357,982,304.69",,,,,,
11-Nov-2021,332.43,+1.63,+0.49%,331.25,330.51,333.77,"16,849,844","5,605,394,156.34","469,361,575,638.32",,,,,,
10-Nov-2021,330.80,-5.15,-1.53%,334.57,329.92,334.63,"25,500,938","8,460,136,677.18","463,756,181,481.97",,,,,,
09-Nov-2021,335.95,-1.04,-0.31%,337.11,334.53,338.72,"21,307,370","7,165,888,652.14","472,216,318,159.15",,,,,,
08-Nov-2021,336.99,+0.93,+0.28%,337.30,334.44,337.65,"20,897,001","7,025,825,901.18","479,382,206,811.29",,,,,,
05-Nov-2021,336.06,-0.38,-0.11%,338.51,334.42,338.79,"22,570,098","7,594,367,836.46","472,356,380,910.11",,,,,,
04-Nov-2021,336.44,+2.44,+0.73%,332.89,329.51,336.54,"23,992,202","8,035,535,551.56","479,950,748,746.56",,,,,,
03-Nov-2021,334.00,+0.87,+0.26%,333.90,330.65,334.90,"21,500,082","7,158,974,797.45","471,915,213,195.00",,,,,,
02-Nov-2021,333.13,+3.76,+1.14%,330.31,330.00,333.45,"26,487,109","8,807,712,236.71","464,756,238,397.55",,,,,,
01-Nov-2021,329.37,-2.25,-0.68%,331.36,326.37,331.49,"27,073,182","8,891,871,653.68","455,948,526,160.85",,,,,,
29-Oct-2021,331.62,+7.27,+2.24%,324.13,323.90,332.00,"34,765,982","11,441,939,368.27","464,840,397,814.53",,,,,,
28-Oct-2021,324.35,+1.18,+0.37%,324.33,321.36,324.87,"26,297,943","8,504,436,168.85","453,398,458,446.26",,,,,,
27-Oct-2021,323.17,+13.06,+4.21%,316.00,316.00,326.10,"52,588,690","16,965,862,036.65","444,894,022,277.40",,,,,,
26-Oct-2021,310.11,+1.98,+0.64%,311.00,308.60,312.40,"28,107,349","8,730,035,156.47","427,928,160,240.75",,,,,,
25-Oct-2021,308.13,-1.03,-0.33%,309.36,306.46,309.40,"17,554,469","5,410,246,700.67","419,198,125,084.28",,,,,,
22-Oct-2021,309.16,-1.60,-0.51%,310.40,307.80,311.09,"17,449,332","5,397,260,591.11","424,608,371,784.95",,,,,,
21-Oct-2021,310.76,+3.35,+1.09%,307.17,306.36,311.02,"16,918,100","5,234,240,884.08","430,005,632,376.06",,,,,,
20-Oct-2021,307.41,-0.82,-0.27%,309.21,306.11,309.70,"16,537,069","5,086,941,234.22","424,771,391,491.99",,,,,,
19-Oct-2021,308.23,+0.94,+0.31%,308.35,307.22,309.30,"17,682,139","5,451,120,234.62","429,858,332,726.20",,,,,,
18-Oct-2021,307.29,+3.08,+1.01%,303.57,302.69,308.21,"22,729,297","6,951,750,920.07","424,407,212,491.59",,,,,,
15-Oct-2021,304.21,+1.46,+0.48%,302.34,300.52,304.45,"25,384,803","7,686,683,930.73","417,455,461,571.52",,,,,,
14-Oct-2021,302.75,+6.44,+2.17%,299.21,297.83,303.27,"27,262,902","8,215,662,890.90","409,768,777,640.79",,,,,,
13-Oct-2021,296.31,+3.43,+1.17%,294.91,293.49,297.28,"23,424,025","6,920,181,319.96","401,553,114,749.89",,,,,,
12-Oct-2021,292.88,-1.35,-0.46%,295.34,292.35,295.44,"17,974,143","5,277,103,253.91","394,632,933,429.93",,,,,,
11-Oct-2021,294.23,-0.62,-0.21%,292.92,292.75,297.97,"19,298,634","5,703,298,328.82","399,910,036,683.84",,,,,,
08-Oct-2021,294.85,0.00,0.00%,296.22,293.76,296.64,"17,685,700","5,219,630,955.20","405,613,335,012.66",,,,,,
07-Oct-2021,294.85,+1.74,+0.59%,295.18,293.92,296.64,"20,430,471","6,036,143,799.00","400,393,704,057.46",,,,,,
06-Oct-2021,293.11,+4.35,+1.51%,285.78,285.51,293.63,"28,002,559","8,133,521,581.15","394,357,560,258.47",,,,,,
05-Oct-2021,288.76,+5.65,+2.00%,284.05,284.05,290.40,"24,993,024","7,202,275,545.85","386,224,038,677.32",,,,,,
04-Oct-2021,283.11,-5.99,-2.07%,287.40,280.25,287.75,"31,350,747","8,862,146,236.54","379,021,763,131.46",,,,,,
01-Oct-2021,289.10,+7.18,+2.55%,282.12,281.29,289.98,"30,086,280","8,623,838,618.81","387,883,909,368.00",,,,,,
30-Sep-2021,281.92,-2.08,-0.73%,285.71,281.62,287.83,"32,343,635","9,183,611,916.33","379,260,070,749.19",,,,,,
29-Sep-2021,284.00,+0.48,+0.17%,285.10,283.01,286.77,"26,353,696","7,501,699,652.77","388,443,682,665.52",,,,,,
28-Sep-2021,283.52,-10.65,-3.62%,289.80,282.75,290.78,"43,186,237","12,329,044,177.43","380,941,983,012.75",,,,,,
27-Sep-2021,294.17,-5.18,-1.73%,296.14,292.94,296.47,"23,571,742","6,940,099,222.41","393,271,027,190.18",,,,,,
24-Sep-2021,299.35,-0.21,-0.07%,298.23,296.93,299.80,"14,998,978","4,477,154,437.65","400,211,126,412.60",,,,,,
23-Sep-2021,299.56,+0.98,+0.33%,298.85,297.53,300.90,"18,604,601","5,576,596,089.76","404,688,280,850.25",,,,,,
22-Sep-2021,298.58,+3.78,+1.28%,296.73,294.51,300.22,"26,626,342","7,938,744,652.41","399,111,684,760.48",,,,,,
21-Sep-2021,294.80,+0.50,+0.17%,295.69,294.07,297.54,"22,364,103","6,611,260,275.43","391,172,940,108.07",,,,,,
20-Sep-2021,294.30,-5.57,-1.86%,296.33,289.52,298.72,"38,278,661","11,247,298,406.69","384,561,679,832.64",,,,,,
17-Sep-2021,299.87,-5.35,-1.75%,304.17,299.53,304.50,"41,372,457","12,453,231,131.72","395,808,978,239.33",,,,,,
16-Sep-2021,305.22,+0.40,+0.13%,303.76,300.76,305.31,"19,550,815","5,933,875,407.24","408,262,209,371.05",,,,,,
15-Sep-2021,304.82,+5.03,+1.68%,303.26,301.82,305.32,"28,356,304","8,620,250,272.15","402,328,333,963.81",,,,,,
14-Sep-2021,299.79,+2.80,+0.94%,299.56,298.10,301.39,"21,853,433","6,554,264,271.99","393,708,083,691.66",,,,,,
13-Sep-2021,296.99,+1.28,+0.43%,297.55,294.08,298.54,"23,652,949","7,004,450,206.18","387,153,819,419.67",,,,,,
10-Sep-2021,295.71,-1.54,-0.52%,298.42,295.38,299.92,"19,633,363","5,837,375,403.28","380,149,369,213.49",,,,,,
09-Sep-2021,297.25,-2.96,-0.99%,300.82,297.00,302.14,"19,927,000","5,952,063,899.53","385,986,744,616.76",,,,,,
08-Sep-2021,300.21,+0.03,+0.01%,299.78,297.47,300.61,"15,046,819","4,500,781,427.55","391,938,808,516.29",,,,,,
07-Sep-2021,300.18,-0.96,-0.32%,301.01,298.20,301.09,"17,184,083","5,154,263,953.22","387,438,027,088.74",,,,,,
03-Sep-2021,301.14,-0.01,-0.00%,300.99,300.26,302.60,"14,751,610","4,447,281,451.07","392,592,291,041.96",,,,,,
02-Sep-2021,301.15,-0.68,-0.23%,302.20,300.18,303.36,"16,290,545","4,909,464,351.06","397,039,572,493.03",,,,,,
01-Sep-2021,301.83,-0.05,-0.02%,302.87,301.49,305.19,"18,983,826","5,752,605,944.76","401,949,036,844.09",,,,,,
31-Aug-2021,301.88,-1.71,-0.56%,304.42,301.50,304.50,"26,285,338","7,958,279,740.06","407,701,642,788.85",,,,,,
30-Aug-2021,303.59,+3.87,+1.29%,301.12,301.06,304.22,"16,348,072","4,957,881,391.51","415,659,922,528.91",,,,,,
27-Aug-2021,299.72,+0.63,+0.21%,298.99,296.83,300.87,"22,605,726","6,764,587,109.74","410,702,041,137.40",,,,,,
26-Aug-2021,299.09,-2.92,-0.97%,300.99,298.95,302.43,"17,666,084","5,305,064,287.22","403,937,454,027.66",,,,,,
25-Aug-2021,302.01,-0.61,-0.20%,304.30,300.42,304.59,"20,006,057","6,040,912,959.99","409,242,518,314.88",,,,,,
24-Aug-2021,302.62,-2.03,-0.67%,305.02,302.00,305.65,"18,175,774","5,508,898,642.17","415,283,431,274.87",,,,,,
23-Aug-2021,304.65,+0.29,+0.10%,303.25,301.85,305.40,"22,830,157","6,946,817,917.17","420,792,329,917.04",,,,,,
20-Aug-2021,304.36,+7.59,+2.56%,299.72,298.06,305.84,"40,817,646","12,392,204,880.69","413,845,511,999.87",,,,,,
19-Aug-2021,296.77,+6.04,+2.08%,288.69,288.64,297.47,"29,850,461","8,798,106,879.12","401,453,307,119.18",,,,,,
18-Aug-2021,290.73,-2.35,-0.80%,292.04,290.27,294.82,"21,812,985","6,382,810,120.68","392,655,200,240.06",,,,,,
17-Aug-2021,293.08,-1.52,-0.52%,292.39,291.08,293.43,"20,075,250","5,874,129,041.90","399,038,010,360.75",,,,,,
16-Aug-2021,294.60,+1.75,+0.60%,293.19,290.02,294.82,"22,516,027","6,597,206,828.88","404,912,139,402.65",,,,,,
13-Aug-2021,292.85,+3.04,+1.05%,289.48,289.30,292.90,"18,249,046","5,317,114,108.10","398,314,932,573.77",,,,,,
12-Aug-2021,289.81,+2.86,+1.00%,286.63,286.34,289.97,"14,570,391","4,211,783,296.53","392,997,818,465.67",,,,,,
11-Aug-2021,286.95,+0.51,+0.18%,287.21,285.86,288.66,"13,955,934","4,004,581,456.05","388,786,035,169.15",,,,,,
10-Aug-2021,286.44,-1.89,-0.66%,288.80,285.20,289.25,"18,616,578","5,341,074,592.28","384,781,453,713.10",,,,,,
09-Aug-2021,288.33,-1.13,-0.39%,289.75,287.81,291.55,"16,117,629","4,653,064,813.35","390,122,528,305.38",,,,,,
06-Aug-2021,289.46,-0.06,-0.02%,288.51,287.62,289.50,"16,589,336","4,791,047,167.80","394,775,593,118.73",,,,,,
05-Aug-2021,289.52,+3.01,+1.05%,286.88,286.10,289.63,"13,900,167","4,009,922,790.91","399,566,640,286.53",,,,,,
