Apple Inc | Price History                                          17-Nov-2021 01:03,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AAPL.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AAPL.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,157.26,07-Sep-2021,Max,"447,940,160",01-Feb-2017,Advancing,"79,144,449,973",Up,683,Up,+11.98%,13-Mar-2020,Max,"43,698,143,221.10",24-Aug-2020
Low,26.65,16-Nov-2016,Min,"40,999,950",11-Nov-2021,Declining,"72,980,370,760",Down,572,Down,-12.86%,16-Mar-2020,Min,"1,279,463,552.25",25-Nov-2016
Avg,71.25,,Avg,"121,267,474",,Total,"152,675,749,401",Unch,3,Period,+449.14%,16-Nov-2016 - 16-Nov-2021,Avg,"8,346,868,090.39",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AAPL.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,151.00,+1.00,+0.67%,149.94,149.34,151.49,"59,256,210","8,929,766,646.91","459,809,861,983.24",,,,,,
15-Nov-2021,150.00,+0.01,+0.01%,150.37,149.43,151.88,"59,222,803","8,900,489,303.66","450,880,095,336.33",,,,,,
12-Nov-2021,149.99,+2.12,+1.43%,148.43,147.48,150.40,"63,804,008","9,529,358,651.45","441,979,606,032.67",,,,,,
11-Nov-2021,147.87,-0.05,-0.03%,148.96,147.68,149.43,"40,999,950","6,074,832,765.94","432,450,247,381.22",,,,,,
10-Nov-2021,147.92,-2.89,-1.92%,150.02,147.85,150.13,"65,187,092","9,687,035,475.43","438,525,080,147.16",,,,,,
09-Nov-2021,150.81,+0.37,+0.25%,150.20,150.06,151.43,"56,787,930","8,563,164,496.36","448,212,115,622.59",,,,,,
08-Nov-2021,150.44,-0.84,-0.56%,151.41,150.16,151.57,"55,020,868","8,298,175,227.03","439,648,951,126.23",,,,,,
05-Nov-2021,151.28,+0.32,+0.21%,151.89,150.06,152.20,"65,463,883","9,890,864,456.03","447,947,126,353.26",,,,,,
04-Nov-2021,150.96,-0.53,-0.35%,151.58,150.64,152.43,"60,394,616","9,143,585,456.62","438,056,261,897.22",,,,,,
