Bed Bath & Beyond Inc | Price History                                          17-Nov-2021 01:13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBBY.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBBY.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,53.90,27-Jan-2021,Max,"109,871,336",02-Jun-2021,Advancing,"4,661,249,944",Up,599,Up,+62.11%,02-Jun-2021,Max,"4,297,715,262.48",27-Jan-2021
Low,3.43,03-Apr-2020,Min,"698,379",25-Nov-2016,Declining,"3,959,097,151",Down,648,Down,-36.40%,28-Jan-2021,Min,"19,702,697.95",23-Nov-2018
Avg,20.79,,Avg,"6,888,361",,Total,"8,672,446,244",Unch,11,Period,-49.68%,16-Nov-2016 - 16-Nov-2021,Avg,"128,921,245.43",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBBY.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,22.56,+0.98,+4.54%,21.67,21.22,22.82,"6,571,913","147,949,754.83","19,775,422,345.11",,,,,,
15-Nov-2021,21.58,-0.96,-4.26%,22.58,20.91,23.07,"6,249,094","135,430,041.72","19,627,472,590.28",,,,,,
12-Nov-2021,22.54,-0.54,-2.34%,23.08,22.33,23.24,"5,255,296","119,309,451.83","19,762,902,632.00",,,,,,
11-Nov-2021,23.08,+1.29,+5.92%,21.91,21.91,23.92,"9,421,628","218,770,204.94","19,882,212,083.83",,,,,,
10-Nov-2021,21.79,+0.20,+0.93%,21.31,20.88,22.78,"7,422,605","162,903,370.25","19,663,441,878.89",,,,,,
09-Nov-2021,21.59,-0.08,-0.37%,21.82,21.34,22.85,"7,358,978","160,881,399.08","19,500,538,508.65",,,,,,
08-Nov-2021,21.67,-0.90,-3.99%,21.61,20.81,22.10,"12,715,705","272,636,358.31","19,661,419,907.72",,,,,,
05-Nov-2021,22.57,+2.40,+11.90%,19.98,18.68,24.05,"60,922,076","1,338,218,823.97","19,934,056,266.04",,,,,,
04-Nov-2021,20.17,+0.87,+4.51%,20.08,19.17,20.72,"15,877,015","316,281,198.57","18,595,837,442.07",,,,,,
03-Nov-2021,19.30,+2.55,+15.22%,25.64,19.20,25.72,"104,964,256","2,299,107,608.89","18,279,556,243.50",,,,,,
02-Nov-2021,16.75,+1.47,+9.62%,15.57,14.80,16.81,"45,906,175","1,108,205,811.38","15,980,448,634.61",,,,,,
01-Nov-2021,15.28,+1.24,+8.83%,14.17,14.12,15.38,"8,371,370","125,258,847.57","14,872,242,823.23",,,,,,
