Ford Motor Co | Price History                                          17-Nov-2021 01:04,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
F Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,20.51,09-Nov-2021,Max,"282,761,553",21-Jan-2021,Advancing,"32,632,402,375",Up,605,Up,+23.44%,24-Mar-2020,Max,"4,525,041,788.00",10-Nov-2021
Low,3.96,23-Mar-2020,Min,"9,549,629",24-Nov-2017,Declining,"33,432,985,705",Down,616,Down,-11.01%,16-Mar-2020,Min,"112,339,935.17",24-Dec-2019
Avg,10.32,,Avg,"53,771,931",,Total,"67,698,860,818",Unch,37,Period,+66.78%,16-Nov-2016 - 16-Nov-2021,Avg,"550,227,933.18",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
F History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,19.79,-0.07,-0.35%,19.90,19.53,20.06,"66,557,180","1,315,239,215.00","5,461,242,138.61",,,,,,
15-Nov-2021,19.86,+0.36,+1.85%,19.46,19.14,19.95,"84,838,610","1,668,626,600.00","6,776,481,353.61",,,,,,
12-Nov-2021,19.50,-0.05,-0.26%,19.38,19.21,19.62,"77,837,876","1,513,635,982.00","5,107,854,753.61",,,,,,
11-Nov-2021,19.55,+0.19,+0.98%,19.64,19.26,19.84,"96,436,462","1,886,726,958.00","6,621,490,735.61",,,,,,
10-Nov-2021,19.36,-0.76,-3.78%,19.88,19.06,20.47,"229,109,585","4,525,041,788.00","4,734,763,777.61",,,,,,
09-Nov-2021,20.12,-0.03,-0.15%,20.51,19.41,20.51,"164,928,461","3,295,324,220.00","9,259,805,565.61",,,,,,
08-Nov-2021,20.15,+0.86,+4.46%,19.40,19.24,20.42,"153,490,430","3,077,819,171.00","12,555,129,785.61",,,,,,
05-Nov-2021,19.29,-0.13,-0.67%,19.71,18.99,19.72,"122,232,174","2,370,624,634.00","9,477,310,614.61",,,,,,
04-Nov-2021,19.42,+0.79,+4.24%,18.92,18.72,19.50,"157,505,547","3,021,771,336.00","11,847,935,248.61",,,,,,
03-Nov-2021,18.63,+0.62,+3.44%,17.92,17.88,18.83,"104,755,458","1,926,395,766.00","8,826,163,912.61",,,,,,
02-Nov-2021,18.01,+0.06,+0.33%,18.15,17.73,18.19,"115,146,196","2,069,541,341.00","6,899,768,146.61",,,,,,
01-Nov-2021,17.95,+0.87,+5.09%,17.50,17.07,17.97,"125,246,485","2,208,018,853.00","4,830,226,805.61",,,,,,
29-Oct-2021,17.08,+0.22,+1.30%,16.86,16.55,17.36,"100,560,723","1,712,173,031.00","2,622,207,952.61",,,,,,
28-Oct-2021,16.86,+1.35,+8.70%,16.86,16.71,17.58,"215,237,578","3,660,592,125.00","910,034,921.61",,,,,,
27-Oct-2021,15.51,-0.43,-2.70%,15.79,15.50,15.92,"96,094,256","1,523,837,325.00","-2,750,557,203.39",,,,,,
26-Oct-2021,15.94,-0.06,-0.38%,16.09,15.70,16.22,"64,882,295","1,033,260,653.00","-1,226,719,878.39",,,,,,
25-Oct-2021,16.00,-0.28,-1.72%,16.40,15.81,16.50,"67,808,039","1,087,801,587.00","-193,459,225.39",,,,,,
22-Oct-2021,16.28,-0.27,-1.63%,16.42,16.23,16.54,"60,646,754","992,376,934.00","894,342,361.61",,,,,,
21-Oct-2021,16.55,+0.51,+3.18%,16.16,16.13,16.70,"95,854,951","1,576,419,000.00","1,886,719,295.61",,,,,,
20-Oct-2021,16.04,+0.62,+4.02%,15.43,15.37,16.16,"105,213,717","1,673,485,069.00","310,300,295.61",,,,,,
19-Oct-2021,15.42,-0.14,-0.90%,15.60,15.37,15.69,"44,668,310","692,095,973.00","-1,363,184,773.39",,,,,,
18-Oct-2021,15.56,-0.14,-0.89%,15.57,15.49,15.65,"48,643,809","757,163,060.00","-671,088,800.39",,,,,,
15-Oct-2021,15.70,+0.25,+1.62%,15.54,15.54,16.03,"77,211,817","1,220,812,403.00","86,074,259.61",,,,,,
14-Oct-2021,15.45,-0.06,-0.39%,15.62,15.37,15.62,"50,875,110","786,870,842.00","-1,134,738,143.39",,,,,,
13-Oct-2021,15.51,-0.13,-0.83%,15.59,15.27,15.69,"63,363,486","983,379,167.00","-347,867,301.39",,,,,,
12-Oct-2021,15.64,+0.55,+3.64%,15.11,15.01,15.68,"89,134,009","1,382,845,803.00","635,511,865.61",,,,,,
11-Oct-2021,15.09,-0.03,-0.20%,15.20,14.97,15.36,"45,302,310","688,051,826.00","-747,333,937.39",,,,,,
08-Oct-2021,15.12,+0.23,+1.54%,14.92,14.85,15.49,"99,468,887","1,513,109,479.00","-59,282,111.39",,,,,,
07-Oct-2021,14.89,+0.77,+5.45%,14.34,14.31,14.95,"96,557,549","1,428,905,566.00","-1,572,391,590.39",,,,,,
06-Oct-2021,14.12,-0.17,-1.19%,14.14,13.89,14.34,"61,020,278","858,337,002.00","-3,001,297,156.39",,,,,,
05-Oct-2021,14.29,-0.06,-0.42%,14.44,14.11,14.44,"55,915,797","796,878,348.00","-2,142,960,154.39",,,,,,
04-Oct-2021,14.35,+0.19,+1.34%,14.27,14.22,14.79,"78,332,497","1,133,754,513.00","-1,346,081,806.39",,,,,,
01-Oct-2021,14.16,0.00,0.00%,14.26,14.01,14.37,"51,880,916","735,322,507.00","-2,479,836,319.39",,,,,,
30-Sep-2021,14.16,-0.14,-0.98%,14.26,14.09,14.32,"78,820,537","1,119,105,090.00","-1,744,513,812.39",,,,,,
29-Sep-2021,14.30,-0.01,-0.07%,14.46,14.17,14.50,"56,805,504","813,381,898.00","-625,408,722.39",,,,,,
28-Sep-2021,14.31,+0.15,+1.06%,14.63,14.23,14.73,"107,090,949","1,545,906,286.00","187,973,175.61",,,,,,
27-Sep-2021,14.16,+0.38,+2.76%,13.89,13.88,14.29,"68,769,650","974,708,600.00","-1,357,933,110.39",,,,,,
24-Sep-2021,13.78,+0.07,+0.51%,13.66,13.64,13.94,"57,440,218","794,392,714.00","-2,332,641,710.39",,,,,,
23-Sep-2021,13.71,+0.48,+3.63%,13.35,13.32,13.74,"68,708,095","936,440,439.00","-3,127,034,424.39",,,,,,
22-Sep-2021,13.23,+0.46,+3.60%,12.92,12.91,13.39,"75,784,038","1,000,468,672.00","-4,063,474,863.39",,,,,,
21-Sep-2021,12.77,-0.05,-0.39%,12.89,12.66,12.97,"60,473,075","773,798,382.00","-5,063,943,535.39",,,,,,
20-Sep-2021,12.82,-0.73,-5.39%,13.07,12.63,13.19,"126,152,174","1,617,825,918.00","-4,290,145,153.39",,,,,,
17-Sep-2021,13.55,+0.15,+1.12%,13.41,13.39,13.70,"76,337,380","1,034,648,211.00","-2,672,319,235.39",,,,,,
16-Sep-2021,13.40,+0.18,+1.36%,13.18,13.10,13.53,"76,426,063","1,018,434,351.00","-3,706,967,446.39",,,,,,
15-Sep-2021,13.22,+0.36,+2.80%,12.89,12.81,13.25,"60,282,087","789,170,169.00","-4,725,401,797.39",,,,,,
14-Sep-2021,12.86,-0.13,-1.00%,12.93,12.79,13.06,"47,640,810","613,840,257.00","-5,514,571,966.39",,,,,,
13-Sep-2021,12.99,+0.31,+2.44%,12.76,12.62,12.99,"62,270,767","799,306,557.00","-4,900,731,709.39",,,,,,
10-Sep-2021,12.68,-0.08,-0.63%,12.84,12.66,12.93,"48,792,472","623,145,107.00","-5,700,038,266.39",,,,,,
09-Sep-2021,12.76,-0.27,-2.07%,12.95,12.72,12.95,"68,806,407","881,180,925.00","-5,076,893,159.39",,,,,,
08-Sep-2021,13.03,+0.08,+0.62%,12.97,12.91,13.22,"57,980,882","755,258,533.00","-4,195,712,234.39",,,,,,
07-Sep-2021,12.95,+0.06,+0.47%,12.83,12.81,13.04,"64,008,878","828,267,465.00","-4,950,970,767.39",,,,,,
03-Sep-2021,12.89,-0.12,-0.92%,12.99,12.87,13.05,"41,746,597","539,611,689.00","-5,779,238,232.39",,,,,,
02-Sep-2021,13.01,-0.10,-0.76%,13.09,12.97,13.21,"49,322,939","645,108,262.00","-5,239,626,543.39",,,,,,
01-Sep-2021,13.11,+0.08,+0.61%,13.03,12.90,13.22,"58,875,686","770,571,536.00","-4,594,518,281.39",,,,,,
31-Aug-2021,13.03,-0.02,-0.15%,13.02,12.93,13.14,"42,212,703","550,390,587.00","-5,365,089,817.39",,,,,,
30-Aug-2021,13.05,-0.26,-1.95%,13.35,13.03,13.37,"42,720,093","561,048,252.00","-4,814,699,230.39",,,,,,
27-Aug-2021,13.31,+0.41,+3.18%,12.89,12.87,13.37,"57,587,271","760,578,736.00","-4,253,650,978.39",,,,,,
26-Aug-2021,12.90,-0.27,-2.05%,13.11,12.81,13.13,"57,559,820","745,011,743.00","-5,014,229,714.39",,,,,,
25-Aug-2021,13.17,+0.09,+0.69%,13.12,13.02,13.28,"51,195,455","675,031,296.00","-4,269,217,971.39",,,,,,
24-Aug-2021,13.08,+0.35,+2.75%,12.81,12.76,13.14,"53,672,503","698,897,674.00","-4,944,249,267.39",,,,,,
23-Aug-2021,12.73,+0.16,+1.27%,12.71,12.47,12.85,"64,573,553","818,264,328.00","-5,643,146,941.39",,,,,,
20-Aug-2021,12.57,-0.10,-0.79%,12.61,12.38,12.67,"53,615,575","670,855,850.00","-6,461,411,269.39",,,,,,
19-Aug-2021,12.67,-0.33,-2.54%,12.80,12.57,12.92,"69,038,770","878,032,724.00","-5,790,555,419.39",,,,,,
18-Aug-2021,13.00,+0.01,+0.08%,12.95,12.90,13.21,"50,966,744","666,006,042.00","-4,912,522,695.39",,,,,,
