General Motors Co | Price History                                          17-Nov-2021 01:05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GM,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GM Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,64.30,07-Jun-2021,Max,"67,667,165",04-Aug-2021,Advancing,"9,006,940,674",Up,644,Up,+19.94%,24-Mar-2020,Max,"3,602,979,845.22",04-Aug-2021
Low,14.33,18-Mar-2020,Min,"2,924,240",24-Dec-2019,Declining,"8,129,663,329",Down,600,Down,-17.32%,18-Mar-2020,Min,"107,056,781.11",24-Dec-2019
Avg,39.27,,Avg,"13,736,836",,Total,"17,294,676,363",Unch,14,Period,+88.41%,16-Nov-2016 - 16-Nov-2021,Avg,"552,083,479.41",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GM History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,62.61,-0.36,-0.57%,63.24,61.93,63.28,"16,114,989","1,008,495,439.00","37,149,380,783.53",,,,,,
15-Nov-2021,62.97,-0.43,-0.68%,63.66,62.63,63.73,"14,372,134","907,941,180.00","38,157,876,222.53",,,,,,
12-Nov-2021,63.40,+1.58,+2.56%,61.59,61.28,64.03,"31,152,375","1,967,682,376.00","39,065,817,402.53",,,,,,
11-Nov-2021,61.82,+2.55,+4.30%,59.82,59.31,62.15,"29,033,882","1,779,485,973.00","37,098,135,026.53",,,,,,
10-Nov-2021,59.27,+0.65,+1.11%,57.85,57.73,60.56,"22,778,553","1,352,072,309.00","35,318,649,053.53",,,,,,
09-Nov-2021,58.62,-0.98,-1.64%,59.81,57.81,59.93,"13,822,868","810,495,279.00","33,966,576,744.53",,,,,,
08-Nov-2021,59.60,+1.08,+1.85%,58.76,58.48,60.33,"14,385,453","858,659,328.00","34,777,072,023.53",,,,,,
05-Nov-2021,58.52,-0.12,-0.20%,59.15,58.05,59.35,"16,302,208","957,178,274.00","33,918,412,695.53",,,,,,
04-Nov-2021,58.64,+2.64,+4.71%,56.47,56.27,58.77,"24,026,099","1,392,996,367.00","34,875,590,969.53",,,,,,
03-Nov-2021,56.00,+0.41,+0.74%,55.26,55.09,56.17,"14,419,373","803,400,275.00","33,482,594,602.53",,,,,,
02-Nov-2021,55.59,+0.10,+0.18%,55.03,54.68,55.98,"16,377,488","909,500,563.00","32,679,194,327.53",,,,,,
01-Nov-2021,55.49,+1.06,+1.95%,54.85,54.42,55.74,"15,677,568","864,131,363.00","31,769,693,764.53",,,,,,
29-Oct-2021,54.43,+0.19,+0.35%,53.90,53.61,55.04,"16,680,739","907,954,264.00","30,905,562,401.53",,,,,,
28-Oct-2021,54.24,-0.02,-0.04%,54.60,54.06,55.58,"23,020,297","1,260,691,769.00","29,997,608,137.53",,,,,,
27-Oct-2021,54.26,-3.11,-5.42%,55.60,54.16,55.76,"36,397,560","2,003,320,715.00","31,258,299,906.53",,,,,,
26-Oct-2021,57.37,-0.39,-0.68%,58.02,56.96,58.30,"16,335,762","938,752,939.00","33,261,620,621.53",,,,,,
25-Oct-2021,57.76,-0.01,-0.02%,58.05,56.84,58.31,"14,151,033","814,819,799.00","34,200,373,560.53",,,,,,
22-Oct-2021,57.77,-0.64,-1.10%,58.37,57.64,58.70,"11,077,606","643,222,747.00","35,015,193,359.53",,,,,,
