Macy's Inc | Price History                                          17-Nov-2021 01:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,45.41,25-Nov-2016,Max,"138,751,212",19-Aug-2021,Advancing,"10,259,522,260",Up,634,Up,+19.61%,27-May-2020,Max,"2,906,527,199.00",19-Aug-2021
Low,4.38,02-Apr-2020,Min,"2,959,266",27-Apr-2017,Declining,"9,108,521,226",Down,611,Down,-22.23%,12-Mar-2020,Min,"75,544,783.56",14-Oct-2020
Avg,21.72,,Avg,"15,486,280",,Total,"19,497,226,393",Unch,13,Period,-22.83%,16-Nov-2016 - 16-Nov-2021,Avg,"267,065,420.23",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
M History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,32.29,+1.24,+3.99%,31.13,30.72,32.47,"18,367,158","583,627,945.00","20,151,602,858.09",,,,,,
15-Nov-2021,31.05,+0.59,+1.94%,31.00,30.41,31.46,"11,470,801","353,944,861.00","19,567,974,913.09",,,,,,
12-Nov-2021,30.46,-0.43,-1.39%,30.79,30.11,31.05,"12,680,238","386,807,784.00","19,214,030,052.09",,,,,,
11-Nov-2021,30.89,+1.07,+3.59%,30.11,30.06,31.46,"11,797,488","364,924,150.00","19,600,837,836.09",,,,,,
10-Nov-2021,29.82,-0.79,-2.58%,30.42,29.66,30.77,"8,602,631","259,259,012.00","19,235,913,686.09",,,,,,
09-Nov-2021,30.61,-0.61,-1.95%,31.15,30.26,31.56,"10,236,674","315,572,792.00","19,495,172,698.09",,,,,,
08-Nov-2021,31.22,-0.12,-0.38%,31.64,30.97,31.96,"10,317,420","324,742,317.00","19,810,745,490.09",,,,,,
05-Nov-2021,31.34,+0.60,+1.95%,31.27,30.69,31.88,"10,048,484","312,870,815.00","20,135,487,807.09",,,,,,
