Pfizer Inc | Price History                                          17-Nov-2021 01:11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PFE,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PFE Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),Turnover,,,,
High,51.86,18-Aug-2021,Max,"218,362,348",09-Nov-2020,Advancing,"15,947,934,512",Up,631,Up,+10.86%,05-Nov-2021,Max,"8,737,786,285.77",09-Nov-2020
Low,26.43,23-Mar-2020,Min,"4,921,941",24-Dec-2019,Declining,"15,802,213,714",Down,608,Down,-7.73%,16-Mar-2020,Min,"193,496,956.19",24-Dec-2019
Avg,36.27,,Avg,"25,558,176",,Total,"32,177,743,891",Unch,19,Period,+63.72%,16-Nov-2016 - 16-Nov-2021,Avg,"972,406,971.80",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PFE History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,49.60,-0.05,-0.10%,49.47,48.89,50.16,"31,297,220","1,550,637,512.00","20,379,126,910.77",,,,,,
15-Nov-2021,49.65,-0.08,-0.16%,49.73,49.37,50.10,"27,763,215","1,380,502,208.00","21,929,764,422.77",,,,,,
12-Nov-2021,49.73,-0.45,-0.90%,50.42,49.57,50.49,"27,780,566","1,384,981,942.00","23,310,266,630.77",,,,,,
11-Nov-2021,50.18,+1.16,+2.37%,49.23,48.73,50.50,"42,370,388","2,118,100,910.00","24,695,248,572.77",,,,,,
10-Nov-2021,49.02,+1.72,+3.64%,47.40,47.40,49.21,"42,696,195","2,084,048,817.00","22,577,147,662.77",,,,,,
09-Nov-2021,47.30,-1.03,-2.13%,48.33,47.15,48.38,"29,920,438","1,420,707,075.00","20,493,098,845.77",,,,,,
08-Nov-2021,48.33,-0.28,-0.58%,48.61,47.60,48.79,"57,423,266","2,770,057,200.00","21,913,805,920.77",,,,,,
05-Nov-2021,48.61,+4.76,+10.86%,48.09,46.55,48.81,"173,959,104","8,322,809,981.00","24,683,863,120.77",,,,,,
04-Nov-2021,43.85,-0.97,-2.16%,44.29,43.31,44.47,"38,172,536","1,670,526,622.00","16,361,053,139.77",,,,,,
03-Nov-2021,44.82,-0.63,-1.39%,45.52,44.48,45.99,"44,593,137","2,005,888,363.00","18,031,579,761.77",,,,,,
02-Nov-2021,45.45,+1.81,+4.15%,45.08,43.05,46.04,"69,247,983","3,127,983,134.00","20,037,468,124.77",,,,,,
