Qualcomm Inc | Price History                                          17-Nov-2021 01:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,183.73,16-Nov-2021,Max,"156,019,346",17-Apr-2019,Advancing,"7,486,341,885",Up,659,Up,+23.21%,16-Apr-2019,Max,"12,334,264,915.94",17-Apr-2019
Low,48.56,26-Apr-2018,Min,"2,120,165",24-Dec-2020,Declining,"6,654,294,122",Down,597,Down,-14.95%,16-Mar-2020,Min,"157,997,618.87",28-Dec-2017
Avg,84.80,,Avg,"11,255,703",,Total,"14,170,929,990",Unch,2,Period,+174.22%,16-Nov-2016 - 16-Nov-2021,Avg,"910,971,050.11",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QCOM.O History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,181.81,+13.30,+7.89%,168.11,167.06,183.73,"33,338,217","5,887,996,442.81","75,858,589,093.41",,,,,,
15-Nov-2021,168.51,+3.57,+2.16%,166.50,165.81,169.94,"12,350,190","2,075,695,322.33","69,970,592,650.60",,,,,,
12-Nov-2021,164.94,+0.52,+0.32%,165.00,164.33,166.02,"7,370,988","1,216,831,736.01","67,894,897,328.27",,,,,,
11-Nov-2021,164.42,+4.62,+2.89%,161.80,161.39,165.56,"7,624,181","1,251,907,405.27","66,678,065,592.27",,,,,,
10-Nov-2021,159.80,-6.94,-4.16%,165.09,159.03,166.12,"11,327,143","1,832,262,320.57","65,426,158,187.00",,,,,,
09-Nov-2021,166.74,+0.89,+0.54%,166.51,164.38,169.52,"12,353,902","2,061,234,089.30","67,258,420,507.57",,,,,,
08-Nov-2021,165.85,+2.82,+1.73%,163.21,161.28,167.71,"14,541,398","2,397,949,811.77","65,197,186,418.26",,,,,,
05-Nov-2021,163.03,+6.92,+4.43%,157.08,155.91,168.55,"27,226,584","4,437,401,020.94","62,799,236,606.49",,,,,,
04-Nov-2021,156.11,+17.63,+12.73%,156.33,153.30,159.58,"48,321,483","7,542,664,939.73","58,361,835,585.55",,,,,,
03-Nov-2021,138.48,+3.25,+2.40%,135.75,135.04,138.85,"13,216,018","1,833,965,469.01","50,819,170,645.82",,,,,,
02-Nov-2021,135.23,+0.42,+0.31%,134.55,134.12,135.73,"7,321,923","988,315,125.33","48,985,205,176.81",,,,,,
01-Nov-2021,134.81,+1.77,+1.33%,132.44,132.44,134.87,"6,903,023","924,184,076.31","47,996,890,051.48",,,,,,
29-Oct-2021,133.04,-0.65,-0.49%,132.86,132.45,133.68,"5,251,108","698,307,369.79","47,072,705,975.18",,,,,,
28-Oct-2021,133.69,+2.49,+1.90%,131.99,131.87,133.83,"5,016,737","667,541,165.72","47,771,013,344.97",,,,,,
