S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
16-Nov-2021,"4,700.90",+18.10,+0.39%,"4,679.42","4,679.42","4,714.95",
15-Nov-2021,"4,682.80",-0.05,-0.00%,"4,689.30","4,672.86","4,697.42",
12-Nov-2021,"4,682.85",+33.58,+0.72%,"4,655.24","4,650.77","4,688.47",
11-Nov-2021,"4,649.27",+2.56,+0.06%,"4,659.39","4,648.31","4,664.55",
10-Nov-2021,"4,646.71",-38.54,-0.82%,"4,670.26","4,630.86","4,684.85",
09-Nov-2021,"4,685.25",-16.45,-0.35%,"4,707.25","4,670.87","4,708.53",
08-Nov-2021,"4,701.70",+4.17,+0.09%,"4,701.48","4,694.39","4,714.92",
05-Nov-2021,"4,697.53",+17.47,+0.37%,"4,699.26","4,681.32","4,718.50",
04-Nov-2021,"4,680.06",+19.49,+0.42%,"4,662.93","4,662.59","4,683.00",
03-Nov-2021,"4,660.57",+29.92,+0.65%,"4,630.65","4,621.19","4,663.46",
02-Nov-2021,"4,630.65",+16.98,+0.37%,"4,613.34","4,613.34","4,635.15",
01-Nov-2021,"4,613.67",+8.29,+0.18%,"4,610.62","4,595.06","4,620.34",
29-Oct-2021,"4,605.38",+8.96,+0.19%,"4,572.87","4,567.59","4,608.08",
28-Oct-2021,"4,596.42",+44.74,+0.98%,"4,562.84","4,562.84","4,597.55",
27-Oct-2021,"4,551.68",-23.11,-0.51%,"4,580.22","4,551.66","4,584.57",
26-Oct-2021,"4,574.79",+8.31,+0.18%,"4,578.69","4,569.17","4,598.53",
25-Oct-2021,"4,566.48",+21.58,+0.47%,"4,553.69","4,537.36","4,572.62",
22-Oct-2021,"4,544.90",-4.88,-0.11%,"4,546.12","4,524.00","4,559.67",
21-Oct-2021,"4,549.78",+13.59,+0.30%,"4,532.24","4,526.89","4,551.44",
20-Oct-2021,"4,536.19",+16.56,+0.37%,"4,524.42","4,524.40","4,540.87",
19-Oct-2021,"4,519.63",+33.17,+0.74%,"4,497.34","4,496.41","4,520.40",
18-Oct-2021,"4,486.46",+15.09,+0.34%,"4,463.72","4,447.47","4,488.75",
15-Oct-2021,"4,471.37",+33.11,+0.75%,"4,447.69","4,447.69","4,475.82",
14-Oct-2021,"4,438.26",+74.46,+1.71%,"4,386.75","4,386.75","4,439.73",
13-Oct-2021,"4,363.80",+13.15,+0.30%,"4,358.01","4,329.92","4,372.87",
12-Oct-2021,"4,350.65",-10.54,-0.24%,"4,368.31","4,342.09","4,374.89",
11-Oct-2021,"4,361.19",-30.15,-0.69%,"4,385.44","4,360.59","4,415.88",
08-Oct-2021,"4,391.34",-8.42,-0.19%,"4,406.51","4,386.22","4,412.02",
07-Oct-2021,"4,399.76",+36.21,+0.83%,"4,383.73","4,383.73","4,429.97",
06-Oct-2021,"4,363.55",+17.83,+0.41%,"4,319.57","4,290.49","4,365.57",
05-Oct-2021,"4,345.72",+45.26,+1.05%,"4,309.87","4,309.87","4,369.23",
04-Oct-2021,"4,300.46",-56.58,-1.30%,"4,348.84","4,278.94","4,355.51",
01-Oct-2021,"4,357.04",+49.50,+1.15%,"4,317.16","4,288.52","4,375.19",
30-Sep-2021,"4,307.54",-51.92,-1.19%,"4,370.67","4,306.24","4,382.55",
29-Sep-2021,"4,359.46",+6.83,+0.16%,"4,362.41","4,355.08","4,385.57",
28-Sep-2021,"4,352.63",-90.48,-2.04%,"4,419.54","4,346.33","4,419.54",
27-Sep-2021,"4,443.11",-12.37,-0.28%,"4,442.12","4,436.19","4,457.30",
24-Sep-2021,"4,455.48",+6.50,+0.15%,"4,438.04","4,430.27","4,463.12",
23-Sep-2021,"4,448.98",+53.34,+1.21%,"4,406.75","4,406.75","4,465.40",
22-Sep-2021,"4,395.64",+41.45,+0.95%,"4,367.43","4,367.43","4,416.75",
21-Sep-2021,"4,354.19",-3.54,-0.08%,"4,374.45","4,347.96","4,394.87",
20-Sep-2021,"4,357.73",-75.26,-1.70%,"4,402.95","4,305.91","4,402.95",
17-Sep-2021,"4,432.99",-40.76,-0.91%,"4,469.74","4,427.76","4,471.52",
16-Sep-2021,"4,473.75",-6.95,-0.16%,"4,477.09","4,443.80","4,485.87",
15-Sep-2021,"4,480.70",+37.65,+0.85%,"4,447.49","4,438.37","4,486.87",
14-Sep-2021,"4,443.05",-25.68,-0.57%,"4,479.33","4,435.46","4,485.68",
13-Sep-2021,"4,468.73",+10.15,+0.23%,"4,474.81","4,445.70","4,492.99",
10-Sep-2021,"4,458.58",-34.70,-0.77%,"4,506.92","4,457.66","4,520.47",
09-Sep-2021,"4,493.28",-20.79,-0.46%,"4,513.02","4,492.07","4,529.90",
08-Sep-2021,"4,514.07",-5.96,-0.13%,"4,518.09","4,493.95","4,521.79",
07-Sep-2021,"4,520.03",-15.40,-0.34%,"4,535.38","4,513.00","4,535.38",
03-Sep-2021,"4,535.43",-1.52,-0.03%,"4,532.42","4,521.30","4,541.45",
02-Sep-2021,"4,536.95",+12.86,+0.28%,"4,534.48","4,524.66","4,545.85",
01-Sep-2021,"4,524.09",+1.41,+0.03%,"4,528.80","4,522.02","4,537.11",
