Constellation Brands Inc | Price History                                          17-Nov-2021 01:05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,244.75,03-May-2021,Max,"17,157,524",09-Jan-2019,Advancing,"963,408,750",Up,646,Up,+17.21%,24-Mar-2020,Max,"2,648,211,215.10",09-Jan-2019
Low,104.28,23-Mar-2020,Min,"266,940",24-Dec-2020,Declining,"951,014,284",Down,611,Down,-15.24%,12-Mar-2020,Min,"57,352,415.39",24-Dec-2020
Avg,197.34,,Avg,"1,523,236",,Total,"1,917,753,503",Unch,1,Period,+50.73%,16-Nov-2016 - 16-Nov-2021,Avg,"294,556,277.46",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
16-Nov-2021,231.13,+2.31,+1.01%,229.00,228.24,231.92,"1,233,050","284,736,642.00","3,292,582,866.86",,,,,,
15-Nov-2021,228.82,+2.41,+1.06%,227.27,226.47,229.57,"930,676","212,592,955.00","3,007,846,224.86",,,,,,
12-Nov-2021,226.41,+1.66,+0.74%,225.04,224.59,227.85,"911,975","206,532,887.00","2,795,253,269.86",,,,,,
11-Nov-2021,224.75,+2.41,+1.08%,221.53,220.64,224.98,"943,078","211,346,052.00","2,588,720,382.86",,,,,,
10-Nov-2021,222.34,+0.70,+0.32%,222.37,221.49,223.54,"883,095","196,538,206.00","2,377,374,330.86",,,,,,
09-Nov-2021,221.64,-0.14,-0.06%,221.65,219.62,222.50,"707,612","156,733,977.00","2,180,836,124.86",,,,,,
08-Nov-2021,221.78,-0.91,-0.41%,222.68,219.50,222.68,"997,061","220,653,815.00","2,337,570,101.86",,,,,,
05-Nov-2021,222.69,+3.33,+1.52%,220.59,220.28,222.91,"870,821","193,440,539.00","2,558,223,916.86",,,,,,
04-Nov-2021,219.36,-1.33,-0.60%,219.50,217.66,220.04,"850,712","186,406,774.00","2,364,783,377.86",,,,,,
03-Nov-2021,220.69,-0.01,-0.00%,219.64,219.55,221.60,"619,540","136,751,943.00","2,551,190,151.86",,,,,,
02-Nov-2021,220.70,+0.49,+0.22%,220.48,218.80,221.25,"643,743","141,975,772.00","2,687,942,094.86",,,,,,
01-Nov-2021,220.21,+3.40,+1.57%,216.91,216.62,221.00,"642,384","141,322,506.00","2,545,966,322.86",,,,,,
29-Oct-2021,216.81,+0.04,+0.02%,215.38,215.25,217.70,"980,561","212,386,254.00","2,404,643,816.86",,,,,,
28-Oct-2021,216.77,+1.82,+0.85%,215.95,214.86,217.90,"889,457","192,635,706.00","2,192,257,562.86",,,,,,
27-Oct-2021,214.95,-3.26,-1.49%,218.29,214.76,218.39,"937,732","202,072,402.00","1,999,621,856.86",,,,,,
26-Oct-2021,218.21,+0.52,+0.24%,218.09,217.36,219.78,"563,041","123,043,749.00","2,201,694,258.86",,,,,,
